생산일,코드,항로명,선박명,선박종류,예측일자,시간,운항시간,운항시간점수,선박톤수,선박톤수점수,최소파고,평균파고,최대파고,파고점수,최소풍속,평균풍속,최대풍속,풍속점수,총점수,예보지수
20210713,SK1,인천-백령,하모니플라워,쾌속카페리,20210713,AM,3.7,1,2071,4,1.3,1.3,1.4,3,6.7,9.1,10.6,2,1.50,나쁨
20210713,SK1,인천-백령,하모니플라워,쾌속카페리,20210713,PM,3.7,1,2071,4,1.4,1.4,1.5,3,7.7,8.5,9.4,2,1.50,나쁨
20210713,SK1,인천-백령,코리아킹,초쾌속선,20210713,AM,3.7,1,534,3,1.3,1.3,1.4,3,6.7,9.1,10.6,2,1.50,나쁨
20210713,SK1,인천-백령,코리아킹,초쾌속선,20210713,PM,3.7,1,534,3,1.4,1.4,1.5,3,7.7,8.5,9.4,2,1.50,나쁨
20210713,SK2,인천-연평,플라잉카페리,쾌속카페리,20210713,AM,2.0,3,573,3,0.9,0.9,1.0,3,5.4,6.0,6.9,3,3.00,보통
20210713,SK2,인천-연평,플라잉카페리,쾌속카페리,20210713,PM,2.0,3,573,3,1.0,1.0,1.0,3,6.5,7.2,8.9,3,3.00,보통
20210713,SK19,인천-단동,동방명주6,카페리,20210713,AM,16.0,1,16537,5,1.9,1.9,2.0,2,7.7,9.3,10.4,2,1.50,나쁨
20210713,SK19,인천-단동,동방명주6,카페리,20210713,PM,16.0,1,16537,5,2.0,2.0,2.1,2,8.9,9.6,10.7,2,1.50,나쁨
20210713,SK20,인천-석도,화동명주8,카페리,20210713,AM,14.0,1,35092,5,1.5,1.5,1.5,3,7.2,8.1,9.5,2,1.50,나쁨
20210713,SK20,인천-석도,화동명주8,카페리,20210713,PM,14.0,1,35092,5,1.5,1.5,1.7,3,8.0,8.9,9.8,2,1.50,나쁨
20210713,SK21,대천-외연,웨스트프론티어,일반선,20210713,AM,2.2,3,140,2,0.9,0.9,0.9,4,5.4,5.9,6.5,3,3.33,보통
20210713,SK21,대천-외연,웨스트프론티어,일반선,20210713,PM,2.2,3,140,2,0.9,1.1,1.2,3,4.5,5.7,7.3,3,2.88,보통
20210713,SK3,군산-어청,뉴어청훼리,고속선,20210713,AM,2.7,2,121,2,1.0,1.0,1.1,3,6.5,7.0,7.5,3,2.68,보통
20210713,SK3,군산-어청,뉴어청훼리,고속선,20210713,PM,2.7,2,121,2,1.1,1.2,1.3,3,6.5,6.9,8.0,3,2.68,보통
20210713,SK14,격포-위도,파장금카페리,고속선,20210713,AM,0.8,4,322,2,0.3,0.4,0.5,4,5.3,6.1,7.4,3,3.53,좋음
20210713,SK14,격포-위도,파장금카페리,고속선,20210713,PM,0.8,4,322,2,0.5,0.5,0.6,4,7.3,7.8,8.8,3,3.53,좋음
