생성시간, 예측시간, 지점코드, 지점이름, 지수, 지수단계, 수정사유
2021-07-13,2021-07-13 00:00,PT_0014,입출항로 항계안,4,LV1,00
2021-07-13,2021-07-13 06:00,PT_0014,입출항로 항계안,4,LV1,00
2021-07-13,2021-07-13 12:00,PT_0014,입출항로 항계안,4,LV1,00
2021-07-13,2021-07-13 18:00,PT_0014,입출항로 항계안,4,LV1,00
2021-07-13,2021-07-14 00:00,PT_0014,입출항로 항계안,4,LV1,00
2021-07-13,2021-07-14 06:00,PT_0014,입출항로 항계안,4,LV1,00
2021-07-13,2021-07-14 12:00,PT_0014,입출항로 항계안,4,LV1,00
2021-07-13,2021-07-14 18:00,PT_0014,입출항로 항계안,4,LV1,00
2021-07-13,2021-07-15 00:00,PT_0014,입출항로 항계안,4,LV1,00
2021-07-13,2021-07-15 06:00,PT_0014,입출항로 항계안,4,LV1,00
2021-07-13,2021-07-15 12:00,PT_0014,입출항로 항계안,4,LV1,00
2021-07-13,2021-07-15 18:00,PT_0014,입출항로 항계안,4,LV1,00
2021-07-13,2021-07-13 00:00,PT_0015,입출항로 제1구간,4,LV1,00
2021-07-13,2021-07-13 06:00,PT_0015,입출항로 제1구간,4,LV1,00
2021-07-13,2021-07-13 12:00,PT_0015,입출항로 제1구간,4,LV1,00
2021-07-13,2021-07-13 18:00,PT_0015,입출항로 제1구간,4,LV1,00
2021-07-13,2021-07-14 00:00,PT_0015,입출항로 제1구간,4,LV1,00
2021-07-13,2021-07-14 06:00,PT_0015,입출항로 제1구간,4,LV1,00
2021-07-13,2021-07-14 12:00,PT_0015,입출항로 제1구간,4,LV1,00
2021-07-13,2021-07-14 18:00,PT_0015,입출항로 제1구간,4,LV1,00
2021-07-13,2021-07-15 00:00,PT_0015,입출항로 제1구간,4,LV1,00
2021-07-13,2021-07-15 06:00,PT_0015,입출항로 제1구간,4,LV1,00
2021-07-13,2021-07-15 12:00,PT_0015,입출항로 제1구간,4,LV1,00
2021-07-13,2021-07-15 18:00,PT_0015,입출항로 제1구간,4,LV1,00
2021-07-13,2021-07-13 00:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-07-13,2021-07-13 06:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-07-13,2021-07-13 12:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-07-13,2021-07-13 18:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-07-13,2021-07-14 00:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-07-13,2021-07-14 06:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-07-13,2021-07-14 12:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-07-13,2021-07-14 18:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-07-13,2021-07-15 00:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-07-13,2021-07-15 06:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-07-13,2021-07-15 12:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-07-13,2021-07-15 18:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-07-13,2021-07-13 00:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-07-13,2021-07-13 06:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-07-13,2021-07-13 12:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-07-13,2021-07-13 18:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-07-13,2021-07-14 00:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-07-13,2021-07-14 06:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-07-13,2021-07-14 12:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-07-13,2021-07-14 18:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-07-13,2021-07-15 00:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-07-13,2021-07-15 06:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-07-13,2021-07-15 12:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-07-13,2021-07-15 18:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-07-13,2021-07-13 00:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-07-13,2021-07-13 06:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-07-13,2021-07-13 12:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-07-13,2021-07-13 18:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-07-13,2021-07-14 00:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-07-13,2021-07-14 06:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-07-13,2021-07-14 12:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-07-13,2021-07-14 18:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-07-13,2021-07-15 00:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-07-13,2021-07-15 06:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-07-13,2021-07-15 12:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-07-13,2021-07-15 18:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-07-13,2021-07-13 00:00,PT_0019,1항로,4,LV1,00
2021-07-13,2021-07-13 06:00,PT_0019,1항로,4,LV1,00
2021-07-13,2021-07-13 12:00,PT_0019,1항로,4,LV1,00
2021-07-13,2021-07-13 18:00,PT_0019,1항로,4,LV1,00
2021-07-13,2021-07-14 00:00,PT_0019,1항로,4,LV1,00
2021-07-13,2021-07-14 06:00,PT_0019,1항로,4,LV1,00
2021-07-13,2021-07-14 12:00,PT_0019,1항로,4,LV1,00
2021-07-13,2021-07-14 18:00,PT_0019,1항로,4,LV1,00
2021-07-13,2021-07-15 00:00,PT_0019,1항로,4,LV1,00
2021-07-13,2021-07-15 06:00,PT_0019,1항로,4,LV1,00
2021-07-13,2021-07-15 12:00,PT_0019,1항로,4,LV1,00
2021-07-13,2021-07-15 18:00,PT_0019,1항로,4,LV1,00
2021-07-13,2021-07-13 00:00,PT_0020,2항로,4,LV1,00
2021-07-13,2021-07-13 06:00,PT_0020,2항로,4,LV1,00
2021-07-13,2021-07-13 12:00,PT_0020,2항로,4,LV1,00
2021-07-13,2021-07-13 18:00,PT_0020,2항로,4,LV1,00
2021-07-13,2021-07-14 00:00,PT_0020,2항로,4,LV1,00
2021-07-13,2021-07-14 06:00,PT_0020,2항로,4,LV1,00
2021-07-13,2021-07-14 12:00,PT_0020,2항로,4,LV1,00
2021-07-13,2021-07-14 18:00,PT_0020,2항로,4,LV1,00
2021-07-13,2021-07-15 00:00,PT_0020,2항로,4,LV1,00
2021-07-13,2021-07-15 06:00,PT_0020,2항로,4,LV1,00
2021-07-13,2021-07-15 12:00,PT_0020,2항로,4,LV1,00
2021-07-13,2021-07-15 18:00,PT_0020,2항로,4,LV1,00
2021-07-13,2021-07-13 00:00,PT_0021,3항로,4,LV1,00
2021-07-13,2021-07-13 06:00,PT_0021,3항로,4,LV1,00
2021-07-13,2021-07-13 12:00,PT_0021,3항로,4,LV1,00
2021-07-13,2021-07-13 18:00,PT_0021,3항로,4,LV1,00
2021-07-13,2021-07-14 00:00,PT_0021,3항로,4,LV1,00
2021-07-13,2021-07-14 06:00,PT_0021,3항로,4,LV1,00
2021-07-13,2021-07-14 12:00,PT_0021,3항로,4,LV1,00
2021-07-13,2021-07-14 18:00,PT_0021,3항로,4,LV1,00
2021-07-13,2021-07-15 00:00,PT_0021,3항로,4,LV1,00
2021-07-13,2021-07-15 06:00,PT_0021,3항로,4,LV1,00
2021-07-13,2021-07-15 12:00,PT_0021,3항로,4,LV1,00
2021-07-13,2021-07-15 18:00,PT_0021,3항로,4,LV1,00
2021-07-13,2021-07-13 00:00,PT_0022,4항로,4,LV1,00
2021-07-13,2021-07-13 06:00,PT_0022,4항로,4,LV1,00
2021-07-13,2021-07-13 12:00,PT_0022,4항로,4,LV1,00
2021-07-13,2021-07-13 18:00,PT_0022,4항로,4,LV1,00
2021-07-13,2021-07-14 00:00,PT_0022,4항로,4,LV1,00
2021-07-13,2021-07-14 06:00,PT_0022,4항로,4,LV1,00
2021-07-13,2021-07-14 12:00,PT_0022,4항로,4,LV1,00
2021-07-13,2021-07-14 18:00,PT_0022,4항로,4,LV1,00
2021-07-13,2021-07-15 00:00,PT_0022,4항로,4,LV1,00
2021-07-13,2021-07-15 06:00,PT_0022,4항로,4,LV1,00
2021-07-13,2021-07-15 12:00,PT_0022,4항로,4,LV1,00
2021-07-13,2021-07-15 18:00,PT_0022,4항로,4,LV1,00
2021-07-13,2021-07-13 00:00,PT_0023,5항로,4,LV1,00
2021-07-13,2021-07-13 06:00,PT_0023,5항로,4,LV1,00
2021-07-13,2021-07-13 12:00,PT_0023,5항로,4,LV1,00
2021-07-13,2021-07-13 18:00,PT_0023,5항로,4,LV1,00
2021-07-13,2021-07-14 00:00,PT_0023,5항로,4,LV1,00
2021-07-13,2021-07-14 06:00,PT_0023,5항로,4,LV1,00
2021-07-13,2021-07-14 12:00,PT_0023,5항로,4,LV1,00
2021-07-13,2021-07-14 18:00,PT_0023,5항로,4,LV1,00
2021-07-13,2021-07-15 00:00,PT_0023,5항로,4,LV1,00
2021-07-13,2021-07-15 06:00,PT_0023,5항로,4,LV1,00
2021-07-13,2021-07-15 12:00,PT_0023,5항로,4,LV1,00
2021-07-13,2021-07-15 18:00,PT_0023,5항로,4,LV1,00
