NAME,Date_time,WHT,SST
상왕등도,2021-07-13 09,0.46,22.37
상왕등도,2021-07-13 12,0.4,23.62
상왕등도,2021-07-13 15,0.33,23.38
상왕등도,2021-07-13 18,0.42,23.62
상왕등도,2021-07-14 21,0.39,23.08
상왕등도,2021-07-14 00,0.25,23.2
상왕등도,2021-07-14 03,0.33,21.94
상왕등도,2021-07-14 06,0.24,22.96
상왕등도,2021-07-14 09,0.38,22.34
상왕등도,2021-07-14 12,0.16,22.95
상왕등도,2021-07-14 15,0.22,22.76
상왕등도,2021-07-14 18,0.33,22.62
상왕등도,2021-07-15 21,0.1,22.99
상왕등도,2021-07-15 00,0.1,23.19
상왕등도,2021-07-15 03,0.09,22.71
상왕등도,2021-07-15 06,0.14,22.57
상왕등도,2021-07-15 09,0.15,22.72
상왕등도,2021-07-15 12,0.1,23.89
상왕등도,2021-07-15 15,0.1,24.16
상왕등도,2021-07-15 18,0.2,24.09
추자도,2021-07-13 09,1.11,24.02
추자도,2021-07-13 12,1.18,25.17
추자도,2021-07-13 15,1.03,25.58
추자도,2021-07-13 18,1.13,24.94
추자도,2021-07-14 21,1.3,24.18
추자도,2021-07-14 00,1.18,24.02
추자도,2021-07-14 03,1.31,24.34
추자도,2021-07-14 06,1.29,24.5
추자도,2021-07-14 09,1.08,24.11
추자도,2021-07-14 12,1.2,25.1
추자도,2021-07-14 15,1.05,25.86
추자도,2021-07-14 18,0.86,25.12
추자도,2021-07-15 21,1.07,24.97
추자도,2021-07-15 00,0.96,24.62
추자도,2021-07-15 03,0.86,24.38
추자도,2021-07-15 06,0.8,25.4
추자도,2021-07-15 09,0.84,25.17
추자도,2021-07-15 12,0.8,25.56
추자도,2021-07-15 15,0.78,26.12
추자도,2021-07-15 18,0.57,25.85
울진후정,2021-07-13 09,0.04,23.4
울진후정,2021-07-13 12,0.22,24.17
울진후정,2021-07-13 15,0.11,24.41
울진후정,2021-07-13 18,0.12,24.23
울진후정,2021-07-14 21,0.25,24.16
울진후정,2021-07-14 00,0.05,24.37
울진후정,2021-07-14 03,0.19,23.88
울진후정,2021-07-14 06,0.1,23.61
울진후정,2021-07-14 09,0.1,23.67
울진후정,2021-07-14 12,0.24,24.02
울진후정,2021-07-14 15,0.1,24.31
울진후정,2021-07-14 18,0.12,24.0
울진후정,2021-07-15 21,0.1,24.2
울진후정,2021-07-15 00,0.1,23.31
울진후정,2021-07-15 03,0.04,23.08
울진후정,2021-07-15 06,0.21,22.95
울진후정,2021-07-15 09,0.1,22.92
울진후정,2021-07-15 12,0.1,22.79
울진후정,2021-07-15 15,0.28,23.58
울진후정,2021-07-15 18,0.13,23.7
동명항,2021-07-13 09,0.44,21.89
동명항,2021-07-13 12,0.11,23.0
동명항,2021-07-13 15,0.1,23.51
동명항,2021-07-13 18,0.03,24.56
동명항,2021-07-14 21,0.13,23.8
동명항,2021-07-14 00,0.21,23.87
동명항,2021-07-14 03,0.13,23.34
동명항,2021-07-14 06,0.16,22.93
동명항,2021-07-14 09,0.16,22.62
동명항,2021-07-14 12,0.03,23.03
동명항,2021-07-14 15,0.05,23.68
동명항,2021-07-14 18,0.09,23.6
동명항,2021-07-15 21,0.1,23.7
동명항,2021-07-15 00,0.06,22.98
동명항,2021-07-15 03,0.23,21.9
동명항,2021-07-15 06,0.12,21.05
동명항,2021-07-15 09,0.11,21.74
동명항,2021-07-15 12,0.24,23.24
동명항,2021-07-15 15,0.02,23.51
동명항,2021-07-15 18,0.06,23.51
월포해수욕장,2021-07-13 09,0.3,22.79
월포해수욕장,2021-07-13 12,0.41,24.15
월포해수욕장,2021-07-13 15,0.29,24.52
월포해수욕장,2021-07-13 18,0.31,25.0
월포해수욕장,2021-07-14 21,0.11,24.03
월포해수욕장,2021-07-14 00,0.06,23.51
월포해수욕장,2021-07-14 03,0.1,22.89
월포해수욕장,2021-07-14 06,0.03,22.87
