FC_AREA,DATE,HR,MEAN_TEMP,TEMP_SCRE,MEAN_WSPD,WSPD_SCRE,MEAN_SST,SST_SCRE,MEAN_WHT,WAVE_SCRE,MUL,MUL_SCRE,MEAN_CURR,CURR_SCRE,MEAN_SKY,SKY_SCRE,CARNIVAL_NUM,MEAN_RAIN,WARN_SEA,WARN_LAND,FINAL_SCRE,SCRE_CLASS
SW,20210713,AM,26.5,14.8,4.0,17.4,21.2,7.3,0.3,10.0,11.0,2.4,0.3,1.0,2.6,17.4,0,0.0,-,-,70.3,좋음
SW,20210713,PM,26.9,14.1,5.7,14.5,22.1,7.3,0.3,10.0,11.0,2.4,0.4,0.5,1.3,24.9,0,0.0,-,-,73.7,좋음
SW,20210714,AM,26.7,14.5,4.4,16.7,21.3,7.3,0.2,10.0,12.0,3.9,0.3,1.0,1.7,24.9,0,0.0,-,-,78.3,매우좋음
SW,20210714,PM,26.9,14.1,5.2,15.3,22.2,7.2,0.2,10.0,12.0,3.9,0.4,0.5,1.3,24.9,0,0.0,-,-,75.9,매우좋음
SW,20210715,AM,26.6,14.6,3.3,18.6,21.7,7.3,0.1,10.0,13.0,3.9,0.3,1.0,2.7,17.4,0,0.7,-,-,60.0,보통
SW,20210715,PM,26.9,14.1,3.3,18.6,23.2,6.7,0.1,10.0,13.0,3.9,0.4,0.5,2.5,17.4,0,7.3,-,-,45.0,나쁨
SW,20210716,DY,25.5,16.6,5.5,14.8,23.3,6.7,0.2,10.0,14.0,3.9,0.3,1.0,3.0,17.4,0,0.0,-,-,70.4,좋음
SW,20210717,DY,25.6,16.4,5.8,14.3,24.6,6.0,0.3,10.0,15.0,4.9,0.2,1.5,3.0,17.4,0,0.0,-,-,70.5,좋음
SW,20210718,DY,26.8,14.3,5.7,14.5,25.9,5.4,0.4,10.0,1.0,4.9,0.2,1.5,3.8,7.5,0,0.0,-,-,58.1,보통
SW,20210719,DY,27.1,13.8,6.8,12.5,26.4,5.2,0.7,10.1,2.0,4.9,0.3,1.0,4.0,7.5,0,0.0,-,-,55.0,나쁨
NE,20210713,AM,26.1,12.8,5.1,12.8,18.5,9.7,0.3,11.8,11.0,5.3,0.2,0.7,2.4,14.1,0,0.0,-,-,67.2,좋음
NE,20210713,PM,26.3,12.6,7.3,9.7,20.4,13.8,0.3,11.8,11.0,5.3,0.3,0.4,1.3,20.2,0,0.0,-,-,73.8,좋음
NE,20210714,AM,26.0,13.0,6.1,11.4,18.0,8.3,0.2,11.8,12.0,8.5,0.3,0.4,1.9,20.2,0,0.0,-,-,73.6,좋음
NE,20210714,PM,26.3,12.6,6.7,10.5,19.5,12.4,0.2,11.8,12.0,8.5,0.3,0.4,1.6,20.2,0,0.0,-,-,76.4,매우좋음
NE,20210715,AM,25.5,13.7,3.5,15.2,18.5,9.7,0.1,11.8,13.0,8.5,0.3,0.4,3.8,6.1,0,0.0,-,-,65.4,좋음
NE,20210715,PM,25.7,13.4,3.6,15.0,20.4,13.8,0.1,11.8,13.0,8.5,0.3,0.4,3.2,14.1,0,7.6,-,-,45.0,나쁨
NE,20210716,DY,23.7,16.3,5.1,12.8,21.8,13.8,0.2,11.8,14.0,8.5,0.3,0.4,3.0,14.1,0,0.0,-,-,77.7,매우좋음
NE,20210717,DY,23.8,16.2,5.8,11.8,23.7,12.3,0.2,11.8,15.0,10.6,0.2,0.7,3.0,14.1,0,0.0,-,-,77.5,매우좋음
NE,20210718,DY,24.6,15.0,5.9,11.7,25.3,10.8,0.3,11.8,1.0,10.6,0.2,0.7,3.8,6.1,0,0.0,-,-,66.7,좋음
NE,20210719,DY,24.9,14.6,7.8,9.0,26.0,10.1,0.5,13.8,2.0,10.6,0.1,0.9,4.0,6.1,0,0.0,-,-,65.1,좋음
