생산일,코드,해수욕장,예측일자,시간,평균기온,기온점수,평균수온,수온점수,최대풍속,풍속점수,최대파고,파고점수,총점수
20210902,HS1,대천해수욕장,20210901,AM,23.3,3,25.4,5,4.6,4,1.1,3,3.50
20210902,HS1,대천해수욕장,20210901,PM,24.2,4,25.5,5,5.2,3,0.6,4,3.80
20210902,HS2,춘장대해수욕장,20210901,AM,23.4,3,25.4,5,4.1,4,1.1,3,3.50
20210902,HS2,춘장대해수욕장,20210901,PM,24.0,4,25.5,5,4.8,4,0.6,4,4.10
20210902,HS3,무창포해수욕장,20210901,AM,23.3,3,25.4,5,4.3,4,1.1,3,3.50
20210902,HS3,무창포해수욕장,20210901,PM,24.1,4,25.5,5,4.2,4,0.6,4,4.10
20210902,HS4,꽃지해수욕장,20210901,AM,23.6,3,24.3,5,4.4,4,0.7,4,4.05
20210902,HS4,꽃지해수욕장,20210901,PM,24.7,4,24.6,5,4.9,4,0.5,4,4.10
20210902,HS5,만리포해수욕장,20210901,AM,22.7,3,23.7,5,5.9,3,0.9,4,3.75
20210902,HS5,만리포해수욕장,20210901,PM,24.0,4,23.9,5,5.6,3,0.6,4,3.80
20210902,HS6,몽산포해수욕장,20210901,AM,22.9,3,23.7,5,5.0,3,0.9,4,3.75
20210902,HS6,몽산포해수욕장,20210901,PM,24.1,4,23.9,5,5.6,3,0.6,4,3.80
20210902,HS7,우전해수욕장,20210901,AM,26.1,4,25.0,5,7.5,3,0.8,4,3.80
20210902,HS7,우전해수욕장,20210901,PM,24.4,4,24.8,5,6.0,3,0.6,4,3.80
20210902,HS8,연포해수욕장,20210901,AM,22.9,3,23.7,5,5.5,3,0.9,4,3.75
20210902,HS8,연포해수욕장,20210901,PM,24.1,4,23.9,5,5.7,3,0.6,4,3.80
20210902,HS9,어은돌해수욕장,20210901,AM,22.0,3,23.7,5,7.2,3,0.9,4,3.75
20210902,HS9,어은돌해수욕장,20210901,PM,23.6,3,23.9,5,6.8,3,0.6,4,3.75
20210902,HS10,신두리해수욕장,20210901,AM,22.2,3,23.4,5,5.4,3,0.9,4,3.75
20210902,HS10,신두리해수욕장,20210901,PM,23.8,3,23.6,5,5.4,3,0.6,4,3.75
20210902,HS11,학암포해수욕장,20210901,AM,21.4,2,23.4,5,6.4,3,0.6,4,3.70
20210902,HS11,학암포해수욕장,20210901,PM,23.3,3,23.6,5,6.6,3,0.5,4,3.75
20210902,HS12,가마미해수욕장,20210901,AM,24.7,4,25.1,5,5.8,3,0.7,4,3.80
20210902,HS12,가마미해수욕장,20210901,PM,23.8,3,25.4,5,4.8,4,0.6,4,4.05
20210902,HS15,가계해수욕장,20210901,AM,26.5,4,25.6,5,8.7,2,0.6,4,3.50
20210902,HS15,가계해수욕장,20210901,PM,26.1,4,25.6,5,8.9,2,0.4,5,4.05
20210902,HS16,을왕리해수욕장,20210901,AM,22.1,3,24.3,5,5.8,3,0.3,5,4.30
20210902,HS16,을왕리해수욕장,20210901,PM,24.0,4,24.4,5,6.6,3,0.2,5,4.35
20210902,HS17,만성리해수욕장,20210901,AM,26.3,4,26.8,5,8.3,2,0.2,5,4.05
20210902,HS17,만성리해수욕장,20210901,PM,26.8,4,26.6,5,8.3,2,0.3,5,4.05
20210902,HS18,상주해수욕장,20210901,AM,26.6,4,26.8,5,6.3,3,0.6,4,3.80
20210902,HS18,상주해수욕장,20210901,PM,26.2,4,26.6,5,7.1,3,0.7,4,3.80
20210902,HS19,명사십리해수욕장,20210901,AM,26.6,4,24.9,5,8.8,2,0.9,4,3.50
20210902,HS19,명사십리해수욕장,20210901,PM,26.6,4,25.1,5,9.2,2,0.7,4,3.50
20210902,HS20,함덕서우봉해수욕장,20210901,AM,27.5,5,26.6,5,10.9,1,0.6,4,3.25
20210902,HS20,함덕서우봉해수욕장,20210901,PM,27.6,5,26.7,5,11.3,1,0.5,4,3.25
20210902,HS21,협재해수욕장,20210901,AM,27.2,5,26.6,5,8.3,2,1.0,3,3.00
20210902,HS21,협재해수욕장,20210901,PM,27.1,5,26.7,5,7.7,3,1.0,3,3.30
20210902,HS22,중문색달해수욕장,20210901,AM,27.2,5,27.0,5,6.8,3,0.8,4,3.85
20210902,HS22,중문색달해수욕장,20210901,PM,27.2,5,27.1,5,7.1,3,0.9,4,3.85
20210902,HS23,율포해수욕장,20210901,AM,27.1,5,24.9,5,6.3,3,0.9,4,3.85
20210902,HS23,율포해수욕장,20210901,PM,27.0,5,25.1,5,6.2,3,0.7,4,3.85
20210902,HS24,송호해수욕장,20210901,AM,26.3,4,25.6,5,8.4,2,1.0,3,2.95
20210902,HS24,송호해수욕장,20210901,PM,26.2,4,25.6,5,9.0,2,0.8,4,3.50
20210902,HS25,이호테우해수욕장,20210901,AM,31.0,5,26.6,5,9.5,2,0.6,4,3.55
20210902,HS25,이호테우해수욕장,20210901,PM,28.7,5,26.7,5,9.2,2,0.5,4,3.55
20210902,HS26,표선해비치해수욕장,20210901,AM,29.6,5,25.3,5,6.4,3,0.7,4,3.85
20210902,HS26,표선해비치해수욕장,20210901,PM,28.2,5,25.0,5,6.6,3,0.7,4,3.85
20210902,HS28,구조라해수욕장,20210901,AM,27.2,5,25.8,5,7.2,3,0.9,4,3.85
20210902,HS28,구조라해수욕장,20210901,PM,26.0,4,25.8,5,7.6,3,0.9,4,3.80
20210902,HS29,해운대해수욕장,20210901,AM,26.2,4,26.4,5,10.4,1,0.9,4,3.20
20210902,HS29,해운대해수욕장,20210901,PM,25.5,4,26.2,5,11.1,1,1.2,3,2.65
20210902,HS30,광안리해수욕장,20210901,AM,26.3,4,26.4,5,9.7,2,0.9,4,3.50
20210902,HS30,광안리해수욕장,20210901,PM,25.8,4,26.2,5,10.1,1,1.2,3,2.65
20210902,HS31,송도해수욕장,20210901,AM,26.1,4,25.6,5,10.0,1,0.7,4,3.20
20210902,HS31,송도해수욕장,20210901,PM,25.7,4,25.8,5,10.7,1,0.8,4,3.20
20210902,HS32,송정해수욕장,20210901,AM,26.2,4,26.6,5,10.7,1,0.9,4,3.20
20210902,HS32,송정해수욕장,20210901,PM,25.3,4,25.3,5,11.0,1,1.2,3,2.65
20210902,HS33,다대포해수욕장,20210901,AM,26.5,4,25.4,5,9.4,2,0.7,4,3.50
20210902,HS33,다대포해수욕장,20210901,PM,26.2,4,25.5,5,9.8,2,0.8,4,3.50
20210902,HS34,일광해수욕장,20210901,AM,26.8,4,22.4,5,8.3,2,0.6,4,3.50
20210902,HS34,일광해수욕장,20210901,PM,25.3,4,22.5,5,8.1,2,0.8,4,3.50
20210902,HS35,경포해수욕장,20210901,AM,21.3,2,22.5,5,6.7,3,1.3,3,3.15
20210902,HS35,경포해수욕장,20210901,PM,21.8,2,22.8,5,6.5,3,1.6,2,2.60
20210902,HS36,망상해수욕장,20210901,AM,20.3,2,22.6,5,5.0,3,1.9,2,2.60
20210902,HS36,망상해수욕장,20210901,PM,20.7,2,22.6,5,4.1,4,1.9,2,2.90
20210902,HS37,속초해수욕장,20210901,AM,21.1,2,22.5,5,6.3,3,1.3,3,3.15
20210902,HS37,속초해수욕장,20210901,PM,21.6,2,22.5,5,5.6,3,1.5,2,2.60
20210902,HS38,낙산해수욕장,20210901,AM,21.2,2,22.7,5,6.1,3,1.3,3,3.15
20210902,HS38,낙산해수욕장,20210901,PM,21.6,2,22.6,5,6.3,3,1.5,2,2.60
20210902,HS39,영일대해수욕장,20210901,AM,22.1,3,26.0,5,6.4,3,0.8,4,3.75
20210902,HS39,영일대해수욕장,20210901,PM,22.6,3,25.8,5,8.4,2,1.5,2,2.35
20210902,HS40,월포해수욕장,20210901,AM,22.4,3,26.0,5,9.8,2,0.8,4,3.45
20210902,HS40,월포해수욕장,20210901,PM,23.6,3,25.8,5,10.8,1,1.5,2,2.05
20210902,HS41,주문진해수욕장,20210901,AM,21.4,2,20.4,4,6.4,3,1.0,3,3.05
20210902,HS41,주문진해수욕장,20210901,PM,21.7,2,21.0,4,5.9,3,1.3,3,3.05
20210902,HS42,고래불해수욕장,20210901,AM,22.3,3,24.7,5,9.6,2,1.7,2,2.35
