산출날짜,코드,구분,지역,예측날짜,오전오후,유의파고,파고점수,파향,상대파향,파향점수,파주기,파주기점수,풍속,풍향,풍속점수,수온,수온점수,특보,특보점수,총점수,예보지수
20210902,SR1,부산,송정해수욕장,20210902,AM,1.2,4,68.0,18.0,1,5.9,1,7.3,230.0,3,25.1,5,-,5,2.96,나쁨
20210902,SR1,부산,송정해수욕장,20210902,PM,1.1,4,54.0,4.0,1,6.7,4,8.4,219.0,3,25.4,5,-,5,3.56,보통
20210902,SR1,부산,송정해수욕장,20210903,AM,1.0,4,359.0,309.0,1,4.7,1,10.0,228.0,2,23.7,5,-,5,2.84,나쁨
20210902,SR1,부산,송정해수욕장,20210903,PM,1.2,4,358.0,308.0,1,5.2,1,10.3,227.0,2,24.2,5,-,5,2.84,나쁨
20210902,SR1,부산,송정해수욕장,20210904,AM,1.1,4,359.0,309.0,1,5.2,1,10.9,229.0,2,24.1,5,-,5,2.84,나쁨
20210902,SR1,부산,송정해수욕장,20210904,PM,1.0,4,0.0,-50.0,1,5.1,1,10.8,231.0,2,24.3,5,-,5,2.84,나쁨
20210902,SR1,부산,송정해수욕장,20210905,AM,0.7,5,267.0,217.0,1,4.8,1,10.6,227.0,2,25.3,5,-,5,3.24,보통
20210902,SR1,부산,송정해수욕장,20210905,PM,0.6,5,267.0,217.0,1,5.0,1,11.7,229.0,2,25.6,5,-,5,3.24,보통
20210902,SR1,부산,송정해수욕장,20210906,AM,0.8,5,269.0,219.0,1,4.8,1,10.0,207.0,2,26.0,5,-,5,3.24,보통
20210902,SR1,부산,송정해수욕장,20210906,PM,0.8,5,269.0,219.0,1,5.0,1,9.0,206.0,2,26.1,5,-,5,3.24,보통
20210902,SR1,부산,송정해수욕장,20210907,AM,1.2,4,316.0,266.0,1,5.1,1,12.6,92.0,2,26.2,5,-,5,2.84,나쁨
20210902,SR1,부산,송정해수욕장,20210907,PM,1.3,4,338.0,288.0,1,6.0,4,14.4,71.0,1,25.8,5,-,5,3.3200000000000003,보통
20210902,SR1,부산,송정해수욕장,20210908,AM,0.4,2,245.0,195.0,1,8.0,5,1.8,225.0,5,23.2,5,-,5,3.2,보통
20210902,SR1,부산,송정해수욕장,20210908,PM,0.5,5,246.0,196.0,1,8.0,5,2.9,178.0,5,24.5,5,-,5,4.4,좋음
