생산일,코드,권역,지역,예측일자,어종,어종타입,물때,물때점수,최소파고,평균파고,최대파고,파고점수,최소수온,평균수온,최대수온,수온점수,최저기온,평균기온,최대기온,기온점수,최소풍속,평균풍속,최대풍속,풍속점수,총점수
20210902,SF2,황해남부,가거도,20210901,감성돔,BP,2,2,1.0,1.2,1.5,2,22,24,25,2,25,26,26,5,3,7,8,3,2.40
20210902,SF35,남해서부,거문도,20210901,농어,SB,2,2,0.8,1.0,1.1,2,24,24,25,3,27,27,27,5,6,7,8,3,2.40
20210902,SF37,남해서부,거문도,20210901,참돔,RP,2,2,0.8,1.0,1.1,2,24,24,25,3,27,27,27,5,6,7,8,3,2.40
20210902,SF38,남해서부,거문도,20210901,감성돔,BP,2,2,0.8,1.0,1.1,2,24,24,25,2,27,27,27,5,6,7,8,3,2.40
20210902,SF39,남해서부,거문도,20210901,우럭,RF,2,4,0.8,1.0,1.1,2,24,24,25,3,27,27,27,5,6,7,8,3,2.40
20210902,SF14,남해동부,거제도,20210901,우럭,RF,2,4,0.5,0.7,0.9,3,26,26,26,2,25,27,27,5,5,7,8,3,3.04
20210902,SF11,황해중부,국화도,20210901,우럭,RF,2,4,0.3,0.5,0.6,3,24,24,24,3,21,23,24,4,5,6,7,3,3.20
20210902,SF56,제주도,김녕,20210901,벵에돔,OP,2,2,0.5,0.6,0.7,3,27,27,28,1,27,27,27,5,6,10,11,2,2.60
20210902,SF57,제주도,김녕,20210901,농어,SB,2,2,0.5,0.6,0.7,3,27,27,28,2,27,27,27,5,6,10,11,2,2.60
20210902,SF58,제주도,김녕,20210901,돌돔,RB,2,3,0.5,0.6,0.7,3,27,27,28,3,27,27,27,5,6,10,11,2,2.60
20210902,SF59,제주도,김녕,20210901,참돔,RP,2,2,0.5,0.6,0.7,3,27,27,28,2,27,27,27,5,6,10,11,2,2.60
20210902,SF49,황해중부,모항항,20210901,우럭,RF,2,4,0.5,0.6,0.9,3,24,24,24,3,21,23,24,4,5,6,7,3,3.20
20210902,SF50,황해중부,모항항,20210901,감성돔,BP,2,2,0.5,0.6,0.9,3,24,24,24,2,21,23,24,4,5,6,7,3,2.68
20210902,SF51,황해중부,방포항,20210901,우럭,RF,2,4,0.3,0.5,0.7,3,24,24,25,3,22,24,25,5,4,5,6,3,3.24
20210902,SF74,남해동부,부산남부,20210901,우럭,RF,2,4,0.9,1.2,1.4,2,24,24,24,3,23,26,28,5,4,6,8,3,2.40
20210902,SF75,남해동부,부산남부,20210901,감성돔,BP,2,2,0.9,1.2,1.4,2,24,24,24,2,23,26,28,5,4,6,8,3,2.40
20210902,SF76,남해동부,부산남부,20210901,돌돔,RB,2,3,0.9,1.2,1.4,2,24,24,24,5,23,26,28,5,4,6,8,3,2.40
20210902,SF77,남해동부,부산남부,20210901,참돔,RP,2,2,0.9,1.2,1.4,2,24,24,24,3,23,26,28,5,4,6,8,3,2.40
20210902,SF78,남해동부,부산남부,20210901,벵에돔,OP,2,2,0.9,1.2,1.4,2,24,24,24,2,23,26,28,5,4,6,8,3,2.40
20210902,SF79,남해동부,부산남부,20210901,농어,SB,2,2,0.9,1.2,1.4,2,24,24,24,3,23,26,28,5,4,6,8,3,2.40
20210902,SF67,남해동부,부산동부,20210901,우럭,RF,2,4,0.6,0.9,1.5,2,25,26,27,2,23,26,26,5,1,7,10,2,2.00
20210902,SF68,남해동부,부산동부,20210901,감성돔,BP,2,2,0.6,0.9,1.5,2,25,26,27,1,23,26,26,5,1,7,10,2,2.00
20210902,SF69,남해동부,부산동부,20210901,참돔,RP,2,2,0.6,0.9,1.5,2,25,26,27,2,23,26,26,5,1,7,10,2,2.00
20210902,SF70,남해동부,부산동부,20210901,벵에돔,OP,2,2,0.6,0.9,1.5,2,25,26,27,1,23,26,26,5,1,7,10,2,2.00
20210902,SF71,남해동부,부산동부,20210901,농어,SB,2,2,0.6,0.9,1.5,2,25,26,27,2,23,26,26,5,1,7,10,2,2.00
20210902,SF60,남해동부,부산서부,20210901,우럭,RF,2,4,0.9,1.2,1.4,2,21,22,23,3,24,27,27,5,5,7,9,2,2.00
20210902,SF61,남해동부,부산서부,20210901,감성돔,BP,2,2,0.9,1.2,1.4,2,21,22,23,3,24,27,27,5,5,7,9,2,2.00
20210902,SF62,남해동부,부산서부,20210901,돌돔,RB,2,3,0.9,1.2,1.4,2,21,22,23,4,24,27,27,5,5,7,9,2,2.00
20210902,SF63,남해동부,부산서부,20210901,참돔,RP,2,2,0.9,1.2,1.4,2,21,22,23,4,24,27,27,5,5,7,9,2,2.00
20210902,SF64,남해동부,부산서부,20210901,벵에돔,OP,2,2,0.9,1.2,1.4,2,21,22,23,4,24,27,27,5,5,7,9,2,2.00
20210902,SF65,남해동부,부산서부,20210901,농어,SB,2,2,0.9,1.2,1.4,2,21,22,23,4,24,27,27,5,5,7,9,2,2.00
20210902,SF1,황해남부,상왕등도,20210901,감성돔,BP,2,2,0.0,0.8,1.1,2,25,25,26,1,24,24,24,5,3,5,6,3,2.40
20210902,SF29,황해남부,상태도,20210901,농어,SB,2,2,0.8,0.9,1.0,3,22,23,24,3,25,26,26,5,4,6,8,3,2.92
