생산일,코드,권역,지역,예측일자,갈라짐시작시간,갈라짐종료시간,체험시간,체험시간점수,최저기온,평균기온,최고기온,기온점수,최저풍속,평균풍속,최대풍속,풍속점수,날씨,날씨점수,총점수,예보지수
20210902,SD19,남해서부,우도,20210902,09:00,15:41,6.68,5,21.7,22.4,24.1,4,3.70,4.80,5.90,3,4,2,4.30,좋음
20210902,SD20,황해중부,선재도,20210902,09:00,18:00,9.00,5,21.5,23.1,23.7,4,2.40,4.50,6.50,3,4,2,4.30,좋음
20210902,SD21,황해남부,화도,20210902,09:00,18:00,9.00,5,21.1,22.7,23.9,4,0.80,2.50,5.90,3,4,2,4.30,좋음
20210902,SD4,황해중부,제부도,20210902,09:00,18:00,9.00,5,22.4,23.8,24.7,4,1.50,3.40,6.30,3,4,2,4.30,좋음
20210902,SD5,제주도,서건도,20210902,09:00,15:30,6.50,5,25.6,26.6,27.0,5,2.70,3.50,4.40,4,4,2,4.45,좋음
20210902,SD6,황해중부,실미도,20210902,16:23,18:00,1.62,3,21.4,23.2,24.6,4,2.30,4.80,6.20,3,4,2,2.90,나쁨
20210902,SD8,황해중부,웅도,20210902,09:00,18:00,9.00,5,22.9,23.6,24.2,4,2.40,4.40,5.80,3,4,2,4.30,좋음
20210902,SD9,황해중부,소야도,20210902,17:00,18:00,1.00,3,21.8,22.9,23.8,4,5.00,6.20,7.10,3,4,2,2.90,나쁨
20210902,SD19,남해서부,우도,20210903,09:55,16:36,6.68,5,23.9,25.8,27.3,5,4.00,4.80,6.60,3,4,2,4.35,좋음
20210902,SD20,황해중부,선재도,20210903,09:00,13:34,4.57,5,22.2,23.6,24.2,4,2.30,3.70,4.90,4,1,5,4.85,매우좋음
20210902,SD20,황해중부,선재도,20210903,15:05,18:00,2.92,4,22.2,23.6,24.2,4,2.30,3.70,4.90,4,1,5,4.15,좋음
20210902,SD21,황해남부,화도,20210903,09:00,18:00,9.00,5,23.4,24.4,24.9,5,1.00,3.50,5.80,3,4,2,4.35,좋음
20210902,SD4,황해중부,제부도,20210903,09:00,18:00,9.00,5,22.9,24.0,24.8,5,1.30,3.50,4.90,4,1,5,4.90,매우좋음
20210902,SD5,제주도,서건도,20210903,09:53,16:24,6.52,5,25.1,27.1,28.7,5,3.40,7.40,8.90,3,4,2,4.35,좋음
20210902,SD6,황해중부,실미도,20210903,09:00,10:37,1.62,3,22.5,23.4,24.2,4,0.30,2.80,4.60,4,4,2,3.00,보통
20210902,SD6,황해중부,실미도,20210903,17:37,18:00,0.38,1,22.5,23.4,24.2,4,0.30,2.80,4.60,4,1,5,1.00,매우나쁨
20210902,SD8,황해중부,웅도,20210903,09:00,18:00,9.00,5,22.9,24.1,24.6,5,3.80,5.00,5.80,3,3,3,4.50,좋음
20210902,SD9,황해중부,소야도,20210903,09:00,09:46,0.77,2,22.2,23.2,24.0,4,2.40,4.10,6.40,3,4,2,2.20,나쁨
20210902,SD10,남해동부,소매물도,20210904,11:48,14:43,2.92,4,24.1,24.2,24.2,5,10.30,11.00,11.80,2,3,3,3.70,보통
20210902,SD19,남해서부,우도,20210904,10:48,17:20,6.53,5,23.2,25.0,26.3,5,4.60,6.00,7.30,3,3,3,4.50,좋음
20210902,SD20,황해중부,선재도,20210904,09:00,13:32,4.53,5,21.2,23.1,23.9,4,1.00,2.90,4.80,4,1,5,4.85,매우좋음
20210902,SD20,황해중부,선재도,20210904,16:48,18:00,1.20,3,21.2,23.1,23.9,4,1.00,2.90,4.80,4,1,5,3.45,보통
20210902,SD21,황해남부,화도,20210904,09:00,18:00,9.00,5,23.5,24.8,25.2,5,1.60,3.10,5.70,3,3,3,4.50,좋음
20210902,SD4,황해중부,제부도,20210904,09:00,14:41,5.68,5,21.9,23.7,24.4,4,1.60,3.40,5.70,3,1,5,4.75,매우좋음
20210902,SD4,황해중부,제부도,20210904,15:32,18:00,2.47,4,21.9,23.7,24.4,4,1.60,3.40,5.70,3,1,5,4.05,좋음
20210902,SD5,제주도,서건도,20210904,10:42,17:08,6.43,5,24.8,26.5,27.6,5,7.60,8.70,9.60,2,4,2,4.25,좋음
20210902,SD6,황해중부,실미도,20210904,09:00,11:48,2.80,4,21.5,23.1,24.0,4,0.10,2.60,4.40,4,1,5,4.15,좋음
20210902,SD8,황해중부,웅도,20210904,09:00,18:00,9.00,5,21.9,23.7,24.4,4,4.20,4.80,5.40,3,1,5,4.75,매우좋음
20210902,SD9,황해중부,소야도,20210904,09:00,11:17,2.28,4,21.4,22.8,23.8,4,2.20,4.10,6.60,3,1,5,4.05,좋음
