NAME,Date_time,WHT,SST
상왕등도,2021-09-02 09,0.4,25.24
상왕등도,2021-09-02 12,0.33,25.67
상왕등도,2021-09-02 15,0.18,25.6
상왕등도,2021-09-02 18,0.06,25.75
상왕등도,2021-09-03 21,0.07,25.18
상왕등도,2021-09-03 00,0.1,25.09
상왕등도,2021-09-03 03,0.13,25.53
상왕등도,2021-09-03 06,0.1,24.98
상왕등도,2021-09-03 09,0.25,25.12
상왕등도,2021-09-03 12,0.28,25.91
상왕등도,2021-09-03 15,0.24,26.57
상왕등도,2021-09-03 18,0.32,25.95
상왕등도,2021-09-04 21,0.54,25.75
상왕등도,2021-09-04 00,0.44,25.12
상왕등도,2021-09-04 03,0.36,25.5
상왕등도,2021-09-04 06,0.38,25.15
상왕등도,2021-09-04 09,0.76,25.09
상왕등도,2021-09-04 12,0.66,25.54
상왕등도,2021-09-04 15,0.66,25.73
상왕등도,2021-09-04 18,0.57,25.35
추자도,2021-09-02 09,0.63,25.83
추자도,2021-09-02 12,0.37,26.3
추자도,2021-09-02 15,0.32,26.0
추자도,2021-09-02 18,0.27,26.17
추자도,2021-09-03 21,0.22,25.84
추자도,2021-09-03 00,0.27,26.06
추자도,2021-09-03 03,0.19,25.79
추자도,2021-09-03 06,0.55,26.24
추자도,2021-09-03 09,0.51,26.14
추자도,2021-09-03 12,0.33,26.4
추자도,2021-09-03 15,0.56,26.82
추자도,2021-09-03 18,0.51,26.42
추자도,2021-09-04 21,0.5,26.35
추자도,2021-09-04 00,0.42,25.9
추자도,2021-09-04 03,0.44,26.54
추자도,2021-09-04 06,0.59,26.16
추자도,2021-09-04 09,0.47,26.7
추자도,2021-09-04 12,0.36,26.32
추자도,2021-09-04 15,0.39,26.43
추자도,2021-09-04 18,0.23,26.2
울진후정,2021-09-02 09,0.65,24.7
울진후정,2021-09-02 12,0.59,24.73
울진후정,2021-09-02 15,0.73,25.02
울진후정,2021-09-02 18,0.51,25.03
울진후정,2021-09-03 21,0.54,24.82
울진후정,2021-09-03 00,0.81,24.83
울진후정,2021-09-03 03,0.42,24.97
울진후정,2021-09-03 06,0.22,24.28
울진후정,2021-09-03 09,0.59,24.43
울진후정,2021-09-03 12,0.47,24.56
울진후정,2021-09-03 15,0.24,24.73
울진후정,2021-09-03 18,0.7,24.97
울진후정,2021-09-04 21,0.71,24.58
울진후정,2021-09-04 00,0.75,24.42
울진후정,2021-09-04 03,0.71,24.04
울진후정,2021-09-04 06,0.94,24.07
울진후정,2021-09-04 09,0.7,24.34
울진후정,2021-09-04 12,0.95,24.23
울진후정,2021-09-04 15,0.98,24.58
울진후정,2021-09-04 18,1.01,24.29
동명항,2021-09-02 09,0.57,22.78
동명항,2021-09-02 12,0.72,22.95
동명항,2021-09-02 15,0.59,23.0
동명항,2021-09-02 18,0.48,23.6
동명항,2021-09-03 21,0.62,23.24
동명항,2021-09-03 00,0.25,22.6
동명항,2021-09-03 03,0.37,22.66
동명항,2021-09-03 06,0.39,22.6
동명항,2021-09-03 09,0.29,22.65
동명항,2021-09-03 12,0.33,23.31
동명항,2021-09-03 15,0.28,23.29
동명항,2021-09-03 18,0.4,23.25
동명항,2021-09-04 21,0.35,23.19
동명항,2021-09-04 00,0.32,22.6
동명항,2021-09-04 03,0.34,22.72
동명항,2021-09-04 06,0.63,22.57
동명항,2021-09-04 09,0.54,23.04
동명항,2021-09-04 12,0.86,23.06
동명항,2021-09-04 15,0.94,23.43
동명항,2021-09-04 18,0.77,22.97
월포해수욕장,2021-09-02 09,1.29,24.4
월포해수욕장,2021-09-02 12,0.98,24.42
월포해수욕장,2021-09-02 15,0.94,24.51
월포해수욕장,2021-09-02 18,1.12,24.3
월포해수욕장,2021-09-03 21,0.6,24.41
월포해수욕장,2021-09-03 00,0.7,24.51
월포해수욕장,2021-09-03 03,0.77,24.44
월포해수욕장,2021-09-03 06,0.78,24.43
월포해수욕장,2021-09-03 09,0.88,24.36
월포해수욕장,2021-09-03 12,0.72,24.63
월포해수욕장,2021-09-03 15,1.04,24.44
월포해수욕장,2021-09-03 18,1.04,24.16
월포해수욕장,2021-09-04 21,1.17,24.58
월포해수욕장,2021-09-04 00,1.09,24.39
