생산일,코드,권역,지역,예측일자,어종,어종타입,물때,물때점수,최소파고,평균파고,최대파고,파고점수,최소수온,평균수온,최대수온,수온점수,최저기온,평균기온,최대기온,기온점수,최소풍속,평균풍속,최대풍속,풍속점수,총점수
20210829,SF2,황해남부,가거도,20210828,감성돔,BP,13,3,0.7,0.8,0.9,3,24,24,25,2,25,25,26,5,2,4,6,3,2.88
20210829,SF35,남해서부,거문도,20210828,농어,SB,13,2,0.6,0.8,1.1,2,25,25,25,3,26,26,27,5,3,5,6,3,2.40
20210829,SF37,남해서부,거문도,20210828,참돔,RP,13,2,0.6,0.8,1.1,2,25,25,25,3,26,26,27,5,3,5,6,3,2.40
20210829,SF38,남해서부,거문도,20210828,감성돔,BP,13,3,0.6,0.8,1.1,2,25,25,25,1,26,26,27,5,3,5,6,3,2.40
20210829,SF39,남해서부,거문도,20210828,우럭,RF,13,4,0.6,0.8,1.1,2,25,25,25,2,26,26,27,5,3,5,6,3,2.40
20210829,SF14,남해동부,거제도,20210828,우럭,RF,13,4,0.5,0.6,0.8,3,22,24,24,3,25,26,27,5,1,3,5,3,3.24
20210829,SF11,황해중부,국화도,20210828,우럭,RF,13,4,0.2,0.2,0.3,4,25,25,25,2,23,24,24,5,1,3,5,3,3.40
20210829,SF56,제주도,김녕,20210828,벵에돔,OP,13,3,0.4,0.5,0.6,3,25,26,26,1,26,27,27,5,1,4,7,3,2.68
20210829,SF57,제주도,김녕,20210828,농어,SB,13,2,0.4,0.5,0.6,3,25,26,26,2,26,27,27,5,1,4,7,3,2.72
20210829,SF58,제주도,김녕,20210828,돌돔,RB,13,4,0.4,0.5,0.6,3,25,26,26,4,26,27,27,5,1,4,7,3,3.44
20210829,SF59,제주도,김녕,20210828,참돔,RP,13,2,0.4,0.5,0.6,3,25,26,26,2,26,27,27,5,1,4,7,3,2.72
20210829,SF49,황해중부,모항항,20210828,우럭,RF,13,4,0.2,0.3,0.4,4,23,24,24,3,24,24,24,5,1,3,4,4,3.84
20210829,SF50,황해중부,모항항,20210828,감성돔,BP,13,3,0.2,0.3,0.4,4,23,24,24,2,24,24,24,5,1,3,4,4,3.48
20210829,SF51,황해중부,방포항,20210828,우럭,RF,13,4,0.2,0.2,0.3,4,24,24,24,3,24,24,25,5,2,4,6,3,3.60
20210829,SF74,남해동부,부산남부,20210828,우럭,RF,13,4,0.7,0.8,0.8,3,19,20,21,4,27,28,28,5,1,4,4,4,3.68
20210829,SF75,남해동부,부산남부,20210828,감성돔,BP,13,3,0.7,0.8,0.8,3,19,20,21,4,27,28,28,5,1,4,4,4,3.52
20210829,SF76,남해동부,부산남부,20210828,돌돔,RB,13,4,0.7,0.8,0.8,3,19,20,21,4,27,28,28,5,1,4,4,4,3.68
20210829,SF77,남해동부,부산남부,20210828,참돔,RP,13,2,0.7,0.8,0.8,3,19,20,21,5,27,28,28,5,1,4,4,4,3.56
20210829,SF78,남해동부,부산남부,20210828,벵에돔,OP,13,3,0.7,0.8,0.8,3,19,20,21,5,27,28,28,5,1,4,4,4,3.72
20210829,SF79,남해동부,부산남부,20210828,농어,SB,13,2,0.7,0.8,0.8,3,19,20,21,5,27,28,28,5,1,4,4,4,3.56
20210829,SF67,남해동부,부산동부,20210828,우럭,RF,13,4,0.2,0.4,0.5,4,20,21,21,4,25,26,27,5,1,5,7,3,3.80
20210829,SF68,남해동부,부산동부,20210828,감성돔,BP,13,3,0.2,0.4,0.5,4,20,21,21,3,25,26,27,5,1,5,7,3,3.44
20210829,SF69,남해동부,부산동부,20210828,참돔,RP,13,2,0.2,0.4,0.5,4,20,21,21,4,25,26,27,5,1,5,7,3,3.48
20210829,SF70,남해동부,부산동부,20210828,벵에돔,OP,13,3,0.2,0.4,0.5,4,20,21,21,4,25,26,27,5,1,5,7,3,3.64
20210829,SF71,남해동부,부산동부,20210828,농어,SB,13,2,0.2,0.4,0.5,4,20,21,21,4,25,26,27,5,1,5,7,3,3.48
20210829,SF60,남해동부,부산서부,20210828,우럭,RF,13,4,0.7,0.8,0.8,3,19,19,20,5,25,26,27,5,0,4,6,3,3.64
20210829,SF61,남해동부,부산서부,20210828,감성돔,BP,13,3,0.7,0.8,0.8,3,19,19,20,4,25,26,27,5,0,4,6,3,3.28
20210829,SF62,남해동부,부산서부,20210828,돌돔,RB,13,4,0.7,0.8,0.8,3,19,19,20,3,25,26,27,5,0,4,6,3,3.24
20210829,SF63,남해동부,부산서부,20210828,참돔,RP,13,2,0.7,0.8,0.8,3,19,19,20,5,25,26,27,5,0,4,6,3,3.32
20210829,SF64,남해동부,부산서부,20210828,벵에돔,OP,13,3,0.7,0.8,0.8,3,19,19,20,5,25,26,27,5,0,4,6,3,3.48
