생산일,코드,권역,지역,예측일자,갈라짐시작시간,갈라짐종료시간,체험시간,체험시간점수,최저기온,평균기온,최고기온,기온점수,최저풍속,평균풍속,최대풍속,풍속점수,날씨,날씨점수,총점수,예보지수
20210829,SD19,남해서부,우도,20210829,09:00,10:50,1.83,3,26.5,28.4,29.5,5,3.50,6.50,8.10,3,1,5,3.40,보통
20210829,SD19,남해서부,우도,20210829,17:35,18:00,0.42,1,26.5,28.4,29.5,5,3.50,6.50,8.10,3,1,5,1.00,매우나쁨
20210829,SD20,황해중부,선재도,20210829,10:32,18:00,7.47,5,21.6,22.2,22.9,4,2.60,5.40,7.40,3,1,5,4.75,매우좋음
20210829,SD21,황해남부,화도,20210829,09:00,18:00,9.00,5,25.6,25.9,26.2,5,5.90,6.70,7.50,3,1,5,4.80,매우좋음
20210829,SD4,황해중부,제부도,20210829,09:57,18:00,8.05,5,21.5,22.2,22.7,4,2.80,5.50,9.20,2,1,5,4.65,좋음
20210829,SD5,제주도,서건도,20210829,09:00,10:45,1.75,3,24.2,27.9,28.7,5,2.60,5.20,6.10,3,1,5,3.40,보통
20210829,SD6,황해중부,실미도,20210829,12:02,17:28,5.43,5,21.4,22.0,22.8,4,3.70,5.30,6.50,3,1,5,4.75,매우좋음
20210829,SD8,황해중부,웅도,20210829,09:33,18:00,8.45,5,22.0,22.4,23.0,4,2.50,6.50,8.60,3,1,5,4.75,매우좋음
20210829,SD9,황해중부,소야도,20210829,12:10,17:09,4.98,5,21.2,22.0,22.5,4,4.10,6.60,10.40,2,1,5,4.65,좋음
20210829,SD19,남해서부,우도,20210830,09:00,11:41,2.68,4,26.6,28.8,30.0,5,2.00,3.40,4.70,4,1,5,4.20,좋음
20210829,SD20,황해중부,선재도,20210830,10:47,18:00,7.22,5,22.4,23.5,24.3,4,2.90,3.90,5.20,3,1,5,4.75,매우좋음
20210829,SD21,황해남부,화도,20210830,09:00,18:00,9.00,5,24.1,24.9,25.3,5,4.30,5.40,6.40,3,1,5,4.80,매우좋음
20210829,SD4,황해중부,제부도,20210830,09:56,18:00,8.07,5,22.5,23.4,24.0,4,3.80,4.40,4.90,4,1,5,4.85,매우좋음
20210829,SD5,제주도,서건도,20210830,09:00,11:40,2.67,4,25.7,27.6,28.4,5,4.40,5.00,5.70,3,1,5,4.10,좋음
20210829,SD6,황해중부,실미도,20210830,12:36,18:00,5.40,5,22.3,23.2,23.9,4,2.60,4.00,5.20,3,1,5,4.75,매우좋음
20210829,SD8,황해중부,웅도,20210830,09:00,18:00,9.00,5,22.8,23.1,23.7,4,3.90,4.70,5.00,3,1,5,4.75,매우좋음
20210829,SD9,황해중부,소야도,20210830,12:51,17:42,4.85,5,22.5,23.0,23.6,4,2.80,3.50,4.80,4,1,5,4.85,매우좋음
20210829,SD19,남해서부,우도,20210831,09:00,12:53,3.88,5,25.2,27.0,28.5,5,0.90,3.20,5.50,3,1,5,4.80,매우좋음
20210829,SD20,황해중부,선재도,20210831,10:50,18:00,7.17,5,23.0,23.9,25.1,4,1.10,6.10,10.20,2,1,5,4.65,좋음
20210829,SD21,황해남부,화도,20210831,09:00,18:00,9.00,5,25.2,25.8,26.4,5,3.20,4.30,4.90,4,1,5,4.90,매우좋음
20210829,SD4,황해중부,제부도,20210831,09:00,18:00,9.00,5,22.9,24.0,25.2,5,1.50,5.10,7.60,3,1,5,4.80,매우좋음
20210829,SD5,제주도,서건도,20210831,09:00,12:55,3.92,5,23.3,26.8,27.4,5,0.60,3.30,4.30,4,1,5,4.90,매우좋음
20210829,SD6,황해중부,실미도,20210831,13:25,18:00,4.58,5,22.9,23.6,24.6,4,2.20,6.60,10.00,2,1,5,4.65,좋음
20210829,SD8,황해중부,웅도,20210831,09:00,18:00,9.00,5,23.3,24.4,25.6,5,2.80,5.30,7.60,3,1,5,4.80,매우좋음
20210829,SD9,황해중부,소야도,20210831,13:50,18:00,4.17,5,22.5,23.3,24.1,4,3.20,7.40,10.90,2,1,5,4.65,좋음
