산출날짜,코드,구분,지역,예측날짜,오전오후,유의파고,파고점수,파향,상대파향,파향점수,파주기,파주기점수,풍속,풍향,풍속점수,수온,수온점수,특보,특보점수,총점수,예보지수
20210829,SR1,부산,송정해수욕장,20210829,AM,0.4,2,355,305,1,3.5,1,6.3,47,3,22.2,5,-,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210829,PM,0.4,2,283,233,1,3.2,1,9.3,57,2,24.4,5,-,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210830,AM,0.2,2,284,234,1,3.7,1,3.8,205,4,21.6,4,-,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210830,PM,0.1,2,282,232,1,3.5,1,5.1,209,3,21.6,5,-,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210831,AM,0.1,2,278,228,1,3.4,1,4.7,206,4,22.8,5,-,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210831,PM,0.1,2,279,229,1,3.7,1,4.8,197,4,23.6,5,-,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210901,AM,0.1,2,328,278,1,3.4,1,5.2,58,3,24,5,-,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210901,PM,0.3,2,19,-31,1,3.1,1,10.1,54,2,24.4,5,-,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210902,AM,0.5,5,18,-32,1,3.9,1,10.6,48,2,22.3,5,-,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210902,PM,0.5,5,15,-35,1,4.7,1,9.5,38,2,23.3,5,-,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210903,AM,0.6,5,257,207,1,7.4,4,9.2,235,2,20.4,5,-,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210903,PM,0.7,5,254,204,1,7.8,4,11,231,2,20.8,5,-,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210904,AM,0.9,5,258,208,1,6.8,4,10.9,224,2,21.5,5,-,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210904,PM,0.9,5,259,209,1,7,4,11,220,2,22.4,5,-,5,2,나쁨
