생산일,코드,권역,지역,예측일자,어종,어종타입,물때,물때점수,최소파고,평균파고,최대파고,파고점수,최소수온,평균수온,최대수온,수온점수,최저기온,평균기온,최대기온,기온점수,최소풍속,평균풍속,최대풍속,풍속점수,특보,특보점수,총점수,예보지수
20210901,SF2,황해남부,가거도,20210901,감성돔,BP,2,2,1.0,1.1,1.3,2,24.4,24.8,24.9,2,25.0,25.9,26.4,5,3.3,6.5,8.1,3,-,5,2.4,나쁨
20210901,SF35,남해서부,거문도,20210901,농어,SB,2,2,0.9,0.9,1.0,3,24.5,24.7,25.8,3,26.4,26.6,26.7,5,5.6,6.7,8.2,3,-,5,2.92,나쁨
20210901,SF37,남해서부,거문도,20210901,참돔,RP,2,2,0.9,0.9,1.0,3,24.5,24.7,25.8,3,26.4,26.6,26.7,5,5.6,6.7,8.2,3,-,5,2.92,나쁨
20210901,SF38,남해서부,거문도,20210901,감성돔,BP,2,2,0.9,0.9,1.0,3,24.5,24.7,25.8,2,26.4,26.6,26.7,5,5.6,6.7,8.2,3,-,5,2.72,나쁨
20210901,SF39,남해서부,거문도,20210901,우럭,RF,2,4,0.9,0.9,1.0,3,24.5,24.7,25.8,3,26.4,26.6,26.7,5,5.6,6.7,8.2,3,-,5,3.24,보통
20210901,SF14,남해동부,거제도,20210901,우럭,RF,2,4,0.4,0.5,0.6,3,24.4,25.8,26.4,2,24.5,26.7,27.4,5,4.7,6.8,8.4,3,-,5,3.04,보통
20210901,SF11,황해중부,국화도,20210901,우럭,RF,2,4,0.2,0.2,0.5,4,24.5,24.5,25.7,3,21.5,22.8,25.9,4,4.6,5.6,6.7,3,-,5,3.56,보통
20210901,SF56,제주도,김녕,20210901,벵에돔,OP,2,2,0.2,0.4,0.5,4,26.3,27.0,27.2,1,26.4,27.3,27.5,5,5.8,9.6,10.8,2,-,5,2.64,나쁨
20210901,SF57,제주도,김녕,20210901,농어,SB,2,2,0.2,0.4,0.5,4,26.3,27.0,27.2,2,26.4,27.3,27.5,5,5.8,9.6,10.8,2,-,5,2.84,나쁨
20210901,SF58,제주도,김녕,20210901,돌돔,RB,2,3,0.2,0.4,0.5,4,26.3,27.0,27.2,3,26.4,27.3,27.5,5,5.8,9.6,10.8,2,-,5,3.2,보통
20210901,SF59,제주도,김녕,20210901,참돔,RP,2,2,0.2,0.4,0.5,4,26.3,27.0,27.2,2,26.4,27.3,27.5,5,5.8,9.6,10.8,2,-,5,2.84,나쁨
20210901,SF49,황해중부,모항항,20210901,우럭,RF,2,4,0.8,0.8,0.9,3,23.6,23.6,25.7,3,21.5,22.8,25.0,4,5.4,6.2,6.9,3,-,5,3.2,보통
20210901,SF50,황해중부,모항항,20210901,감성돔,BP,2,2,0.8,0.8,0.9,3,23.6,23.6,25.7,2,21.5,22.8,25.0,4,5.4,6.2,6.9,3,-,5,2.68,나쁨
20210901,SF51,황해중부,방포항,20210901,우럭,RF,2,4,0.4,0.5,0.7,3,24.1,24.4,24.6,3,22.2,23.6,25.7,4,3.7,4.9,5.5,3,-,5,3.2,보통
20210901,SF74,남해동부,부산남부,20210901,우럭,RF,2,4,0.6,0.7,0.8,3,24.0,25.0,25.0,2,22.8,26.5,27.6,5,4.0,6.2,7.7,3,-,5,3.04,보통
20210901,SF75,남해동부,부산남부,20210901,감성돔,BP,2,2,0.6,0.7,0.8,3,24.0,25.0,25.0,1,22.8,26.5,27.6,5,4.0,6.2,7.7,3,-,5,2.52,나쁨
20210901,SF76,남해동부,부산남부,20210901,돌돔,RB,2,3,0.6,0.7,0.8,3,24.0,25.0,25.0,5,22.8,26.5,27.6,5,4.0,6.2,7.7,3,-,5,3.48,보통
20210901,SF77,남해동부,부산남부,20210901,참돔,RP,2,2,0.6,0.7,0.8,3,24.0,25.0,25.0,3,22.8,26.5,27.6,5,4.0,6.2,7.7,3,-,5,2.92,나쁨
20210901,SF78,남해동부,부산남부,20210901,벵에돔,OP,2,2,0.6,0.7,0.8,3,24.0,25.0,25.0,1,22.8,26.5,27.6,5,4.0,6.2,7.7,3,-,5,2.52,나쁨
20210901,SF79,남해동부,부산남부,20210901,농어,SB,2,2,0.6,0.7,0.8,3,24.0,25.0,25.0,3,22.8,26.5,27.6,5,4.0,6.2,7.7,3,-,5,2.92,나쁨
20210901,SF67,남해동부,부산동부,20210901,우럭,RF,2,4,0.5,0.6,0.7,3,24.4,25.7,25.7,2,22.5,25.5,26.5,5,1.0,7.2,9.9,2,-,5,2.6,나쁨
20210901,SF68,남해동부,부산동부,20210901,감성돔,BP,2,2,0.5,0.6,0.7,3,24.4,25.7,25.7,1,22.5,25.5,26.5,5,1.0,7.2,9.9,2,-,5,2.6,나쁨
20210901,SF69,남해동부,부산동부,20210901,참돔,RP,2,2,0.5,0.6,0.7,3,24.4,25.7,25.7,3,22.5,25.5,26.5,5,1.0,7.2,9.9,2,-,5,2.6,나쁨
20210901,SF70,남해동부,부산동부,20210901,벵에돔,OP,2,2,0.5,0.6,0.7,3,24.4,25.7,25.7,1,22.5,25.5,26.5,5,1.0,7.2,9.9,2,-,5,2.6,나쁨
20210901,SF71,남해동부,부산동부,20210901,농어,SB,2,2,0.5,0.6,0.7,3,24.4,25.7,25.7,3,22.5,25.5,26.5,5,1.0,7.2,9.9,2,-,5,2.6,나쁨
20210901,SF60,남해동부,부산서부,20210901,우럭,RF,2,4,0.7,0.7,0.8,3,24.3,24.8,25.2,3,24.4,26.5,27.2,5,4.7,7.3,8.7,3,-,5,3.24,보통
20210901,SF61,남해동부,부산서부,20210901,감성돔,BP,2,2,0.7,0.7,0.8,3,24.3,24.8,25.2,2,24.4,26.5,27.2,5,4.7,7.3,8.7,3,-,5,2.72,나쁨
20210901,SF62,남해동부,부산서부,20210901,돌돔,RB,2,3,0.7,0.7,0.8,3,24.3,24.8,25.2,5,24.4,26.5,27.2,5,4.7,7.3,8.7,3,-,5,3.48,보통
20210901,SF63,남해동부,부산서부,20210901,참돔,RP,2,2,0.7,0.7,0.8,3,24.3,24.8,25.2,3,24.4,26.5,27.2,5,4.7,7.3,8.7,3,-,5,2.92,나쁨
20210901,SF64,남해동부,부산서부,20210901,벵에돔,OP,2,2,0.7,0.7,0.8,3,24.3,24.8,25.2,2,24.4,26.5,27.2,5,4.7,7.3,8.7,3,-,5,2.72,나쁨
20210901,SF65,남해동부,부산서부,20210901,농어,SB,2,2,0.7,0.7,0.8,3,24.3,24.8,25.2,3,24.4,26.5,27.2,5,4.7,7.3,8.7,3,-,5,2.92,나쁨
20210901,SF1,황해남부,상왕등도,20210901,감성돔,BP,2,2,0.2,0.3,0.4,4,25.46,25.6575,25.92,1,23.5,23.6,25.0,4,3.2,4.5,5.6,3,-,5,2.84,나쁨
20210901,SF29,황해남부,상태도,20210901,농어,SB,2,2,0.7,0.7,1.0,3,25.1,25.6,25.8,3,24.8,25.7,26.3,5,3.9,5.8,7.6,3,-,5,2.92,나쁨
20210901,SF31,황해남부,상태도,20210901,참돔,RP,2,2,0.7,0.7,1.0,3,25.1,25.6,25.8,3,24.8,25.7,26.3,5,3.9,5.8,7.6,3,-,5,2.92,나쁨
20210901,SF32,황해남부,상태도,20210901,돌돔,RB,2,3,0.7,0.7,1.0,3,25.1,25.6,25.8,5,24.8,25.7,26.3,5,3.9,5.8,7.6,3,-,5,3.48,보통
