NAME,Date_time,WHT,SST
상왕등도,2021-09-01 09,0.21,25.46
상왕등도,2021-09-01 12,0.42,25.65
상왕등도,2021-09-01 15,0.33,25.92
상왕등도,2021-09-01 18,0.35,25.6
상왕등도,2021-09-02 21,0.29,25.29
상왕등도,2021-09-02 00,0.37,25.13
상왕등도,2021-09-02 03,0.17,25.4
상왕등도,2021-09-02 06,0.37,25.08
상왕등도,2021-09-02 09,0.38,25.18
상왕등도,2021-09-02 12,0.2,25.44
상왕등도,2021-09-02 15,0.1,25.16
상왕등도,2021-09-02 18,0.24,25.33
상왕등도,2021-09-03 21,0.26,24.96
상왕등도,2021-09-03 00,0.27,25.38
상왕등도,2021-09-03 03,0.27,25.55
상왕등도,2021-09-03 06,0.17,25.19
상왕등도,2021-09-03 09,0.04,25.34
상왕등도,2021-09-03 12,0.08,25.48
상왕등도,2021-09-03 15,0.07,25.8
상왕등도,2021-09-03 18,0.01,25.77
추자도,2021-09-01 09,1.03,26.03
추자도,2021-09-01 12,1.23,25.62
추자도,2021-09-01 15,1.01,25.61
추자도,2021-09-01 18,0.87,25.08
추자도,2021-09-02 21,0.89,25.22
추자도,2021-09-02 00,0.85,25.02
추자도,2021-09-02 03,0.52,25.23
추자도,2021-09-02 06,0.57,24.98
추자도,2021-09-02 09,0.62,25.64
추자도,2021-09-02 12,0.47,24.89
추자도,2021-09-02 15,0.38,25.54
추자도,2021-09-02 18,0.4,25.23
추자도,2021-09-03 21,0.23,25.46
추자도,2021-09-03 00,0.1,25.69
추자도,2021-09-03 03,0.33,25.28
추자도,2021-09-03 06,0.39,25.49
추자도,2021-09-03 09,0.35,25.18
추자도,2021-09-03 12,0.23,25.64
추자도,2021-09-03 15,0.29,25.96
추자도,2021-09-03 18,0.18,25.75
울진후정,2021-09-01 09,1.31,24.73
울진후정,2021-09-01 12,1.57,24.72
울진후정,2021-09-01 15,1.68,24.47
울진후정,2021-09-01 18,1.52,24.9
울진후정,2021-09-02 21,1.55,25.02
울진후정,2021-09-02 00,1.28,24.6
울진후정,2021-09-02 03,1.15,24.55
울진후정,2021-09-02 06,0.86,24.33
울진후정,2021-09-02 09,1.22,25.03
울진후정,2021-09-02 12,0.86,24.58
울진후정,2021-09-02 15,1.09,24.46
울진후정,2021-09-02 18,0.78,24.69
울진후정,2021-09-03 21,0.8,24.77
울진후정,2021-09-03 00,0.66,24.65
울진후정,2021-09-03 03,0.69,24.66
울진후정,2021-09-03 06,0.74,24.69
울진후정,2021-09-03 09,0.47,24.54
울진후정,2021-09-03 12,0.46,24.81
울진후정,2021-09-03 15,0.16,24.94
울진후정,2021-09-03 18,0.5,24.88
동명항,2021-09-01 09,1.3,23.93
동명항,2021-09-01 12,1.16,23.84
동명항,2021-09-01 15,1.53,23.54
동명항,2021-09-01 18,1.39,23.13
동명항,2021-09-02 21,1.12,22.46
동명항,2021-09-02 00,0.91,22.34
동명항,2021-09-02 03,0.84,22.62
동명항,2021-09-02 06,0.67,22.87
동명항,2021-09-02 09,0.62,22.97
동명항,2021-09-02 12,0.65,23.31
동명항,2021-09-02 15,0.54,22.78
동명항,2021-09-02 18,0.67,22.71
동명항,2021-09-03 21,0.53,22.06
동명항,2021-09-03 00,0.76,22.21
동명항,2021-09-03 03,0.69,21.42
동명항,2021-09-03 06,0.63,21.65
동명항,2021-09-03 09,0.61,20.89
동명항,2021-09-03 12,0.52,21.14
동명항,2021-09-03 15,0.7,21.24
동명항,2021-09-03 18,0.4,21.2
월포해수욕장,2021-09-01 09,0.55,25.52
월포해수욕장,2021-09-01 12,0.93,25.05
월포해수욕장,2021-09-01 15,1.96,25.44
월포해수욕장,2021-09-01 18,1.9,25.09
월포해수욕장,2021-09-02 21,1.85,25.12
월포해수욕장,2021-09-02 00,1.75,24.92
월포해수욕장,2021-09-02 03,1.42,25.4
월포해수욕장,2021-09-02 06,1.21,25.66
월포해수욕장,2021-09-02 09,1.2,25.38
월포해수욕장,2021-09-02 12,1.21,25.32
월포해수욕장,2021-09-02 15,1.1,25.18
월포해수욕장,2021-09-02 18,0.75,25.47
월포해수욕장,2021-09-03 21,0.95,24.61
월포해수욕장,2021-09-03 00,0.71,24.71
월포해수욕장,2021-09-03 03,0.68,25.03
월포해수욕장,2021-09-03 06,0.72,24.81
월포해수욕장,2021-09-03 09,0.87,24.3
월포해수욕장,2021-09-03 12,0.66,25.04
월포해수욕장,2021-09-03 15,0.72,25.09
월포해수욕장,2021-09-03 18,0.54,24.51
구조라해수욕장,2021-09-01 09,0.63,25.48
구조라해수욕장,2021-09-01 12,0.53,24.97
구조라해수욕장,2021-09-01 15,0.45,24.53
구조라해수욕장,2021-09-01 18,0.5,24.76
구조라해수욕장,2021-09-02 21,0.4,24.68
구조라해수욕장,2021-09-02 00,0.21,24.4
구조라해수욕장,2021-09-02 03,0.23,24.2
구조라해수욕장,2021-09-02 06,0.18,24.12
구조라해수욕장,2021-09-02 09,0.14,23.96
구조라해수욕장,2021-09-02 12,0.18,25.04
구조라해수욕장,2021-09-02 15,0.22,25.0
구조라해수욕장,2021-09-02 18,0.15,24.93
구조라해수욕장,2021-09-03 21,0.05,24.99
구조라해수욕장,2021-09-03 00,0.17,24.75
구조라해수욕장,2021-09-03 03,0.1,25.17
구조라해수욕장,2021-09-03 06,0.23,25.06
구조라해수욕장,2021-09-03 09,0.1,24.79
구조라해수욕장,2021-09-03 12,0.23,25.55
구조라해수욕장,2021-09-03 15,0.17,25.52
구조라해수욕장,2021-09-03 18,0.19,25.35
문섬,2021-09-01 09,0.83,25.21
문섬,2021-09-01 12,0.72,25.27
문섬,2021-09-01 15,0.81,24.92
문섬,2021-09-01 18,0.86,25.25
문섬,2021-09-02 21,0.79,24.58
문섬,2021-09-02 00,0.53,25.03
문섬,2021-09-02 03,0.55,25.24
문섬,2021-09-02 06,0.4,25.15
문섬,2021-09-02 09,0.4,25.12
문섬,2021-09-02 12,0.4,25.03
문섬,2021-09-02 15,0.55,25.69
문섬,2021-09-02 18,0.52,25.47
문섬,2021-09-03 21,0.65,25.58
문섬,2021-09-03 00,0.39,25.13
문섬,2021-09-03 03,0.32,25.22
문섬,2021-09-03 06,0.19,24.93
문섬,2021-09-03 09,0.22,25.25
문섬,2021-09-03 12,0.43,25.23
문섬,2021-09-03 15,0.19,25.44
문섬,2021-09-03 18,0.28,25.13
