생산일,코드,권역,지역,예측일자,어종,어종타입,물때,물때점수,최소파고,평균파고,최대파고,파고점수,최소수온,평균수온,최대수온,수온점수,최저기온,평균기온,최대기온,기온점수,최소풍속,평균풍속,최대풍속,풍속점수,총점수
20210901,SF2,황해남부,가거도,20210831,감성돔,BP,1,1,0.5,0.6,0.8,3,24,25,25,1,26,26,26,5,4,6,7,3,2.36
20210901,SF35,남해서부,거문도,20210831,농어,SB,1,2,0.2,0.2,0.3,4,24,25,25,3,26,26,26,5,0,3,6,3,3.28
20210901,SF37,남해서부,거문도,20210831,참돔,RP,1,2,0.2,0.2,0.3,4,24,25,25,3,26,26,26,5,0,3,6,3,3.28
20210901,SF38,남해서부,거문도,20210831,감성돔,BP,1,1,0.2,0.2,0.3,4,24,25,25,1,26,26,26,5,0,3,6,3,2.72
20210901,SF39,남해서부,거문도,20210831,우럭,RF,1,5,0.2,0.2,0.3,4,24,25,25,2,26,26,26,5,0,3,6,3,3.56
20210901,SF14,남해동부,거제도,20210831,우럭,RF,1,5,0.2,0.2,0.3,4,25,25,25,2,25,25,26,5,3,6,7,3,3.56
20210901,SF11,황해중부,국화도,20210831,우럭,RF,1,5,0.1,0.4,0.6,3,25,25,25,2,21,21,22,4,2,6,10,2,2.60
20210901,SF56,제주도,김녕,20210831,벵에돔,OP,1,1,0.1,0.2,0.3,4,27,27,28,1,26,27,27,5,1,3,6,3,2.72
20210901,SF57,제주도,김녕,20210831,농어,SB,1,2,0.1,0.2,0.3,4,27,27,28,2,26,27,27,5,1,3,6,3,3.08
20210901,SF58,제주도,김녕,20210831,돌돔,RB,1,2,0.1,0.2,0.3,4,27,27,28,3,26,27,27,5,1,3,6,3,3.28
20210901,SF59,제주도,김녕,20210831,참돔,RP,1,2,0.1,0.2,0.3,4,27,27,28,2,26,27,27,5,1,3,6,3,3.08
20210901,SF49,황해중부,모항항,20210831,우럭,RF,1,5,0.2,0.2,0.5,4,23,24,24,3,21,22,24,4,3,7,10,2,3.48
20210901,SF50,황해중부,모항항,20210831,감성돔,BP,1,1,0.2,0.2,0.5,4,23,24,24,2,21,22,24,4,3,7,10,2,2.64
20210901,SF51,황해중부,방포항,20210831,우럭,RF,1,5,0.1,0.1,0.2,5,24,24,25,3,21,23,24,4,3,6,9,2,3.84
20210901,SF74,남해동부,부산남부,20210831,우럭,RF,1,5,0.2,0.3,0.4,4,23,23,24,3,25,26,27,5,3,4,5,3,3.76
20210901,SF75,남해동부,부산남부,20210831,감성돔,BP,1,1,0.2,0.3,0.4,4,23,23,24,2,25,26,27,5,3,4,5,3,2.92
20210901,SF76,남해동부,부산남부,20210831,돌돔,RB,1,2,0.2,0.3,0.4,4,23,23,24,5,25,26,27,5,3,4,5,3,3.68
20210901,SF77,남해동부,부산남부,20210831,참돔,RP,1,2,0.2,0.3,0.4,4,23,23,24,4,25,26,27,5,3,4,5,3,3.48
20210901,SF78,남해동부,부산남부,20210831,벵에돔,OP,1,1,0.2,0.3,0.4,4,23,23,24,3,25,26,27,5,3,4,5,3,3.12
20210901,SF79,남해동부,부산남부,20210831,농어,SB,1,2,0.2,0.3,0.4,4,23,23,24,3,25,26,27,5,3,4,5,3,3.28
20210901,SF67,남해동부,부산동부,20210831,우럭,RF,1,5,0.2,0.2,0.2,5,24,25,25,2,24,25,25,5,4,5,6,3,3.92
20210901,SF68,남해동부,부산동부,20210831,감성돔,BP,1,1,0.2,0.2,0.2,5,24,25,25,1,24,25,25,5,4,5,6,3,3.08
20210901,SF69,남해동부,부산동부,20210831,참돔,RP,1,2,0.2,0.2,0.2,5,24,25,25,3,24,25,25,5,4,5,6,3,3.64
20210901,SF70,남해동부,부산동부,20210831,벵에돔,OP,1,1,0.2,0.2,0.2,5,24,25,25,1,24,25,25,5,4,5,6,3,3.08
20210901,SF71,남해동부,부산동부,20210831,농어,SB,1,2,0.2,0.2,0.2,5,24,25,25,3,24,25,25,5,4,5,6,3,3.64
20210901,SF60,남해동부,부산서부,20210831,우럭,RF,1,5,0.2,0.3,0.4,4,21,21,21,4,25,25,25,5,4,6,8,3,3.96
20210901,SF61,남해동부,부산서부,20210831,감성돔,BP,1,1,0.2,0.3,0.4,4,21,21,21,3,25,25,25,5,4,6,8,3,3.12
20210901,SF62,남해동부,부산서부,20210831,돌돔,RB,1,2,0.2,0.3,0.4,4,21,21,21,4,25,25,25,5,4,6,8,3,3.48
20210901,SF63,남해동부,부산서부,20210831,참돔,RP,1,2,0.2,0.3,0.4,4,21,21,21,4,25,25,25,5,4,6,8,3,3.48
20210901,SF64,남해동부,부산서부,20210831,벵에돔,OP,1,1,0.2,0.3,0.4,4,21,21,21,4,25,25,25,5,4,6,8,3,3.32
20210901,SF65,남해동부,부산서부,20210831,농어,SB,1,2,0.2,0.3,0.4,4,21,21,21,4,25,25,25,5,4,6,8,3,3.48
20210901,SF1,황해남부,상왕등도,20210831,감성돔,BP,1,1,0.2,0.2,0.5,4,25,26,26,1,24,25,25,5,1,3,5,3,2.72
20210901,SF29,황해남부,상태도,20210831,농어,SB,1,2,0.3,0.4,0.6,3,23,23,23,3,26,26,26,5,4,5,7,3,2.92
20210901,SF31,황해남부,상태도,20210831,참돔,RP,1,2,0.3,0.4,0.6,3,23,23,23,4,26,26,26,5,4,5,7,3,3.12
