산출날짜,코드,구분,지역,예측날짜,오전오후,유의파고,파고점수,파향,상대파향,파향점수,파주기,파주기점수,풍속,풍향,풍속점수,수온,수온점수,총점수,예보지수
20210901,SR1,부산,송정해수욕장,20210901,AM,0.7,5,288.0,238.0,1,3.9,1,7.9,44.0,3,22.5,5,3.3600000000000003,보통
20210901,SR1,부산,송정해수욕장,20210901,PM,0.7,5,291.0,241.0,1,4.3,1,8.8,122.0,3,22.5,5,3.3600000000000003,보통
20210901,SR1,부산,송정해수욕장,20210902,AM,0.8,5,0.0,-50.0,1,5.4,1,11.1,228.0,2,20.9,5,3.24,보통
20210901,SR1,부산,송정해수욕장,20210902,PM,0.8,5,360.0,310.0,1,5.3,1,10.1,232.0,2,21.9,5,3.24,보통
20210901,SR1,부산,송정해수욕장,20210903,AM,0.6,5,3.0,-47.0,1,4.2,1,10.8,238.0,2,23.2,5,3.24,보통
20210901,SR1,부산,송정해수욕장,20210903,PM,0.6,5,2.0,-48.0,1,4.1,1,10.7,231.0,2,23.4,5,3.24,보통
20210901,SR1,부산,송정해수욕장,20210904,AM,0.5,5,267.0,217.0,1,5.2,1,9.8,229.0,2,23.6,5,3.24,보통
20210901,SR1,부산,송정해수욕장,20210904,PM,0.5,2,265.0,215.0,1,5.2,1,9.8,227.0,2,23.7,5,2.04,나쁨
20210901,SR1,부산,송정해수욕장,20210905,AM,0.7,5,269.0,219.0,1,4.6,1,10.3,211.0,2,24.3,5,3.24,보통
20210901,SR1,부산,송정해수욕장,20210905,PM,0.8,5,276.0,226.0,1,4.5,1,10.4,211.0,2,24.6,5,3.24,보통
20210901,SR1,부산,송정해수욕장,20210906,AM,0.9,5,285.0,235.0,1,4.3,1,7.4,183.0,3,25.5,5,3.3600000000000003,보통
20210901,SR1,부산,송정해수욕장,20210906,PM,0.9,5,293.0,243.0,1,4.2,1,5.7,176.0,3,25.8,5,3.3600000000000003,보통
20210901,SR1,부산,송정해수욕장,20210907,AM,0.6,5,305.0,255.0,1,4.7,1,8.4,59.0,3,25.6,5,3.3600000000000003,보통
20210901,SR1,부산,송정해수욕장,20210907,PM,0.5,5,318.0,268.0,1,4.9,1,8.2,57.0,3,25.5,5,3.3600000000000003,보통
