STN,NAME,DATE,AM/PM,TEMP_MIN,TEMP_AVE,TEMP_MAX,WIND_MIN,WIND_AVE,WIND_MAX,SKY,RAIN_AMT
TL11,선유도마을,20210901,AM,24.0,24.5,25.0,2.9,3.1,3.4,4,8
TL11,선유도마을,20210901,PM,24.0,24.7,25.0,3.4,4.0,4.5,4,1
TL11,선유도마을,20210902,AM,24.0,24.5,25.0,3.9,4.6,5.3,4,0.5
TL11,선유도마을,20210902,PM,24.0,24.7,25.0,0.6,2.4,3.9,4,8.4
TL11,선유도마을,20210903,AM,23.0,24.0,25.0,2.8,3.7,4.6,4,0
TL11,선유도마을,20210903,PM,25.0,25.3,26.0,1.9,2.7,3.4,4,0
TL12,무창포마을,20210901,AM,23.0,24.0,25.0,2.1,2.8,3.5,4,29.2
TL12,무창포마을,20210901,PM,24.0,24.3,25.0,2.1,3.1,3.8,4,0
TL12,무창포마을,20210902,AM,23.0,23.5,24.0,6.1,6.2,6.2,4,0
TL12,무창포마을,20210902,PM,24.0,24.3,25.0,5.8,6.1,6.4,4,0.7
TL12,무창포마을,20210903,AM,23.0,24.5,26.0,3.5,4.6,5.7,4,0
TL12,무창포마을,20210903,PM,25.0,25.7,26.0,1.5,2.2,3.5,4,0
TL13,돌머리마을,20210901,AM,26.0,26.5,27.0,5.5,6.5,7.4,4,0
TL13,돌머리마을,20210901,PM,25.0,26.3,27.0,2.9,4.2,5.5,4,5.3
TL13,돌머리마을,20210902,AM,23.0,23.5,24.0,2.5,3.1,3.8,4,0
TL13,돌머리마을,20210902,PM,24.0,24.3,25.0,2.3,3.4,4.0,4,7
TL13,돌머리마을,20210903,AM,23.0,24.5,26.0,2.6,2.9,3.1,4,0
TL13,돌머리마을,20210903,PM,25.0,26.0,27.0,1.3,2.1,2.6,4,0
TL14,모항마을,20210901,AM,24.0,24.5,25.0,3.2,3.6,4.0,4,2.3
TL14,모항마을,20210901,PM,23.0,24.0,25.0,3.0,3.6,4.0,4,1.6
TL14,모항마을,20210902,AM,23.0,23.5,24.0,3.6,3.7,3.8,4,0
TL14,모항마을,20210902,PM,23.0,23.7,24.0,1.3,2.8,3.8,4,0
TL14,모항마을,20210903,AM,23.0,24.0,25.0,1.2,1.8,2.4,4,0
TL14,모항마을,20210903,PM,24.0,24.7,25.0,0.9,1.3,1.7,4,0
TL15,종현마을,20210901,AM,23.0,23.0,23.0,6.8,7.3,7.8,4,29.9
TL15,종현마을,20210901,PM,23.0,24.0,25.0,6.6,7.4,7.8,4,0
TL15,종현마을,20210902,AM,22.0,22.5,23.0,7.9,8.0,8.1,4,0
TL15,종현마을,20210902,PM,23.0,24.0,25.0,7.0,7.4,7.9,4,0
TL15,종현마을,20210903,AM,22.0,23.5,25.0,3.4,4.5,5.7,4,0
