산출날짜,코드,구분,지역,예측날짜,오전오후,유의파고,파고점수,파향,상대파향,파향점수,파주기,파주기점수,풍속,풍향,풍속점수,수온,수온점수,특보,특보점수,총점수,예보지수
20210901,SR1,부산,송정해수욕장,20210901,AM,0.9,5,152,102,5,3.9,1,7.9,44,3,25.5,5,-,5,4.96,매우좋음
20210901,SR1,부산,송정해수욕장,20210901,PM,1,4,205,155,1,4.8,1,8.8,122,3,24.9,5,-,5,2.96,나쁨
20210901,SR1,부산,송정해수욕장,20210902,AM,0.8,5,0,-50,1,5.4,1,11.1,228,2,20.9,5,-,5,3.24,보통
20210901,SR1,부산,송정해수욕장,20210902,PM,0.8,5,360,310,1,5.3,1,10.1,232,2,21.9,5,-,5,3.24,보통
20210901,SR1,부산,송정해수욕장,20210903,AM,0.6,5,3,-47,1,4.2,1,10.8,238,2,23.2,5,-,5,3.24,보통
20210901,SR1,부산,송정해수욕장,20210903,PM,0.6,5,2,-48,1,4.1,1,10.7,231,2,23.4,5,-,5,3.24,보통
20210901,SR1,부산,송정해수욕장,20210904,AM,0.5,5,267,217,1,5.2,1,9.8,229,2,23.6,5,-,5,3.24,보통
20210901,SR1,부산,송정해수욕장,20210904,PM,0.5,5,265,215,1,5.2,1,9.8,227,2,23.7,5,-,5,3.24,보통
20210901,SR1,부산,송정해수욕장,20210905,AM,0.7,5,269,219,1,4.6,1,10.3,211,2,24.3,5,-,5,3.24,보통
20210901,SR1,부산,송정해수욕장,20210905,PM,0.8,5,276,226,1,4.5,1,10.4,211,2,24.6,5,-,5,3.24,보통
20210901,SR1,부산,송정해수욕장,20210906,AM,0.9,5,285,235,1,4.3,1,7.4,183,3,25.5,5,-,5,3.36,보통
20210901,SR1,부산,송정해수욕장,20210906,PM,0.9,5,293,243,1,4.2,1,5.7,176,3,25.8,5,-,5,3.36,보통
20210901,SR1,부산,송정해수욕장,20210907,AM,0.6,5,305,255,1,4.7,1,8.4,59,3,25.6,5,-,5,3.36,보통
20210901,SR1,부산,송정해수욕장,20210907,PM,0.5,5,318,268,1,4.9,1,8.2,57,3,25.5,5,-,5,3.36,보통
