생산일,코드,권역,지역,예측일자,갈라짐시작시간,갈라짐종료시간,체험시간,체험시간점수,최저기온,평균기온,최고기온,기온점수,최저풍속,평균풍속,최대풍속,풍속점수,날씨,날씨점수,총점수,예보지수
20210901,SD19,남해서부,우도,20210901,09:00,14:24,5.40,5,25.7,27.3,28.2,5,3.30,5.70,8.00,3,4,2,4.35,좋음
20210901,SD20,황해중부,선재도,20210901,09:00,18:00,9.00,5,20.3,22.8,24.1,4,4.10,5.50,6.70,3,4,2,4.30,좋음
20210901,SD21,황해남부,화도,20210901,09:00,18:00,9.00,5,24.1,25.2,26.4,5,4.30,5.90,7.60,3,4,2,4.35,좋음
20210901,SD4,황해중부,제부도,20210901,09:00,18:00,9.00,5,20.8,23.0,24.0,4,3.90,5.10,5.90,3,4,2,4.30,좋음
20210901,SD5,제주도,서건도,20210901,09:00,14:20,5.33,5,25.7,28.3,29.2,5,4.30,6.70,7.40,3,4,2,4.35,좋음
20210901,SD6,황해중부,실미도,20210901,14:42,18:00,3.30,5,20.9,23.2,24.4,4,4.40,5.30,6.50,3,4,2,4.30,좋음
20210901,SD8,황해중부,웅도,20210901,09:00,18:00,9.00,5,20.9,22.7,24.0,4,4.80,5.50,6.30,3,4,2,4.30,좋음
20210901,SD9,황해중부,소야도,20210901,15:22,18:00,2.63,4,20.9,22.6,24.1,4,5.40,5.70,6.90,3,4,2,3.60,보통
20210901,SD19,남해서부,우도,20210902,09:00,15:41,6.68,5,21.4,22.8,23.8,4,4.90,5.90,6.70,3,4,2,4.30,좋음
20210901,SD20,황해중부,선재도,20210902,09:00,18:00,9.00,5,21.1,22.5,23.7,4,5.00,7.60,9.30,2,4,2,4.20,좋음
20210901,SD21,황해남부,화도,20210902,09:00,18:00,9.00,5,21.8,22.8,23.6,4,0.50,2.50,4.40,4,4,2,4.40,좋음
20210901,SD4,황해중부,제부도,20210902,09:00,18:00,9.00,5,21.2,23.1,24.2,4,4.70,6.60,8.50,3,4,2,4.30,좋음
20210901,SD5,제주도,서건도,20210902,09:00,15:30,6.50,5,26.6,27.8,28.6,5,2.70,4.10,5.50,3,4,2,4.35,좋음
20210901,SD6,황해중부,실미도,20210902,16:23,18:00,1.62,3,21.1,22.2,23.5,4,5.60,7.60,9.80,2,4,2,2.80,나쁨
20210901,SD8,황해중부,웅도,20210902,09:00,18:00,9.00,5,22.2,23.8,24.9,4,5.00,6.80,8.60,3,4,2,4.30,좋음
20210901,SD9,황해중부,소야도,20210902,17:00,18:00,1.00,3,21.5,22.6,23.4,4,6.00,8.80,10.30,2,4,2,2.80,나쁨
20210901,SD19,남해서부,우도,20210903,09:55,16:36,6.68,5,23.3,25.9,27.5,5,3.00,4.10,5.30,3,4,2,4.35,좋음
20210901,SD20,황해중부,선재도,20210903,09:00,13:34,4.57,5,21.4,23.2,24.3,4,2.40,3.50,5.00,3,4,2,4.30,좋음
20210901,SD20,황해중부,선재도,20210903,15:05,18:00,2.92,4,21.4,23.2,24.3,4,2.40,3.50,5.00,3,4,2,3.60,보통
20210901,SD21,황해남부,화도,20210903,09:00,18:00,9.00,5,23.6,24.4,25.1,5,0.90,3.40,5.20,3,4,2,4.35,좋음
20210901,SD4,황해중부,제부도,20210903,09:00,18:00,9.00,5,22.3,23.4,24.4,4,1.80,3.60,4.50,4,4,2,4.40,좋음
20210901,SD5,제주도,서건도,20210903,09:53,16:24,6.52,5,25.2,27.5,28.4,5,5.50,7.20,8.80,3,4,2,4.35,좋음
20210901,SD6,황해중부,실미도,20210903,09:00,10:37,1.62,3,21.6,23.3,24.4,4,1.50,3.70,5.00,3,4,2,2.90,나쁨
20210901,SD6,황해중부,실미도,20210903,17:37,18:00,0.38,1,21.6,23.3,24.4,4,1.50,3.70,5.00,3,4,2,1.00,매우나쁨
20210901,SD8,황해중부,웅도,20210903,09:00,18:00,9.00,5,22.5,23.4,24.2,4,4.20,4.80,5.20,3,4,2,4.30,좋음
20210901,SD9,황해중부,소야도,20210903,09:00,09:46,0.77,2,21.6,22.7,23.8,4,3.00,3.40,3.80,4,4,2,2.30,나쁨
