생산일,코드,권역,지역,예측일자,갈라짐시작시간,갈라짐종료시간,체험시간,체험시간점수,최저기온,평균기온,최고기온,기온점수,최저풍속,평균풍속,최대풍속,풍속점수,날씨,날씨점수,강수량,강수점수,특보,특보점수,총점수,예보지수,,,,,,,
20210901,SD19,남해서부,우도,20210901,9:00,14:24,5.4,5,25.7,27.3,28.2,5,3.3,5.7,8,3,1,5,2.4,3,-,5,3,보통,,,,,,,
20210901,SD20,황해중부,선재도,20210901,9:00,18:00,9,5,22.3,22.8,25.1,4,4.1,5.5,6.7,3,1,5,0,5,-,5,4.75,매우좋음,,,,,,,
20210901,SD21,황해남부,화도,20210901,9:00,18:00,9,5,24.1,25.2,26.4,5,4.3,5.9,7.6,3,1,5,15.8,1,-,5,1,매우나쁨,,,,,,,
20210901,SD4,황해중부,제부도,20210901,9:00,18:00,9,5,21.8,23,25,4,3.9,5.1,5.9,3,1,5,0,5,-,5,4.75,매우좋음,,,,,,,
20210901,SD5,제주도,서건도,20210901,9:00,14:20,5.33,5,25.7,28.3,29.2,5,4.3,6.7,7.4,3,1,5,0,5,-,5,4.8,매우좋음,,,,,,,
20210901,SD6,황해중부,실미도,20210901,14:42,18:00,3.3,5,21.9,23.2,24.5,4,4.4,5.3,6.5,3,1,5,0,5,-,5,4.75,매우좋음,,,,,,,
20210901,SD8,황해중부,웅도,20210901,9:00,18:00,9,5,22.1,22.7,26,4,4.8,5.5,6.3,3,1,5,0,5,-,5,4.75,매우좋음,,,,,,,
20210901,SD9,황해중부,소야도,20210901,15:22,18:00,2.63,4,21.9,22.6,25.1,4,5.4,5.7,6.9,3,1,5,0,5,-,5,4.05,좋음,,,,,,,
20210901,SD19,남해서부,우도,20210902,9:00,15:41,6.68,5,21.5,22.8,23.8,4,4.9,5.9,6.7,3,1,5,14.2,1,-,5,1,매우나쁨,,,,,,,
20210901,SD20,황해중부,선재도,20210902,9:00,18:00,9,5,21.1,22.5,23.7,4,5,7.6,9.3,2,1,5,0,5,-,5,4.65,좋음,,,,,,,
20210901,SD21,황해남부,화도,20210902,9:00,18:00,9,5,21.8,22.8,24.6,4,0.5,2.5,4.4,4,1,5,12.1,1,-,5,1,매우나쁨,,,,,,,
20210901,SD4,황해중부,제부도,20210902,9:00,18:00,9,5,21.2,23.1,24.5,4,4.7,6.6,8.5,3,1,5,0,5,-,5,4.75,매우좋음,,,,,,,
20210901,SD5,제주도,서건도,20210902,9:00,15:30,6.5,5,26.6,27.8,28.6,5,2.7,4.1,5.5,3,1,5,6.8,2,-,5,2,나쁨,,,,,,,
20210901,SD6,황해중부,실미도,20210902,16:23,18:00,1.62,3,21.1,22.2,23.5,4,5.6,7.6,9.8,2,1,5,0,5,-,5,3.25,보통,,,,,,,
20210901,SD8,황해중부,웅도,20210902,9:00,18:00,9,5,22.2,23.8,24.9,4,5,6.8,8.6,3,1,5,0,5,-,5,4.75,매우좋음,,,,,,,
20210901,SD9,황해중부,소야도,20210902,17:00,18:00,1,3,21.5,22.6,23.5,4,6,8.8,10.3,2,1,5,0,5,-,5,3.25,보통,,,,,,,
20210901,SD19,남해서부,우도,20210903,9:55,16:36,6.68,5,23.3,25.9,27.5,5,3,4.1,5.3,3,1,5,0,5,-,5,4.8,매우좋음,,,,,,,
20210901,SD20,황해중부,선재도,20210903,9:00,13:34,4.57,5,21.4,23.2,25.3,4,2.4,3.5,5,3,1,5,0,5,-,5,4.75,매우좋음,,,,,,,
20210901,SD20,황해중부,선재도,20210903,15:05,18:00,2.92,4,21.4,23.2,25.3,4,2.4,3.5,5,3,1,5,0,5,-,5,4.05,좋음,,,,,,,
20210901,SD21,황해남부,화도,20210903,9:00,18:00,9,5,23.6,24.4,26.1,5,0.9,3.4,5.2,3,1,5,0,5,-,5,4.8,매우좋음,,,,,,,
20210901,SD4,황해중부,제부도,20210903,9:00,18:00,9,5,22.3,23.4,25.4,4,1.8,3.6,4.5,4,1,5,0,5,-,5,4.85,매우좋음,,,,,,,
20210901,SD5,제주도,서건도,20210903,9:53,16:24,6.52,5,25.2,27.5,28.4,5,5.5,7.2,8.8,3,1,5,3.1,3,-,5,3,보통,,,,,,,
20210901,SD6,황해중부,실미도,20210903,9:00,10:37,1.62,3,21.6,23.3,25.4,4,1.5,3.7,5,3,1,5,0,5,-,5,3.35,보통,,,,,,,
20210901,SD6,황해중부,실미도,20210903,17:37,18:00,0.38,1,21.6,23.3,25.4,4,1.5,3.7,5,3,1,5,0,5,-,5,1,매우나쁨,,,,,,,
20210901,SD8,황해중부,웅도,20210903,9:00,18:00,9,5,22.5,23.4,26.2,4,4.2,4.8,5.2,3,1,5,0,5,-,5,4.75,매우좋음,,,,,,,
20210901,SD9,황해중부,소야도,20210903,9:00,9:46,0.77,2,21.6,22.7,24.8,4,3,3.4,3.8,4,1,5,0,5,-,5,2.75,나쁨,,,,,,,
