STN,NAME,DATE,AM/PM,TEMP_MIN,TEMP_AVE,TEMP_MAX,WIND_MIN,WIND_AVE,WIND_MAX,SKY,RAIN_AMT
SD1,진도,20210901,AM,26.0,26.5,27.0,7.9,8.2,8.6,4,0
SD1,진도,20210901,PM,25.0,26.3,27.0,4.4,6.0,7.9,4,4.9
SD1,진도,20210902,AM,24.0,24.5,25.0,2.7,3.0,3.3,4,0
SD1,진도,20210902,PM,24.0,24.7,25.0,3.1,3.4,3.8,4,5.3
SD1,진도,20210903,AM,24.0,25.5,27.0,4.6,4.9,5.3,4,0
SD1,진도,20210903,PM,26.0,26.7,27.0,5.3,6.1,6.6,4,0
SD2,무창포,20210901,AM,23.0,24.0,25.0,2.1,2.8,3.5,4,29.2
SD2,무창포,20210901,PM,24.0,24.3,25.0,2.1,3.1,3.8,4,0
SD2,무창포,20210902,AM,23.0,23.5,24.0,6.1,6.2,6.2,4,0
SD2,무창포,20210902,PM,24.0,24.3,25.0,5.8,6.1,6.4,4,0.7
SD2,무창포,20210903,AM,23.0,24.5,26.0,3.5,4.6,5.7,4,0
SD2,무창포,20210903,PM,25.0,25.7,26.0,1.5,2.2,3.5,4,0
SD4,제부도,20210901,AM,22.0,22.5,23.0,5.8,6.3,6.8,4,21
SD4,제부도,20210901,PM,23.0,23.7,24.0,5.6,6.4,6.8,4,0
SD4,제부도,20210902,AM,21.0,22.0,23.0,7.1,7.2,7.2,4,0
SD4,제부도,20210902,PM,23.0,23.3,24.0,6.3,6.7,7.2,4,0
SD4,제부도,20210903,AM,22.0,23.5,25.0,3.2,4.2,5.2,4,0
SD4,제부도,20210903,PM,25.0,25.3,26.0,1.0,2.2,3.2,4,0
SD5,서건도,20210901,AM,28.0,28.5,29.0,5.5,5.6,5.7,4,0
SD5,서건도,20210901,PM,28.0,28.7,29.0,4.4,5.1,5.5,4,0
SD5,서건도,20210902,AM,28.0,28.0,28.0,3.2,3.4,3.6,4,1.9
SD5,서건도,20210902,PM,27.0,27.7,28.0,2.5,3.4,4.0,4,2.7
SD5,서건도,20210903,AM,27.0,27.5,28.0,1.4,2.1,2.8,4,1.9
SD5,서건도,20210903,PM,27.0,27.7,28.0,1.8,2.5,3.0,4,0
SD6,실미도,20210901,AM,22.0,22.5,23.0,7.3,8.1,8.9,4,8.7
SD6,실미도,20210901,PM,23.0,23.3,24.0,7.4,8.3,8.9,4,0
SD6,실미도,20210902,AM,21.0,22.0,23.0,7.1,7.2,7.2,4,0
SD6,실미도,20210902,PM,23.0,23.3,24.0,6.4,6.8,7.1,4,0
SD6,실미도,20210903,AM,21.0,22.5,24.0,3.1,4.2,5.3,4,0
SD6,실미도,20210903,PM,24.0,24.3,25.0,3.1,3.3,3.5,4,0
SD7,하섬,20210901,AM,24.0,24.5,25.0,2.9,3.5,4.0,4,2.6
SD7,하섬,20210901,PM,24.0,24.7,25.0,3.1,3.7,4.0,4,1.5
SD7,하섬,20210902,AM,23.0,23.5,24.0,3.8,3.8,3.9,4,0
SD7,하섬,20210902,PM,24.0,24.3,25.0,0.8,2.6,3.9,4,2.8
SD7,하섬,20210903,AM,23.0,24.0,25.0,1.3,1.9,2.5,4,0
SD7,하섬,20210903,PM,25.0,25.0,25.0,1.1,1.5,2.0,4,0
SD8,웅도,20210901,AM,22.0,22.5,23.0,3.9,4.0,4.0,4,20.8
SD8,웅도,20210901,PM,23.0,23.3,24.0,4.0,4.3,4.7,4,0
SD8,웅도,20210902,AM,21.0,22.0,23.0,5.0,5.3,5.7,4,0
SD8,웅도,20210902,PM,23.0,23.3,24.0,4.9,5.5,5.9,4,0
SD8,웅도,20210903,AM,22.0,23.5,25.0,3.5,4.0,4.4,4,0
SD8,웅도,20210903,PM,25.0,25.3,26.0,2.1,2.6,3.5,4,0
SD9,소야도,20210901,AM,22.0,22.5,23.0,7.7,8.2,8.8,4,4.7
SD9,소야도,20210901,PM,23.0,24.0,25.0,7.5,8.3,8.8,4,0
