NAME,Date_time,WHT,SST
상왕등도,2021-07-10 09,0.08,22.15
상왕등도,2021-07-10 12,0.19,22.72
상왕등도,2021-07-10 15,0.31,23.22
상왕등도,2021-07-10 18,0.06,23.22
상왕등도,2021-07-11 21,0.27,23.06
상왕등도,2021-07-11 00,0.04,21.81
상왕등도,2021-07-11 03,0.01,22.69
상왕등도,2021-07-11 06,0.04,22.04
상왕등도,2021-07-11 09,0.01,22.29
상왕등도,2021-07-11 12,0.1,22.51
상왕등도,2021-07-11 15,0.14,23.01
상왕등도,2021-07-11 18,0.11,22.55
상왕등도,2021-07-12 21,0.1,21.99
상왕등도,2021-07-12 00,0.06,22.27
상왕등도,2021-07-12 03,0.14,22.06
상왕등도,2021-07-12 06,0.09,22.15
상왕등도,2021-07-12 09,0.1,22.24
상왕등도,2021-07-12 12,0.1,22.07
상왕등도,2021-07-12 15,0.02,22.51
상왕등도,2021-07-12 18,0.1,23.21
추자도,2021-07-10 09,0.7,20.86
추자도,2021-07-10 12,0.91,22.02
추자도,2021-07-10 15,0.93,22.28
추자도,2021-07-10 18,1.08,21.76
추자도,2021-07-11 21,0.95,21.35
추자도,2021-07-11 00,1.0,20.26
추자도,2021-07-11 03,1.21,21.48
추자도,2021-07-11 06,0.93,20.95
추자도,2021-07-11 09,0.83,20.61
추자도,2021-07-11 12,1.24,21.42
추자도,2021-07-11 15,1.06,20.96
추자도,2021-07-11 18,0.75,20.84
추자도,2021-07-12 21,0.87,21.06
추자도,2021-07-12 00,0.78,20.0
추자도,2021-07-12 03,0.92,20.27
추자도,2021-07-12 06,0.69,20.85
추자도,2021-07-12 09,0.52,20.56
추자도,2021-07-12 12,0.36,21.15
추자도,2021-07-12 15,0.6,21.24
추자도,2021-07-12 18,0.45,21.65
울진후정,2021-07-10 09,0.24,21.37
울진후정,2021-07-10 12,0.35,22.24
울진후정,2021-07-10 15,0.1,22.43
울진후정,2021-07-10 18,0.27,21.84
울진후정,2021-07-11 21,0.2,21.9
울진후정,2021-07-11 00,0.47,21.62
울진후정,2021-07-11 03,0.24,21.04
울진후정,2021-07-11 06,0.26,21.41
울진후정,2021-07-11 09,0.27,22.38
울진후정,2021-07-11 12,0.37,23.3
울진후정,2021-07-11 15,0.16,24.28
울진후정,2021-07-11 18,0.17,23.9
울진후정,2021-07-12 21,0.34,23.33
울진후정,2021-07-12 00,0.26,22.68
울진후정,2021-07-12 03,0.1,22.15
울진후정,2021-07-12 06,0.14,22.31
울진후정,2021-07-12 09,0.04,21.96
울진후정,2021-07-12 12,-0.0,22.46
울진후정,2021-07-12 15,0.07,23.42
울진후정,2021-07-12 18,0.23,22.82
동명항,2021-07-10 09,0.55,21.01
동명항,2021-07-10 12,0.22,22.43
동명항,2021-07-10 15,0.52,22.84
동명항,2021-07-10 18,0.28,23.09
동명항,2021-07-11 21,0.28,23.17
동명항,2021-07-11 00,0.41,22.36
동명항,2021-07-11 03,0.33,21.06
동명항,2021-07-11 06,0.36,21.08
동명항,2021-07-11 09,0.44,21.64
동명항,2021-07-11 12,0.24,23.35
동명항,2021-07-11 15,0.29,23.26
동명항,2021-07-11 18,0.46,23.96
동명항,2021-07-12 21,0.49,23.78
동명항,2021-07-12 00,0.29,23.36
동명항,2021-07-12 03,0.35,22.02
동명항,2021-07-12 06,0.29,21.68
동명항,2021-07-12 09,0.33,22.2
동명항,2021-07-12 12,0.16,23.69
동명항,2021-07-12 15,0.22,24.64
동명항,2021-07-12 18,0.26,25.83
월포해수욕장,2021-07-10 09,0.5,23.13
월포해수욕장,2021-07-10 12,0.36,24.11
월포해수욕장,2021-07-10 15,0.53,25.22
월포해수욕장,2021-07-10 18,0.35,24.87
월포해수욕장,2021-07-11 21,0.18,24.39
월포해수욕장,2021-07-11 00,0.28,24.01
월포해수욕장,2021-07-11 03,0.23,22.73
월포해수욕장,2021-07-11 06,0.16,21.81
월포해수욕장,2021-07-11 09,0.47,21.8
월포해수욕장,2021-07-11 12,0.42,22.36
월포해수욕장,2021-07-11 15,0.24,23.42
월포해수욕장,2021-07-11 18,0.24,23.63
월포해수욕장,2021-07-12 21,0.31,22.95
월포해수욕장,2021-07-12 00,0.25,22.45
월포해수욕장,2021-07-12 03,0.39,21.64
월포해수욕장,2021-07-12 06,0.34,20.83
월포해수욕장,2021-07-12 09,0.24,21.63
월포해수욕장,2021-07-12 12,0.24,22.52
월포해수욕장,2021-07-12 15,0.02,23.75
월포해수욕장,2021-07-12 18,0.14,23.55
구조라해수욕장,2021-07-10 09,0.33,21.67
구조라해수욕장,2021-07-10 12,0.27,22.88
구조라해수욕장,2021-07-10 15,0.16,22.73
구조라해수욕장,2021-07-10 18,0.11,20.67
구조라해수욕장,2021-07-11 21,0.51,20.63
구조라해수욕장,2021-07-11 00,0.33,22.13
구조라해수욕장,2021-07-11 03,0.28,21.61
구조라해수욕장,2021-07-11 06,0.12,21.23
구조라해수욕장,2021-07-11 09,0.34,21.69
구조라해수욕장,2021-07-11 12,0.38,23.08
구조라해수욕장,2021-07-11 15,0.32,22.9
구조라해수욕장,2021-07-11 18,0.39,22.24
구조라해수욕장,2021-07-12 21,0.39,22.06
구조라해수욕장,2021-07-12 00,0.07,22.31
구조라해수욕장,2021-07-12 03,0.41,21.44
구조라해수욕장,2021-07-12 06,0.36,21.55
구조라해수욕장,2021-07-12 09,0.23,21.67
구조라해수욕장,2021-07-12 12,0.28,22.54
구조라해수욕장,2021-07-12 15,0.4,22.91
