생산일,코드,권역,지역,예측일자,어종,어종타입,물때,물때점수,최소파고,평균파고,최대파고,파고점수,최소수온,평균수온,최대수온,수온점수,최저기온,평균기온,최대기온,기온점수,최소풍속,평균풍속,최대풍속,풍속점수,특보,특보점수,총점수,예보지수
20210710,SF2,황해남부,가거도,20210710,감성돔,BP,8,5,1.0,1.0,1.1,3,23,24,25,2,24.0,25.0,26.0,5,4,5,6,3,-,5,3.2,보통
20210710,SF35,남해서부,거문도,20210710,농어,SB,8,4,0.8,0.8,0.9,3,22,23,24,3,24.0,25.0,26.0,5,2,4,5,4,-,5,3.48,보통
20210710,SF37,남해서부,거문도,20210710,참돔,RP,8,4,0.8,0.8,0.9,3,22,23,24,4,24.0,25.0,26.0,5,2,4,5,4,-,5,3.68,보통
20210710,SF38,남해서부,거문도,20210710,감성돔,BP,8,5,0.8,0.8,0.9,3,22,23,24,2,24.0,25.0,26.0,5,2,4,5,4,-,5,3.44,보통
20210710,SF39,남해서부,거문도,20210710,우럭,RF,8,2,0.8,0.8,0.9,3,22,23,24,3,24.0,25.0,26.0,5,2,4,5,4,-,5,3.16,보통
20210710,SF14,남해동부,거제도,20210710,우럭,RF,8,2,0.7,0.7,0.7999999999999999,3,21,22,22,3,25.0,26.0,27.0,5,2,5,7,3,-,5,2.92,나쁨
20210710,SF11,황해중부,국화도,20210710,우럭,RF,8,2,0.2,0.2,0.30000000000000004,5,20,21,21,4,21.0,22.0,23.0,4,1,3,5,4,-,5,4.04,좋음
20210710,SF56,제주도,김녕,20210710,벵에돔,OP,8,5,0.3,0.3,0.4,4,26,26,27,1,25.0,26.0,27.0,5,1,2,4,4,-,5,3.6,보통
20210710,SF57,제주도,김녕,20210710,농어,SB,8,4,0.3,0.3,0.4,4,26,26,27,2,25.0,26.0,27.0,5,1,2,4,4,-,5,3.64,보통
20210710,SF58,제주도,김녕,20210710,돌돔,RB,8,1,0.3,0.3,0.4,4,26,26,27,4,25.0,26.0,27.0,5,1,2,4,4,-,5,3.56,보통
20210710,SF59,제주도,김녕,20210710,참돔,RP,8,4,0.3,0.3,0.4,4,26,26,27,2,25.0,26.0,27.0,5,1,2,4,4,-,5,3.64,보통
20210710,SF49,황해중부,모항항,20210710,우럭,RF,8,2,0.3,0.3,0.4,4,20,21,22,4,21.0,21.0,22.0,4,4,5,5,4,-,5,3.68,보통
20210710,SF50,황해중부,모항항,20210710,감성돔,BP,8,5,0.3,0.3,0.4,4,20,21,22,3,21.0,21.0,22.0,4,4,5,5,4,-,5,3.96,보통
20210710,SF51,황해중부,방포항,20210710,우럭,RF,8,2,0.1,0.2,0.2,5,22,22,23,3,21.0,22.0,23.0,4,3,4,4,4,-,5,3.84,보통
20210710,SF74,남해동부,부산남부,20210710,우럭,RF,8,2,0.7,0.7,0.8,3,20,21,21,4,25.0,27.0,27.0,5,3,6,8,3,-,5,3.12,보통
20210710,SF75,남해동부,부산남부,20210710,감성돔,BP,8,5,0.7,0.7,0.8,3,20,21,21,3,25.0,27.0,27.0,5,3,6,8,3,-,5,3.4,보통
20210710,SF76,남해동부,부산남부,20210710,돌돔,RB,8,1,0.7,0.7,0.8,3,20,21,21,4,25.0,27.0,27.0,5,3,6,8,3,-,5,2.96,나쁨
20210710,SF77,남해동부,부산남부,20210710,참돔,RP,8,4,0.7,0.7,0.8,3,20,21,21,4,25.0,27.0,27.0,5,3,6,8,3,-,5,3.44,보통
20210710,SF78,남해동부,부산남부,20210710,벵에돔,OP,8,5,0.7,0.7,0.8,3,20,21,21,4,25.0,27.0,27.0,5,3,6,8,3,-,5,3.6,보통
20210710,SF79,남해동부,부산남부,20210710,농어,SB,8,4,0.7,0.7,0.8,3,20,21,21,4,25.0,27.0,27.0,5,3,6,8,3,-,5,3.44,보통
20210710,SF67,남해동부,부산동부,20210710,우럭,RF,8,2,0.4,0.4,0.5,4,21,23,26,3,24.0,25.0,25.0,5,5,8,9,3,-,5,3.28,보통
