FC_AREA,DATE,HR,MEAN_TEMP,TEMP_SCRE,MEAN_WSPD,WSPD_SCRE,MEAN_SST,SST_SCRE,MEAN_WHT,WAVE_SCRE,MUL,MUL_SCRE,MEAN_CURR,CURR_SCRE,MEAN_SKY,SKY_SCRE,CARNIVAL_NUM,MEAN_RAIN,WARN_SEA,WARN_LAND,FINAL_SCRE,SCRE_CLASS
NW,20210712,AM,26.9,14.6,5.1,16.0,25.7,4.6,0.2,6.4,10.0,2.4,0.2,2.9,3.5,8.0,3,0.0,-,-,60.9,보통
NW,20210712,PM,28.0,12.6,7.0,12.6,26.2,4.4,0.2,6.4,10.0,2.4,0.3,2.0,3.5,8.0,3,0.0,-,-,54.4,나쁨
NW,20210713,AM,27.4,13.7,6.7,13.1,25.6,4.7,0.3,6.4,11.0,2.4,0.2,2.9,3.1,18.6,3,0.0,-,-,67.8,좋음
NW,20210713,PM,27.3,13.8,6.1,14.2,26.1,4.4,0.3,6.4,11.0,2.4,0.3,2.0,2.8,18.6,3,0.0,-,-,67.8,좋음
NW,20210714,AM,26.4,15.5,3.8,18.3,26.1,4.4,0.3,6.4,12.0,3.8,0.2,2.9,3.0,18.6,3,0.0,-,-,75.9,매우좋음
NW,20210714,PM,26.4,15.5,4.0,18.0,26.5,4.3,0.2,6.4,12.0,3.8,0.2,2.9,3.3,18.6,3,0.0,-,-,75.5,매우좋음
NW,20210715,DY,25.9,16.4,2.5,20.7,26.7,4.2,0.4,6.4,13.0,3.8,0.2,2.9,3.0,18.6,3,0.0,-,-,79.0,매우좋음
NW,20210716,DY,26.0,16.2,6.8,12.9,26.3,4.4,0.1,6.4,14.0,3.8,0.2,2.9,3.0,18.6,3,0.0,-,-,71.2,좋음
NW,20210717,DY,26.3,15.6,7.3,12.0,24.9,4.9,0.3,6.4,15.0,4.8,0.2,2.9,3.0,18.6,3,0.0,-,-,71.2,좋음
NW,20210718,DY,26.6,15.1,8.0,10.8,25.8,4.6,0.4,6.4,1.0,4.8,0.2,2.9,3.0,18.6,3,0.0,-,-,69.2,좋음
SW,20210712,AM,26.6,14.5,4.4,16.6,25.1,5.7,0.7,7.9,10.0,2.6,0.4,1.2,3.5,7.5,3,0.0,-,-,62.0,보통
SW,20210712,PM,26.5,14.7,4.6,16.2,25.5,5.5,0.7,7.9,10.0,2.6,0.6,0.0,3.6,7.5,3,0.0,-,-,60.4,보통
SW,20210713,AM,25.7,16.1,4.8,15.9,25.3,5.6,0.7,7.9,11.0,2.6,0.4,1.2,3.0,17.4,3,0.0,-,-,72.7,좋음
SW,20210713,PM,25.7,16.1,4.5,16.4,25.5,5.5,0.7,7.9,11.0,2.6,0.6,0.0,3.0,17.4,3,0.0,-,-,71.9,좋음
SW,20210714,AM,26.1,15.4,3.4,18.3,25.4,5.6,0.6,8.5,12.0,4.2,0.4,1.2,3.0,17.4,3,0.0,-,-,76.6,매우좋음
SW,20210714,PM,26.1,15.4,3.6,18.0,25.6,5.5,0.6,8.5,12.0,4.2,0.5,0.1,3.4,17.4,3,0.0,-,-,75.1,매우좋음
SW,20210715,DY,25.8,15.9,3.0,19.0,25.9,5.3,0.5,9.2,13.0,4.2,0.5,0.1,3.0,17.4,3,0.0,-,-,77.1,매우좋음
SW,20210716,DY,27.1,13.6,4.7,16.1,26.4,5.1,0.4,7.8,14.0,4.2,0.5,0.1,3.0,17.4,3,0.0,-,-,70.3,좋음
SW,20210717,DY,27.5,13.0,5.8,14.2,27.0,4.8,0.6,8.5,15.0,5.2,0.4,1.2,3.0,17.4,3,0.0,-,-,70.3,좋음
SW,20210718,DY,28.3,11.6,5.8,14.2,27.3,4.6,0.9,6.7,1.0,5.2,0.4,1.2,3.0,17.4,3,0.0,-,-,66.9,좋음
NE,20210712,AM,25.8,15.0,3.6,17.0,26.5,7.1,0.1,9.4,10.0,3.0,0.3,1.8,3.3,16.0,3,0.0,-,-,75.3,매우좋음
NE,20210712,PM,26.6,13.7,5.7,13.6,27.1,6.7,0.1,9.4,10.0,3.0,0.5,0.1,3.3,16.0,3,0.0,-,-,68.5,좋음
NE,20210713,AM,26.2,14.4,5.5,13.9,25.9,7.5,0.1,9.4,11.0,3.0,0.3,1.8,1.8,22.9,3,0.0,-,-,78.9,매우좋음
NE,20210713,PM,26.2,14.4,5.3,14.2,26.5,7.1,0.1,9.4,11.0,3.0,0.5,0.1,2.0,16.0,3,0.0,-,-,70.2,좋음
NE,20210714,AM,25.5,15.5,3.7,16.8,26.3,7.3,0.1,9.4,12.0,4.7,0.4,0.9,3.0,16.0,3,0.0,-,-,76.6,매우좋음
