FC_AREA,DATE,HR,MEAN_TEMP,TEMP_SCRE,MEAN_WSPD,WSPD_SCRE,MEAN_SST,SST_SCRE,MEAN_WHT,WAVE_SCRE,MUL,MUL_SCRE,MEAN_CURR,CURR_SCRE,MEAN_SKY,SKY_SCRE,CARNIVAL_NUM,MEAN_RAIN,WARN_SEA,WARN_LAND,FINAL_SCRE,SCRE_CLASS
CN,20210712,AM,25.9,15.7,2.6,19.7,23.8,8.3,0.2,9.6,10.0,3.4,,0.0,3.4,16.9,0,0.0,-,-,73.6,좋음
CN,20210712,PM,26.1,15.3,4.7,16.0,24.6,7.8,0.2,9.6,10.0,3.4,,0.0,1.7,24.1,0,0.0,-,-,76.2,매우좋음
CN,20210713,AM,25.4,16.6,4.7,16.0,23.7,8.3,0.1,9.6,11.0,3.4,,0.0,1.7,24.1,0,0.0,-,-,78.0,매우좋음
CN,20210713,PM,25.6,16.2,4.8,15.9,24.2,8.0,0.1,9.6,11.0,3.4,,0.0,1.4,24.1,0,0.0,-,-,77.2,매우좋음
CN,20210714,AM,25.4,16.6,3.4,18.3,23.8,8.3,0.1,9.6,12.0,5.5,,0.0,3.5,7.2,0,0.0,-,-,65.5,좋음
CN,20210714,PM,25.7,16.0,4.4,16.6,24.6,7.8,0.1,9.6,12.0,5.5,,0.0,1.9,24.1,0,0.0,-,-,79.6,매우좋음
CN,20210715,DY,25.1,17.1,2.6,19.7,24.7,7.7,0.3,9.6,13.0,5.5,,0.0,4.0,7.2,0,0.0,-,-,66.8,좋음
CN,20210716,DY,25.2,16.9,4.8,15.9,24.7,7.7,0.1,9.6,14.0,5.5,,0.0,4.0,7.2,0,0.0,-,-,62.8,보통
CN,20210717,DY,25.8,15.9,6.2,13.4,24.8,7.6,0.3,9.6,15.0,6.9,,0.0,3.0,16.9,0,0.0,-,-,70.3,좋음
CN,20210718,DY,26.4,14.8,5.6,14.5,25.1,7.5,0.4,9.6,1.0,6.9,,0.0,4.0,7.2,0,0.0,-,-,60.5,보통
IS,20210712,AM,25.2,10.8,2.5,12.7,24.5,12.9,0.5,15.5,10.0,7.7,0.3,3.0,1.4,15.5,0,0.0,-,-,78.1,매우좋음
IS,20210712,PM,25.0,11.1,4.6,10.4,24.9,12.5,0.5,15.5,10.0,7.7,0.4,1.6,1.4,15.5,0,0.0,-,-,74.3,좋음
IS,20210713,AM,24.9,11.2,5.0,9.9,23.9,13.5,0.5,15.5,11.0,7.7,0.3,3.0,1.0,15.5,0,0.0,-,-,76.3,매우좋음
IS,20210713,PM,24.9,11.2,4.4,10.6,24.3,13.1,0.5,15.5,11.0,7.7,0.4,1.6,1.0,15.5,0,0.0,-,-,75.2,매우좋음
IS,20210714,AM,24.8,11.3,3.0,12.2,24.3,13.1,0.3,13.2,12.0,12.4,0.3,3.0,3.4,10.8,0,0.0,-,-,76.0,매우좋음
IS,20210714,PM,24.8,11.3,3.9,11.2,25.1,12.3,0.3,13.2,12.0,12.4,0.3,3.0,2.7,10.8,0,0.0,-,-,74.2,좋음
IS,20210715,DY,24.1,12.0,2.1,13.2,24.8,12.6,0.4,13.2,13.0,12.4,0.3,3.0,4.0,4.6,0,0.0,-,-,71.0,좋음
IS,20210716,DY,24.1,12.0,5.4,9.5,24.4,13.0,0.3,13.2,14.0,12.4,0.3,3.0,4.0,4.6,0,0.0,-,-,67.7,좋음
IS,20210717,DY,24.4,11.7,7.1,7.6,24.7,12.7,0.7,13.4,15.0,15.5,0.3,3.0,3.0,10.8,0,0.0,-,-,74.7,좋음
IS,20210718,DY,24.9,11.2,7.5,7.2,25.2,12.2,0.9,11.3,1.0,15.5,0.3,3.0,4.0,4.6,0,0.0,-,-,65.0,보통
