생산일,코드,권역,지역,예측일자,어종,어종타입,물때,물때점수,최소파고,평균파고,최대파고,파고점수,최소수온,평균수온,최대수온,수온점수,최저기온,평균기온,최대기온,기온점수,최소풍속,평균풍속,최대풍속,풍속점수,특보,특보점수,총점수,예보지수
20210712,SF2,황해남부,가거도,20210712,감성돔,BP,10,4,0.8,0.9,0.9,3,24,25,25,1,25,26,27,5,8,9,9,3,-,5,2.84,나쁨
20210712,SF35,남해서부,거문도,20210712,농어,SB,10,3,0.6,0.6,0.7,3,24,26,26,2,25,25,29,5,2,5,7,3,-,5,2.88,나쁨
20210712,SF37,남해서부,거문도,20210712,참돔,RP,10,3,0.6,0.6,0.7,3,24,26,26,2,25,25,29,5,2,5,7,3,-,5,2.88,나쁨
20210712,SF38,남해서부,거문도,20210712,감성돔,BP,10,4,0.6,0.6,0.7,3,24,26,26,1,25,25,29,5,2,5,7,3,-,5,2.84,나쁨
20210712,SF39,남해서부,거문도,20210712,우럭,RF,10,3,0.6,0.6,0.7,3,24,26,26,2,25,25,29,5,2,5,7,3,-,5,2.88,나쁨
20210712,SF14,남해동부,거제도,20210712,우럭,RF,10,3,0.5,0.8,0.8,3,22,22,23,3,26,27,28,5,1,4,8,3,-,5,3.08,보통
20210712,SF11,황해중부,국화도,20210712,우럭,RF,10,3,0.3,0.3,0.4,4,20,20,21,4,23,23,28,4,1,3,6,3,-,5,3.6,보통
20210712,SF56,제주도,김녕,20210712,벵에돔,OP,10,4,0.2,0.2,0.3,5,25,26,27,1,26,26,29,5,1,4,7,3,-,5,3.56,보통
20210712,SF57,제주도,김녕,20210712,농어,SB,10,3,0.2,0.2,0.3,5,25,26,27,2,26,26,29,5,1,4,7,3,-,5,3.6,보통
20210712,SF58,제주도,김녕,20210712,돌돔,RB,10,3,0.2,0.2,0.3,5,25,26,27,4,26,26,29,5,1,4,7,3,-,5,4,좋음
20210712,SF59,제주도,김녕,20210712,참돔,RP,10,3,0.2,0.2,0.3,5,25,26,27,2,26,26,29,5,1,4,7,3,-,5,3.6,보통
