NAME,Date_time,WHT,SST
문섬,2021-07-12 12,0.94,23.8
문섬,2021-07-12 15,0.78,23.8
문섬,2021-07-12 18,0.87,23.61
문섬,2021-07-13 21,0.65,23.9
문섬,2021-07-13 00,1.01,23.58
문섬,2021-07-13 03,0.86,23.57
문섬,2021-07-13 06,1.07,23.87
문섬,2021-07-13 09,1.08,24.42
문섬,2021-07-13 12,1.17,24.2
문섬,2021-07-13 15,0.66,24.12
문섬,2021-07-13 18,1.08,23.71
문섬,2021-07-14 21,0.91,23.39
문섬,2021-07-14 00,0.91,23.78
문섬,2021-07-14 03,0.98,23.42
문섬,2021-07-14 06,0.95,23.42
문섬,2021-07-14 09,0.73,23.77
문섬,2021-07-14 12,0.77,24.23
문섬,2021-07-14 15,0.68,24.45
문섬,2021-07-14 18,0.51,23.78
