FC_AREA,DATE,HR,MEAN_TEMP,TEMP_SCRE,MEAN_WSPD,WSPD_SCRE,MEAN_SST,SST_SCRE,MEAN_WHT,WAVE_SCRE,MUL,MUL_SCRE,MEAN_CURR,CURR_SCRE,MEAN_SKY,SKY_SCRE,CARNIVAL_NUM,MEAN_RAIN,WARN_SEA,WARN_LAND,FINAL_SCRE,SCRE_CLASS
CN,20210711,AM,25.3,16.7,3.6,17.9,23.8,8.3,0.3,9.6,9.0,3.4,,0.0,1.0,24.1,0,0.0,-,-,80.0,매우좋음
CN,20210711,PM,26.0,15.5,5.8,14.1,24.4,7.9,0.3,9.6,9.0,3.4,,0.0,1.0,24.1,0,0.0,-,-,74.6,좋음
CN,20210712,AM,25.5,16.4,3.5,18.1,23.4,8.5,0.2,9.6,10.0,3.4,,0.0,1.0,24.1,0,0.0,-,-,80.1,매우좋음
CN,20210712,PM,25.8,15.9,4.8,15.9,24.2,8.0,0.2,9.6,10.0,3.4,,0.0,1.0,24.1,0,0.0,-,-,76.9,매우좋음
CN,20210713,AM,24.9,17.4,2.8,19.3,23.4,8.5,0.1,9.6,11.0,3.4,,0.0,1.0,24.1,0,0.0,-,-,82.3,매우좋음
CN,20210713,PM,25.4,16.6,4.5,16.4,24.1,8.1,0.1,9.6,11.0,3.4,,0.0,1.0,24.1,0,0.0,-,-,78.2,매우좋음
CN,20210714,DY,25.0,17.2,3.3,18.4,24.0,8.2,0.5,11.3,12.0,5.5,,0.0,1.0,24.1,0,0.0,-,-,84.7,매우좋음
CN,20210715,DY,25.5,16.4,2.7,19.5,24.8,7.6,0.2,9.6,13.0,5.5,,0.0,1.0,24.1,0,0.0,-,-,82.7,매우좋음
CN,20210716,DY,25.2,16.9,3.3,18.4,25.0,7.5,0.2,9.6,14.0,5.5,,0.0,1.0,24.1,0,0.0,-,-,82.0,매우좋음
CN,20210717,DY,26.0,15.5,3.8,17.6,25.9,7.0,0.2,9.6,15.0,6.9,,0.0,1.0,24.1,0,0.0,-,-,80.7,매우좋음
IS,20210711,AM,24.1,12.0,3.5,11.6,24.3,13.1,0.6,14.4,9.0,7.7,0.3,3.0,1.0,15.5,0,0.0,-,-,77.3,매우좋음
IS,20210711,PM,24.6,11.5,4.6,10.4,24.9,12.5,0.5,15.5,9.0,7.7,0.4,1.6,1.0,15.5,0,0.0,-,-,74.7,좋음
IS,20210712,AM,24.4,11.7,3.0,12.2,24.1,13.3,0.4,13.2,10.0,7.7,0.2,4.4,1.0,15.5,0,0.0,-,-,78.0,매우좋음
IS,20210712,PM,24.5,11.6,2.8,12.4,24.6,12.8,0.4,13.2,10.0,7.7,0.4,1.6,1.0,15.5,0,0.0,-,-,74.8,좋음
IS,20210713,AM,24.2,11.9,2.6,12.6,23.7,13.7,0.3,13.2,11.0,7.7,0.2,4.4,1.0,15.5,0,0.0,-,-,79.0,매우좋음
IS,20210713,PM,24.3,11.8,3.4,11.7,24.4,13.0,0.3,13.2,11.0,7.7,0.3,3.0,1.0,15.5,0,0.0,-,-,75.9,매우좋음
IS,20210714,DY,23.9,12.3,2.9,12.3,24.1,13.3,0.7,13.4,12.0,12.4,0.3,3.0,1.0,15.5,0,0.0,-,-,82.2,매우좋음
IS,20210715,DY,23.7,12.5,1.2,14.1,24.9,12.5,0.3,13.2,13.0,12.4,0.3,3.0,1.0,15.5,0,0.0,-,-,83.2,매우좋음
IS,20210716,DY,24.0,12.2,3.1,12.0,24.8,12.6,0.5,15.5,14.0,12.4,0.3,3.0,1.0,15.5,0,0.0,-,-,83.2,매우좋음
IS,20210717,DY,24.4,11.7,2.1,13.2,25.3,12.1,0.5,15.5,15.0,15.5,0.3,3.0,1.0,15.5,0,0.0,-,-,86.5,매우좋음
