FC_AREA,DATE,HR,MEAN_TEMP,TEMP_SCRE,MEAN_WSPD,WSPD_SCRE,MEAN_SST,SST_SCRE,MEAN_WHT,WAVE_SCRE,MUL,MUL_SCRE,MEAN_CURR,CURR_SCRE,MEAN_SKY,SKY_SCRE,CARNIVAL_NUM,MEAN_RAIN,WARN_SEA,WARN_LAND,FINAL_SCRE,SCRE_CLASS
NW,20210711,AM,26.4,15.5,6.5,13.5,26.1,4.4,0.2,6.4,9.0,2.4,0.2,2.9,1.0,26.5,3,0.0,-,-,77.6,매우좋음
NW,20210711,PM,27.0,14.4,7.3,12.0,26.4,4.3,0.2,6.4,9.0,2.4,0.3,2.0,1.0,26.5,3,0.0,-,-,74.0,좋음
NW,20210712,AM,27.0,14.4,5.9,14.6,25.7,4.6,0.2,6.4,10.0,2.4,0.2,2.9,1.0,26.5,3,0.0,-,-,77.8,매우좋음
NW,20210712,PM,27.4,13.7,6.7,13.1,25.9,4.5,0.2,6.4,10.0,2.4,0.3,2.0,1.0,26.5,3,0.0,-,-,74.6,좋음
NW,20210713,AM,26.5,15.3,5.1,16.0,26.0,4.5,0.3,6.4,11.0,2.4,0.2,2.9,1.0,26.5,3,0.0,-,-,80.0,매우좋음
NW,20210713,PM,27.0,14.4,5.6,15.1,26.3,4.4,0.2,6.4,11.0,2.4,0.3,2.0,1.0,26.5,3,0.0,-,-,77.2,매우좋음
NW,20210714,DY,25.5,17.1,3.4,19.1,26.4,4.3,0.6,7.0,12.0,3.8,0.2,2.9,1.0,26.5,3,0.0,-,-,86.7,매우좋음
NW,20210715,DY,25.0,18.0,3.3,19.2,26.9,4.1,0.2,6.4,13.0,3.8,0.2,2.9,1.0,26.5,3,0.0,-,-,86.9,매우좋음
NW,20210716,DY,26.4,15.5,5.9,14.6,26.0,4.5,0.2,6.4,14.0,3.8,0.2,2.9,1.0,26.5,3,0.0,-,-,80.2,매우좋음
NW,20210717,DY,26.2,15.8,3.4,19.1,26.2,4.4,0.3,6.4,15.0,4.8,0.2,2.9,1.0,26.5,3,0.0,-,-,85.9,매우좋음
SW,20210711,AM,26.4,14.9,5.2,15.2,25.1,5.7,0.7,7.9,9.0,2.6,0.3,2.2,1.0,24.8,3,0.0,-,-,79.3,매우좋음
SW,20210711,PM,26.0,15.5,3.8,17.6,25.5,5.5,0.7,7.9,9.0,2.6,0.5,0.1,1.0,24.8,3,0.0,-,-,80.0,매우좋음
SW,20210712,AM,26.0,15.5,3.9,17.4,24.9,5.8,0.6,8.5,10.0,2.6,0.4,1.2,1.0,24.8,3,0.0,-,-,81.8,매우좋음
SW,20210712,PM,26.1,15.4,4.3,16.8,25.1,5.7,0.6,8.5,10.0,2.6,0.7,0.0,1.0,24.8,3,0.0,-,-,79.8,매우좋음
SW,20210713,AM,26.0,15.5,3.9,17.4,25.2,5.7,0.6,8.5,11.0,2.6,0.4,1.2,1.0,24.8,3,0.0,-,-,81.7,매우좋음
SW,20210713,PM,25.9,15.7,3.9,17.4,25.6,5.5,0.6,8.5,11.0,2.6,0.6,0.0,1.0,24.8,3,0.0,-,-,80.5,매우좋음
SW,20210714,DY,25.8,15.9,3.4,18.3,25.9,5.3,0.8,7.3,12.0,4.2,0.4,1.2,1.0,24.8,3,0.0,-,-,83.0,매우좋음
SW,20210715,DY,26.2,15.2,3.0,19.0,26.8,4.9,0.4,7.8,13.0,4.2,0.4,1.2,1.0,24.8,3,0.0,-,-,83.1,매우좋음
SW,20210716,DY,27.4,13.1,4.5,16.4,27.0,4.8,0.6,8.5,14.0,4.2,0.4,1.2,1.0,24.8,3,0.0,-,-,79.0,매우좋음
SW,20210717,DY,27.8,12.4,4.8,15.9,27.3,4.6,0.9,6.7,15.0,5.2,0.4,1.2,1.0,24.8,3,0.0,-,-,76.8,매우좋음
NE,20210711,AM,25.1,16.2,4.9,14.9,26.0,7.5,0.1,9.4,9.0,3.0,0.2,2.6,1.0,22.9,3,0.0,-,-,82.5,매우좋음
NE,20210711,PM,26.0,14.7,5.5,13.9,26.7,7.0,0.1,9.4,9.0,3.0,0.5,0.1,1.0,22.9,3,0.0,-,-,77.0,매우좋음
NE,20210712,AM,25.7,15.2,3.3,17.5,26.5,7.1,0.1,9.4,10.0,3.0,0.2,2.6,1.0,22.9,3,0.0,-,-,83.7,매우좋음
NE,20210712,PM,25.7,15.2,3.9,16.5,26.9,6.8,0.1,9.4,10.0,3.0,0.5,0.1,1.0,22.9,3,0.0,-,-,79.9,매우좋음
NE,20210713,AM,25.1,16.2,4.0,16.3,26.5,7.1,0.1,9.4,11.0,3.0,0.3,1.8,1.0,22.9,3,0.0,-,-,82.7,매우좋음
NE,20210713,PM,25.5,15.5,4.2,16.0,27.5,6.4,0.1,9.4,11.0,3.0,0.5,0.1,1.0,22.9,3,0.0,-,-,79.3,매우좋음
NE,20210714,DY,25.3,15.9,4.6,15.4,26.6,7.1,0.3,9.4,12.0,4.7,0.4,0.9,1.0,22.9,3,0.0,-,-,82.3,매우좋음
NE,20210715,DY,24.3,17.5,3.9,16.5,25.8,7.6,0.1,9.4,13.0,4.7,0.4,0.9,1.0,22.9,3,0.0,-,-,85.5,매우좋음
NE,20210716,DY,24.5,17.2,4.7,15.2,24.6,8.4,0.4,9.4,14.0,4.7,0.4,0.9,1.0,22.9,3,0.0,-,-,84.7,매우좋음
NE,20210717,DY,25.5,15.5,5.1,14.5,24.9,8.2,0.6,10.3,15.0,5.9,0.4,0.9,1.0,22.9,3,0.0,-,-,84.2,매우좋음
