산출날짜,코드,구분,지역,예측날짜,오전오후,유의파고,파고점수,파향,상대파향,파향점수,파주기,파주기점수,풍속,풍향,풍속점수,수온,수온점수,총점수,예보지수
20210831,SR1,부산,송정해수욕장,20210831,AM,0.0,2,331.0,281.0,1,3.0,1,4.9,220.0,4,24.0,5,2.28,나쁨
20210831,SR1,부산,송정해수욕장,20210831,PM,0.0,2,353.0,303.0,1,2.9,1,5.3,206.0,3,24.1,5,2.16,나쁨
20210831,SR1,부산,송정해수욕장,20210901,AM,0.6,5,292.0,242.0,1,3.6,1,8.5,57.0,3,24.5,5,3.3600000000000003,보통
20210831,SR1,부산,송정해수욕장,20210901,PM,0.8,5,290.0,240.0,1,4.3,1,11.4,51.0,2,24.6,5,3.24,보통
20210831,SR1,부산,송정해수욕장,20210902,AM,0.8,5,0.0,-50.0,1,5.5,1,8.8,234.0,3,25.3,5,3.3600000000000003,보통
20210831,SR1,부산,송정해수욕장,20210902,PM,0.8,5,359.0,309.0,1,5.5,1,10.4,231.0,2,25.6,5,3.24,보통
20210831,SR1,부산,송정해수욕장,20210903,AM,0.6,5,267.0,217.0,1,6.2,4,9.5,241.0,2,25.9,5,3.84,보통
20210831,SR1,부산,송정해수욕장,20210903,PM,0.7,5,264.0,214.0,1,6.2,4,11.8,234.0,2,26.0,5,3.84,보통
20210831,SR1,부산,송정해수욕장,20210904,AM,0.7,5,263.0,213.0,1,5.8,1,9.7,225.0,2,25.5,5,3.24,보통
20210831,SR1,부산,송정해수욕장,20210904,PM,0.7,5,264.0,214.0,1,5.5,1,9.7,222.0,2,25.6,5,3.24,보통
20210831,SR1,부산,송정해수욕장,20210905,AM,0.6,5,267.0,217.0,1,4.9,1,10.0,208.0,2,25.5,5,3.24,보통
20210831,SR1,부산,송정해수욕장,20210905,PM,0.7,5,268.0,218.0,1,5.3,1,11.0,215.0,2,25.6,5,3.24,보통
20210831,SR1,부산,송정해수욕장,20210906,AM,0.7,5,277.0,227.0,1,5.4,1,12.5,205.0,2,25.9,5,3.24,보통
20210831,SR1,부산,송정해수욕장,20210906,PM,0.8,5,289.0,239.0,1,5.8,1,12.1,209.0,2,25.8,5,3.24,보통
