생산일,코드,권역,지역,예측일자,갈라짐시작시간,갈라짐종료시간,체험시간,체험시간점수,최저기온,평균기온,최고기온,기온점수,최저풍속,평균풍속,최대풍속,풍속점수,날씨,날씨점수,강수량,강수점수,특보,특보점수,총점수,예보지수,,,,,,,
20210831,SD19,남해서부,우도,20210831,9:00,12:53,3.88,5,24.7,27.7,29.2,5,1.4,3,4.2,4,4,2,0,5,-,5,4.45,좋음,,,,,,,
20210831,SD20,황해중부,선재도,20210831,10:50,18:00,7.17,5,20.8,21.3,22.8,4,2.1,4.9,9,2,4,2,22.6,1,-,5,1,매우나쁨,,,,,,,
20210831,SD21,황해남부,화도,20210831,9:00,18:00,9,5,25.1,25.5,26.1,5,1.1,3.4,6.3,3,4,2,7.9,2,-,5,2,나쁨,,,,,,,
20210831,SD4,황해중부,제부도,20210831,9:00,18:00,9,5,20.3,21,22.8,4,1.6,4.7,8.6,3,4,2,20.2,1,-,5,1,매우나쁨,,,,,,,
20210831,SD5,제주도,서건도,20210831,9:00,12:55,3.92,5,23.6,27.4,28.1,5,0.9,3.6,4.5,4,3,3,12.5,1,-,5,1,매우나쁨,,,,,,,
20210831,SD6,황해중부,실미도,20210831,13:25,18:00,4.58,5,20.9,21.4,23.2,4,2.8,4.9,8.6,3,4,2,7.4,2,-,5,2,나쁨,,,,,,,
20210831,SD8,황해중부,웅도,20210831,9:00,18:00,9,5,20.8,21.4,23.9,4,2.9,6.7,10.4,2,4,2,25.6,1,-,5,1,매우나쁨,,,,,,,
20210831,SD9,황해중부,소야도,20210831,13:50,18:00,4.17,5,20.5,21.2,23,4,2.9,6.5,10.9,2,4,2,14.1,1,-,5,1,매우나쁨,,,,,,,
20210831,SD19,남해서부,우도,20210901,9:00,14:24,5.4,5,26.2,27.5,28.2,5,6.1,8.1,9.4,2,4,2,6.3,2,-,5,2,나쁨,,,,,,,
20210831,SD20,황해중부,선재도,20210901,9:00,18:00,9,5,22.6,23.1,24.2,4,3.4,4.7,5.8,3,4,2,0,5,-,5,4.3,좋음,,,,,,,
20210831,SD21,황해남부,화도,20210901,9:00,18:00,9,5,24.4,25.8,26.2,5,6.5,9,10.5,2,4,2,18.2,1,-,5,1,매우나쁨,,,,,,,
20210831,SD4,황해중부,제부도,20210901,9:00,18:00,9,5,23.1,23.6,24.4,4,1.8,3.5,5,3,4,2,0,5,-,5,4.3,좋음,,,,,,,
20210831,SD5,제주도,서건도,20210901,9:00,14:20,5.33,5,26.4,27.9,28.7,5,5.3,6.1,6.8,3,4,2,0,5,-,5,4.35,좋음,,,,,,,
20210831,SD6,황해중부,실미도,20210901,14:42,18:00,3.3,5,22,22.6,23.4,4,5.9,7,9,2,4,2,0,5,-,5,4.2,좋음,,,,,,,
20210831,SD8,황해중부,웅도,20210901,9:00,18:00,9,5,23.1,23.5,24.9,4,3.2,3.7,5.7,3,4,2,0,5,-,5,4.3,좋음,,,,,,,
20210831,SD9,황해중부,소야도,20210901,15:22,18:00,2.63,4,22.3,22.6,23.1,4,3.8,5.2,7.2,3,4,2,0,5,-,5,3.6,보통,,,,,,,
20210831,SD19,남해서부,우도,20210902,9:00,15:41,6.68,5,22.4,24.2,25.3,5,1.2,2.9,6.9,3,4,2,6.6,2,-,5,2,나쁨,,,,,,,
20210831,SD20,황해중부,선재도,20210902,9:00,18:00,9,5,22.4,23,23.9,4,1.4,4.7,7.3,3,4,2,0,5,-,5,4.3,좋음,,,,,,,
20210831,SD21,황해남부,화도,20210902,9:00,18:00,9,5,23.8,24.2,24.5,5,2.8,3.9,5,3,4,2,0,5,-,5,4.35,좋음,,,,,,,
20210831,SD4,황해중부,제부도,20210902,9:00,18:00,9,5,21.9,23.1,24.1,4,3.6,4.3,4.9,4,4,2,0,5,-,5,4.4,좋음,,,,,,,
20210831,SD5,제주도,서건도,20210902,9:00,15:30,6.5,5,26,28,30.9,5,2.4,4.2,5.2,3,4,2,6.9,2,-,5,2,나쁨,,,,,,,
20210831,SD6,황해중부,실미도,20210902,16:23,18:00,1.62,3,21.8,22.9,24,4,0.6,4.2,7.7,3,4,2,0,5,-,5,2.9,나쁨,,,,,,,
20210831,SD8,황해중부,웅도,20210902,9:00,18:00,9,5,22.2,23.2,24.8,4,5.9,7.5,8.6,3,4,2,0,5,-,5,4.3,좋음,,,,,,,
20210831,SD9,황해중부,소야도,20210902,17:00,18:00,1,3,21.8,22.6,23.4,4,3.4,7.1,10.2,2,4,2,0,5,-,5,2.8,나쁨,,,,,,,
