산출날짜,코드,구분,지역,예측날짜,오전오후,유의파고,파고점수,파향,상대파향,파향점수,파주기,파주기점수,풍속,풍향,풍속점수,수온,수온점수,특보,특보점수,총점수,예보지수
20210831,SR1,부산,송정해수욕장,20210831,AM,0.3,2,124,74,4,3.5,1,2.3,195,5,24.4,5,-,5,3.8,보통
20210831,SR1,부산,송정해수욕장,20210831,PM,0.3,2,79,29,1,3.5,1,5.3,206,3,25,5,-,5,2.16,나쁨
20210831,SR1,부산,송정해수욕장,20210901,AM,0.6,5,292,242,1,3.6,1,8.5,57,3,24.5,5,-,5,3.36,보통
20210831,SR1,부산,송정해수욕장,20210901,PM,0.8,5,290,240,1,4.3,1,11.4,51,2,24.6,5,-,5,3.24,보통
20210831,SR1,부산,송정해수욕장,20210902,AM,0.8,5,1,-51,1,5.5,1,8.8,234,3,25.3,5,-,5,3.36,보통
20210831,SR1,부산,송정해수욕장,20210902,PM,0.8,5,359,309,1,5.5,1,10.4,231,2,25.6,5,-,5,3.24,보통
20210831,SR1,부산,송정해수욕장,20210903,AM,0.6,5,267,217,1,6.2,4,9.5,241,2,25.9,5,-,5,3.84,보통
20210831,SR1,부산,송정해수욕장,20210903,PM,0.7,5,264,214,1,6.2,4,11.8,234,2,26,5,-,5,3.84,보통
20210831,SR1,부산,송정해수욕장,20210904,AM,0.7,5,263,213,1,5.8,1,9.7,225,2,25.5,5,-,5,3.24,보통
20210831,SR1,부산,송정해수욕장,20210904,PM,0.7,5,264,214,1,5.5,1,9.7,222,2,25.6,5,-,5,3.24,보통
20210831,SR1,부산,송정해수욕장,20210905,AM,0.6,5,267,217,1,4.9,1,10,208,2,25.5,5,-,5,3.24,보통
20210831,SR1,부산,송정해수욕장,20210905,PM,0.7,5,268,218,1,5.3,1,11,215,2,25.6,5,-,5,3.24,보통
20210831,SR1,부산,송정해수욕장,20210906,AM,0.7,5,277,227,1,5.4,1,12.5,205,2,25.9,5,-,5,3.24,보통
20210831,SR1,부산,송정해수욕장,20210906,PM,0.8,5,289,239,1,5.8,1,12.1,209,2,25.8,5,-,5,3.24,보통
