FC_AREA,DATE,HR,MEAN_TEMP,TEMP_SCRE,MEAN_WSPD,WSPD_SCRE,MEAN_SST,SST_SCRE,MEAN_WHT,WAVE_SCRE,MUL,MUL_SCRE,MEAN_CURR,CURR_SCRE,MEAN_SKY,SKY_SCRE,CARNIVAL_NUM,MEAN_RAIN,WARN_SEA,WARN_LAND,FINAL_SCRE,SCRE_CLASS
CN,20210831,AM,25.0,17.2,2.6,19.7,26.7,6.5,0.0,9.6,1.0,6.9,,0.0,3.7,7.2,1,0.4,-,-,60.0,보통
CN,20210831,PM,25.5,16.4,4.2,16.9,26.7,6.5,0.0,9.6,1.0,6.9,,0.0,2.8,16.9,1,0.0,-,-,75.2,매우좋음
CN,20210901,AM,25.9,15.7,7.2,11.7,26.7,6.5,0.4,9.6,2.0,6.9,,0.0,3.7,7.2,1,0.2,-,-,60.0,보통
CN,20210901,PM,26.3,15.0,8.3,9.8,26.7,6.5,0.5,11.3,2.0,6.9,,0.0,3.9,7.2,1,1.2,-,-,60.0,보통
CN,20210902,AM,24.2,18.6,3.1,18.8,26.8,6.4,0.3,9.6,3.0,6.9,,0.0,4.0,7.2,1,0.9,-,-,60.0,보통
CN,20210902,PM,23.8,19.3,2.9,19.1,26.8,6.4,0.3,9.6,3.0,6.9,,0.0,4.0,7.2,1,3.7,-,-,60.0,보통
CN,20210903,DY,25.1,17.1,5.6,14.5,26.8,6.4,0.2,9.6,4.0,5.5,,0.0,3.2,16.9,1,0.0,-,-,72.0,좋음
CN,20210904,DY,24.5,18.1,6.7,12.6,26.7,6.5,0.9,8.3,5.0,5.5,,0.0,3.0,16.9,1,0.0,-,-,69.9,좋음
CN,20210905,DY,24.7,17.8,9.6,7.6,26.4,6.6,1.0,7.5,6.0,5.5,,0.0,3.0,16.9,1,0.0,-,-,63.9,보통
CN,20210906,DY,25.3,16.7,12.2,3.1,26.1,6.8,1.0,7.5,7.0,3.4,,0.0,4.0,7.2,1,0.0,-,-,46.7,나쁨
IS,20210831,AM,26.0,9.9,1.5,13.8,25.4,12.0,0.1,13.2,1.0,15.5,0.4,1.6,3.8,4.6,1,0.0,-,-,72.6,좋음
IS,20210831,PM,26.0,9.9,3.4,11.7,25.5,11.9,0.1,13.2,1.0,15.5,0.3,3.0,2.0,10.8,1,0.0,-,-,78.0,매우좋음
IS,20210901,AM,26.3,9.6,7.7,7.0,25.9,11.5,0.6,14.4,2.0,15.5,0.3,3.0,2.0,10.8,1,0.0,-,-,73.8,좋음
IS,20210901,PM,26.5,9.4,7.7,7.0,26.0,11.3,0.8,12.4,2.0,15.5,0.2,4.4,3.7,4.6,1,0.0,-,-,66.6,좋음
IS,20210902,AM,25.4,10.6,4.0,11.1,26.2,11.1,0.5,15.5,3.0,15.5,0.2,4.4,4.0,4.6,1,1.1,-,-,60.0,보통
IS,20210902,PM,24.6,11.5,3.0,12.2,26.2,11.1,0.6,14.4,3.0,15.5,0.2,4.4,4.0,4.6,1,0.6,-,-,60.0,보통
IS,20210903,DY,25.3,10.7,6.6,8.2,26.3,11.0,0.4,13.2,4.0,12.4,0.2,4.4,3.2,10.8,1,0.0,-,-,72.7,좋음
IS,20210904,DY,25.1,10.9,9.1,5.4,26.2,11.1,1.4,6.2,5.0,12.4,0.2,4.4,3.0,10.8,1,0.0,-,-,63.2,보통
IS,20210905,DY,25.6,10.4,12.0,2.2,26.1,11.2,1.4,6.2,6.0,12.4,0.3,3.0,3.0,10.8,1,0.0,-,-,58.2,보통
IS,20210906,DY,26.1,9.8,13.7,0.3,25.8,11.6,1.2,8.3,7.0,7.7,0.3,3.0,4.0,4.6,1,0.0,-,-,47.3,나쁨
