FC_AREA,DATE,HR,MEAN_TEMP,TEMP_SCRE,MEAN_WSPD,WSPD_SCRE,MEAN_SST,SST_SCRE,MEAN_WHT,WAVE_SCRE,MUL,MUL_SCRE,MEAN_CURR,CURR_SCRE,MEAN_SKY,SKY_SCRE,CARNIVAL_NUM,MEAN_RAIN,WARN_SEA,WARN_LAND,FINAL_SCRE,SCRE_CLASS
SW,20210831,AM,25.1,17.2,4.1,17.2,24.3,6.2,0.0,10.0,1.0,4.9,0.2,1.5,4.0,7.5,1,0.1,-,-,60.0,보통
SW,20210831,PM,25.5,16.6,4.6,16.4,24.7,6.0,0.0,10.0,1.0,4.9,0.3,1.0,4.0,7.5,1,0.0,-,-,64.4,보통
SW,20210901,AM,26.1,15.5,6.9,12.4,24.9,5.9,0.6,10.9,2.0,4.9,0.1,2.0,4.0,7.5,1,0.0,-,-,61.1,보통
SW,20210901,PM,26.4,15.0,9.0,8.7,24.9,5.9,0.7,10.1,2.0,4.9,0.1,2.0,4.0,7.5,1,1.2,-,-,60.0,보통
SW,20210902,AM,24.6,18.1,6.0,13.9,25.2,5.8,0.5,11.7,3.0,4.9,0.2,1.5,4.0,7.5,1,2.7,-,-,60.0,보통
SW,20210902,PM,23.9,19.3,7.1,12.0,25.5,5.6,0.5,11.7,3.0,4.9,0.2,1.5,4.0,7.5,1,2.2,-,-,60.0,보통
SW,20210903,DY,25.3,16.9,7.9,10.6,25.9,5.4,0.7,10.1,4.0,3.9,0.2,1.5,3.2,17.4,1,0.0,-,-,67.8,좋음
SW,20210904,DY,24.9,17.6,7.8,10.8,25.8,5.5,0.8,9.4,5.0,3.9,0.2,1.5,3.0,17.4,1,0.0,-,-,68.1,좋음
SW,20210905,DY,24.8,17.8,8.6,9.4,25.6,5.6,0.7,10.1,6.0,3.9,0.3,1.0,3.0,17.4,1,0.0,-,-,67.2,좋음
SW,20210906,DY,25.3,16.9,10.3,6.4,25.6,5.6,0.8,9.4,7.0,2.4,0.4,0.5,4.0,7.5,1,0.0,-,-,50.7,나쁨
NE,20210831,AM,24.6,15.0,4.1,14.3,22.1,13.7,0.0,11.8,1.0,10.6,0.1,0.9,4.0,6.1,1,0.3,-,-,60.0,보통
NE,20210831,PM,24.9,14.6,4.7,13.4,22.5,13.4,0.0,11.8,1.0,10.6,0.1,0.9,4.0,6.1,1,0.0,-,-,72.8,좋음
NE,20210901,AM,25.8,13.3,7.9,8.8,23.0,12.9,0.6,12.9,2.0,10.6,0.0,1.1,4.0,6.1,1,0.0,-,-,67.7,좋음
NE,20210901,PM,26.1,12.8,10.4,5.2,23.3,12.6,0.7,12.0,2.0,10.6,0.1,0.9,4.0,6.1,1,0.0,-,-,62.2,보통
NE,20210902,AM,24.1,15.7,7.5,9.4,24.5,11.5,0.8,11.1,3.0,10.6,0.1,0.9,4.0,6.1,1,1.6,-,-,60.0,보통
NE,20210902,PM,23.7,16.3,8.9,7.4,24.5,11.5,0.7,12.0,3.0,10.6,0.1,0.9,4.0,6.1,1,2.8,-,-,60.0,보통
NE,20210903,DY,24.5,15.2,9.5,6.5,25.2,10.9,0.7,12.0,4.0,8.5,0.1,0.9,3.2,14.1,1,0.0,-,-,70.1,좋음
NE,20210904,DY,24.5,15.2,8.5,7.9,25.2,10.9,0.7,12.0,5.0,8.5,0.1,0.9,3.0,14.1,1,0.0,-,-,71.5,좋음
NE,20210905,DY,24.4,15.3,9.5,6.5,25.1,11.0,0.7,12.0,6.0,8.5,0.1,0.9,3.0,14.1,1,0.0,-,-,70.3,좋음
NE,20210906,DY,24.8,14.7,11.0,4.3,25.3,10.8,0.8,11.1,7.0,5.3,0.2,0.7,4.0,6.1,1,0.0,-,-,55.0,나쁨
