STN,NAME,DATE,AM/PM,TEMP_MIN,TEMP_AVE,TEMP_MAX,WIND_MIN,WIND_AVE,WIND_MAX,SKY,RAIN_AMT
SD19,우도,20210831,AM,27.0,27.5,28.0,2.2,2.4,2.5,4,1
SD19,우도,20210831,PM,27.0,28.0,29.0,2.2,2.4,2.8,4,3.5
SD19,우도,20210901,AM,27.0,27.5,28.0,4.5,5.0,5.5,4,2
SD19,우도,20210901,PM,27.0,28.0,29.0,4.7,5.2,5.5,4,0
SD20,선재도,20210830,AM,24.0,24.5,25.0,1.8,1.9,2.0,4,0
SD20,선재도,20210830,PM,24.0,24.7,25.0,2.0,4.5,6.5,4,0
SD20,선재도,20210831,AM,23.0,23.0,23.0,2.2,2.2,2.3,4,0
SD20,선재도,20210831,PM,23.0,23.3,24.0,1.0,2.0,2.7,4,11.2
SD20,선재도,20210901,AM,22.0,22.5,23.0,5.9,7.0,8.2,4,12.5
SD20,선재도,20210901,PM,23.0,23.3,24.0,5.3,5.6,5.9,4,27.3
SD21,화도,20210830,AM,25.0,26.0,27.0,3.2,3.3,3.4,4,0
SD21,화도,20210830,PM,25.0,26.3,27.0,3.4,4.6,5.3,4,0
SD21,화도,20210831,AM,25.0,26.0,27.0,1.9,2.8,3.7,4,0
SD21,화도,20210831,PM,26.0,27.0,28.0,3.7,4.5,5.2,3,0
SD21,화도,20210901,AM,25.0,26.0,27.0,8.7,9.1,9.6,4,0
SD21,화도,20210901,PM,25.0,26.3,27.0,9.0,9.3,9.6,4,0
SD22,대섬,20210830,AM,26.0,27.0,28.0,1.6,1.8,1.9,4,0
SD22,대섬,20210830,PM,27.0,27.7,28.0,1.9,2.5,2.8,4,1.5
SD22,대섬,20210831,AM,26.0,27.0,28.0,0.8,1.6,2.4,3,0
SD22,대섬,20210831,PM,26.0,27.3,28.0,2.4,2.7,3.0,3,0
SD22,대섬,20210901,AM,26.0,26.5,27.0,5.6,5.8,5.9,3,0
SD22,대섬,20210901,PM,26.0,26.7,27.0,5.9,6.2,6.9,4,0
