울진후정,-999.0,-999.0,동해
국화도,25.0,-999.0,서해
후포,25.4,-999.0,동해
욕지도,26.1,-999.0,남해
외옹치항,22.4,0.1,동해
연도,27.4,-999.0,남해
포항,25.5,-999.0,동해
부산동부,22.9,0.4,남해
부산남부,21.9,0.4,남해
방포항,-999.0,-999.0,서해
아야진항,22.4,0.1,동해
모항항,-999.0,-999.0,서해
김녕,26.1,-999.0,남해
신시도,25.7,-999.0,서해
어청도,25.1,-999.0,서해
상왕등도,25.5,0.3,서해
추자도,23.8,-999.0,남해
부산서부,19.8,0.4,남해
서귀포,23.8,0.3,남해
거문도,24.9,-999.0,남해
신지도,24.9,-999.0,남해
영흥도,-999.0,-999.0,서해
상태도,23.1,-999.0,서해
거제도,24.4,-999.0,남해
하조도,24.9,-999.0,서해
성산포,25.8,-999.0,남해
울산,21.8,-999.0,동해
가거도,26.3,0.6,서해
