산출날짜,코드,구분,지역,예측날짜,오전오후,유의파고,파고점수,파향,상대파향,파향점수,파주기,파주기점수,풍속,풍향,풍속점수,수온,수온점수,총점수,예보지수
20210830,SR1,부산,송정해수욕장,20210830,AM,0.1,2,281.0,231.0,1,3.2,1,2.5,235.0,5,23.2,5,2.4,나쁨
20210830,SR1,부산,송정해수욕장,20210830,PM,0.1,2,280.0,230.0,1,3.2,1,3.7,181.0,4,24.6,5,2.28,나쁨
20210830,SR1,부산,송정해수욕장,20210831,AM,0.1,2,23.0,-27.0,1,2.3,1,2.3,195.0,5,24.7,5,2.4,나쁨
20210830,SR1,부산,송정해수욕장,20210831,PM,0.1,2,12.0,-38.0,1,2.4,1,4.3,183.0,4,25.6,5,2.28,나쁨
20210830,SR1,부산,송정해수욕장,20210901,AM,0.4,2,316.0,266.0,1,3.4,1,8.5,56.0,3,25.1,5,2.16,나쁨
20210830,SR1,부산,송정해수욕장,20210901,PM,0.5,5,330.0,280.0,1,4.1,1,11.4,54.0,2,25.1,5,3.24,보통
20210830,SR1,부산,송정해수욕장,20210902,AM,0.5,5,353.0,303.0,1,4.9,1,10.0,44.0,2,22.7,5,3.24,보통
20210830,SR1,부산,송정해수욕장,20210902,PM,0.6,5,354.0,304.0,1,5.5,1,8.8,46.0,3,23.4,5,3.3600000000000003,보통
20210830,SR1,부산,송정해수욕장,20210903,AM,0.6,5,267.0,217.0,1,6.2,4,9.5,233.0,2,22.5,5,3.84,보통
20210830,SR1,부산,송정해수욕장,20210903,PM,0.7,5,264.0,214.0,1,6.2,4,10.2,227.0,2,23.8,5,3.84,보통
20210830,SR1,부산,송정해수욕장,20210904,AM,0.7,5,263.0,213.0,1,5.8,1,10.4,222.0,2,24.6,5,3.24,보통
20210830,SR1,부산,송정해수욕장,20210904,PM,0.7,5,264.0,214.0,1,5.5,1,10.3,223.0,2,24.9,5,3.24,보통
20210830,SR1,부산,송정해수욕장,20210905,AM,0.6,5,267.0,217.0,1,4.9,1,8.2,211.0,3,24.8,5,3.3600000000000003,보통
20210830,SR1,부산,송정해수욕장,20210905,PM,0.7,5,268.0,218.0,1,5.3,1,8.8,218.0,3,25.0,5,3.3600000000000003,보통
