FC_AREA,DATE,HR,MEAN_TEMP,TEMP_SCRE,MEAN_WSPD,WSPD_SCRE,MEAN_SST,SST_SCRE,MEAN_WHT,WAVE_SCRE,MUL,MUL_SCRE,MEAN_CURR,CURR_SCRE,MEAN_SKY,SKY_SCRE,CARNIVAL_NUM,MEAN_RAIN,WARN_SEA,WARN_LAND,FINAL_SCRE,SCRE_CLASS
CN,20210830,AM,25.0,17.2,3.0,19.0,26.7,6.5,0.1,9.6,15.0,6.9,,0.0,3.0,16.9,1,0.1,-,-,60.0,보통
CN,20210830,PM,26.2,15.2,2.6,19.7,26.9,6.3,0.0,9.6,15.0,6.9,,0.0,2.7,16.9,1,0.1,-,-,60.0,보통
CN,20210831,AM,25.9,15.7,3.4,18.3,27.0,6.3,0.0,9.6,1.0,6.9,,0.0,3.9,7.2,1,0.6,-,-,60.0,보통
CN,20210831,PM,26.0,15.5,4.4,16.6,27.6,5.9,0.0,9.6,1.0,6.9,,0.0,3.3,16.9,1,0.8,-,-,60.0,보통
CN,20210901,AM,26.1,15.3,7.1,11.9,26.9,6.3,0.3,9.6,2.0,6.9,,0.0,3.9,7.2,1,3.7,-,-,60.0,보통
CN,20210901,PM,26.6,14.5,8.7,9.1,26.9,6.3,0.3,9.6,2.0,6.9,,0.0,3.6,7.2,1,3.4,-,-,60.0,보통
CN,20210902,DY,26.3,15.0,8.9,8.8,26.3,6.7,0.7,9.8,3.0,6.9,,0.0,4.0,7.2,1,0.0,-,-,56.4,보통
CN,20210903,DY,25.3,16.7,5.5,14.7,26.2,6.8,0.2,9.6,4.0,5.5,,0.0,3.2,16.9,1,0.0,-,-,72.2,좋음
CN,20210904,DY,25.3,16.7,8.2,10.0,25.4,7.3,0.9,8.3,5.0,5.5,,0.0,3.8,7.2,1,0.0,-,-,57.0,보통
CN,20210905,DY,24.5,18.1,7.6,11.0,25.1,7.5,1.0,7.5,6.0,5.5,,0.0,3.0,16.9,1,0.0,-,-,68.5,좋음
IS,20210830,AM,25.6,10.4,3.4,11.7,25.5,11.9,0.2,13.2,15.0,15.5,0.3,3.0,3.2,10.8,1,0.3,-,-,60.0,보통
IS,20210830,PM,26.1,9.8,2.6,12.6,26.2,11.1,0.1,13.2,15.0,15.5,0.2,4.4,3.4,10.8,1,0.4,-,-,60.0,보통
IS,20210831,AM,25.9,10.1,2.6,12.6,26.3,11.0,0.1,13.2,1.0,15.5,0.4,1.6,3.0,10.8,1,0.0,-,-,76.8,매우좋음
IS,20210831,PM,26.0,9.9,3.3,11.8,27.1,10.2,0.1,13.2,1.0,15.5,0.2,4.4,3.0,10.8,1,0.0,-,-,77.8,매우좋음
IS,20210901,AM,26.1,9.8,6.4,8.4,25.8,11.6,0.3,13.2,2.0,15.5,0.6,0.0,2.1,10.8,1,0.0,-,-,71.3,좋음
IS,20210901,PM,26.3,9.6,7.1,7.6,26.0,11.3,0.4,13.2,2.0,15.5,0.4,1.6,1.9,15.5,1,0.0,-,-,76.3,매우좋음
IS,20210902,DY,26.0,9.9,8.7,5.9,24.6,12.8,1.3,7.2,3.0,15.5,0.5,0.2,4.0,4.6,1,0.0,-,-,58.1,보통
IS,20210903,DY,25.3,10.7,4.8,10.2,25.1,12.3,0.4,13.2,4.0,12.4,0.3,3.0,3.2,10.8,1,0.0,-,-,74.6,좋음
IS,20210904,DY,25.6,10.4,10.5,3.9,24.6,12.8,1.4,6.2,5.0,12.4,0.3,3.0,3.8,4.6,1,0.0,-,-,55.3,보통
IS,20210905,DY,25.5,10.5,8.6,6.0,24.9,12.5,1.4,6.2,6.0,12.4,0.2,4.4,3.0,10.8,1,0.0,-,-,64.8,보통
