생산일,코드,항로명,선박명,선박종류,예측일자,시간,운항시간,운항시간점수,선박톤수,선박톤수점수,최소파고,평균파고,최대파고,파고점수,최소풍속,평균풍속,최대풍속,풍속점수,총점수
20210830,SK17,통영-소매물,한솔2,고속선,20210829,AM,1.7,3,109,2,0.5,0.6,0.7,4,5.2,6.2,7.1,3,3.33
20210830,SK17,통영-소매물,한솔2,고속선,20210829,PM,1.7,3,109,2,0.6,0.7,0.8,4,7.9,8.2,8.7,3,3.33
20210830,SK10,부산-제주,뉴스타,일반카페리,20210829,AM,12.0,1,9997,5,0.5,0.5,0.6,4,5.9,7.1,9.5,2,1.50
20210830,SK10,부산-제주,뉴스타,일반카페리,20210829,PM,12.0,1,9997,5,0.6,0.6,0.6,4,9.3,9.7,10.0,2,1.50
20210830,SK11,부산-대마,오션플라워,초쾌속선,20210829,AM,1.2,4,445,2,0.6,0.6,0.7,4,6.1,7.3,9.5,2,1.50
20210830,SK11,부산-대마,오션플라워,초쾌속선,20210829,PM,1.2,4,445,2,0.8,0.8,0.9,4,9.3,9.7,10.0,2,1.50
20210830,SK11,부산-대마,니나,초쾌속선,20210829,AM,1.5,3,364,2,0.6,0.6,0.7,4,6.1,7.3,9.5,2,1.50
20210830,SK11,부산-대마,니나,초쾌속선,20210829,PM,1.5,3,364,2,0.8,0.8,0.9,4,9.3,9.7,10.0,2,1.50
20210830,SK11,부산-대마,비틀(대마),초쾌속선,20210829,AM,1.5,3,164,2,0.6,0.6,0.7,4,6.1,7.3,9.5,2,1.50
20210830,SK11,부산-대마,비틀(대마),초쾌속선,20210829,PM,1.5,3,164,2,0.8,0.8,0.9,4,9.3,9.7,10.0,2,1.50
20210830,SK12,부산-후쿠오카,뉴카멜리아,카페리,20210829,AM,9.0,1,19961,5,0.6,0.6,0.7,4,6.6,7.3,9.5,2,1.50
20210830,SK12,부산-후쿠오카,뉴카멜리아,카페리,20210829,PM,9.0,1,19961,5,0.8,0.8,0.9,4,9.3,9.7,10.0,2,1.50
20210830,SK12,부산-후쿠오카,코비(후쿠오카),초쾌속선,20210829,AM,3.5,1,162,2,0.6,0.6,0.7,4,6.6,7.3,9.5,2,1.50
20210830,SK12,부산-후쿠오카,코비(후쿠오카),초쾌속선,20210829,PM,3.5,1,162,2,0.8,0.8,0.9,4,9.3,9.7,10.0,2,1.50
