생산일,코드,권역,지역,예측일자,갈라짐시작시간,갈라짐종료시간,체험시간,체험시간점수,최저기온,평균기온,최고기온,기온점수,최저풍속,평균풍속,최대풍속,풍속점수,날씨,날씨점수,강수량,강수점수,특보,특보점수,총점수,예보지수
20210830,SD19,남해서부,우도,20210830,9:00,11:41,2.68,4,25.3,27,28.3,5,1.1,2.1,4.2,4,4,2,0,5,-,5,3.75,보통
20210830,SD20,황해중부,선재도,20210830,10:47,18:00,7.22,5,23.8,24.3,24.8,5,0.7,2.5,4,4,4,2,0,5,-,5,4.45,좋음
20210830,SD21,황해남부,화도,20210830,9:00,18:00,9,5,24.1,24.8,25.1,5,0.7,2.7,4.3,4,4,2,4.2,3,-,5,3,보통
20210830,SD4,황해중부,제부도,20210830,9:56,18:00,8.07,5,23.4,23.9,24.4,4,1.3,3.2,4.4,4,4,2,0,5,-,5,4.4,좋음
20210830,SD5,제주도,서건도,20210830,9:00,11:40,2.67,4,24.9,28.2,29.2,5,1.5,4.5,5.7,3,4,2,0,5,-,5,3.65,보통
20210830,SD6,황해중부,실미도,20210830,12:36,18:00,5.4,5,23.8,24,24.5,5,0.8,2.9,4.6,4,4,2,0,5,-,5,4.45,좋음
20210830,SD8,황해중부,웅도,20210830,9:00,18:00,9,5,24,24.1,25.3,5,1.2,3.4,4.4,4,4,2,0,5,-,5,4.45,좋음
20210830,SD9,황해중부,소야도,20210830,12:51,17:42,4.85,5,23,24.1,24.3,5,1.3,2.6,4,4,4,2,0,5,-,5,4.45,좋음
20210830,SD19,남해서부,우도,20210831,9:00,12:53,3.88,5,25,27.6,28.1,5,1.7,3.2,4.5,4,4,2,2.5,3,-,5,3,보통
20210830,SD20,황해중부,선재도,20210831,10:50,18:00,7.17,5,21.6,22.3,23.1,4,3.3,6.1,11.1,2,4,2,13.7,1,-,5,1,매우나쁨
20210830,SD21,황해남부,화도,20210831,9:00,18:00,9,5,24.8,25.3,25.7,5,2.4,4.8,7.4,3,3,3,0,5,-,5,4.5,좋음
20210830,SD4,황해중부,제부도,20210831,9:00,18:00,9,5,21.3,21.9,22.5,4,4,5.5,8.5,3,4,2,24.9,1,-,5,1,매우나쁨
20210830,SD5,제주도,서건도,20210831,9:00,12:55,3.92,5,23.2,26.9,27.6,5,0.9,3.5,4.4,4,1,5,0,5,-,5,4.9,매우좋음
20210830,SD6,황해중부,실미도,20210831,13:25,18:00,4.58,5,21.7,22.5,23.4,4,3.1,5.5,9.3,2,4,2,7.3,2,-,5,2,나쁨
20210830,SD8,황해중부,웅도,20210831,9:00,18:00,9,5,21.4,21.8,22.4,4,3.7,7.6,10.4,2,4,2,19.3,1,-,5,1,매우나쁨
20210830,SD9,황해중부,소야도,20210831,13:50,18:00,4.17,5,21.4,22.2,22.6,4,4.8,7.9,12.6,2,4,2,10.7,1,-,5,1,매우나쁨
20210830,SD19,남해서부,우도,20210901,9:00,14:24,5.4,5,26.6,27.9,28.6,5,5.6,8.3,10.3,2,4,2,0,5,-,5,4.25,좋음
20210830,SD20,황해중부,선재도,20210901,9:00,18:00,9,5,22.8,23.7,24.2,4,1.7,5.8,8.9,3,4,2,27.3,1,-,5,1,매우나쁨
20210830,SD21,황해남부,화도,20210901,9:00,18:00,9,5,25.4,25.7,26,5,6.7,8.4,9.4,2,4,2,0,5,-,5,4.25,좋음
20210830,SD4,황해중부,제부도,20210901,9:00,18:00,9,5,23.4,24,24.3,5,1.4,2.9,6.1,3,4,2,19.8,1,-,5,1,매우나쁨
20210830,SD5,제주도,서건도,20210901,9:00,14:20,5.33,5,24.7,27.6,28.5,5,2.9,5.6,6.5,3,4,2,0,5,-,5,4.35,좋음
20210830,SD6,황해중부,실미도,20210901,14:42,18:00,3.3,5,22.2,23.5,24.3,4,5.9,7.4,8.3,3,4,2,21.5,1,-,5,1,매우나쁨
20210830,SD8,황해중부,웅도,20210901,9:00,18:00,9,5,23.5,23.9,24.9,4,1.3,3.9,5.4,3,4,2,18.8,1,-,5,1,매우나쁨
20210830,SD9,황해중부,소야도,20210901,15:22,18:00,2.63,4,22.8,23.5,24.2,4,3.9,5.6,8,3,4,2,23.1,1,-,5,1,매우나쁨
