FCST_AREA,STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,CITY_X,CITY_Y,WARN_SEA,WARN_LAND,여행종류1,여행종류2,여행종류3,여행종류4,여행종류5
YSCN,YSCN8,화양면,장등해수욕장,127.611237,34.644876,319,410,140,141,127,176,432,224,2,151,185,72,63,전남동부남해앞바다,여수,해수욕,-,-,-,-
YSIS,YSIS1,삼산면,거문도,127.292605,34.036398,308,390,132,158,124,168,428,296,2,148,192,66,50,전남동부남해앞바다,여수,섬여행(선박탑승),트래킹,해수욕,바다낚시,스쿠버
