FCST_AREA,STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,CITY_X,CITY_Y,SEA_WARN_AREA,LOC_WARN_AREA,TRAVEL1,TRAVEL2,TRAVEL3,TRAVEL4,TRAVEL5
ICCN,ICCN26,중구,월미도,126.5977,37.4754,287,511,117,63,115,210,430,183,1,139,150,53,125,인천·경기남부앞바다,인천,요트·유람선·여객선,문화체험,트래킹,-,-
ICCN,ICCN27,중구,영종씨사이드파크,126.5272,37.4742,285,511,116,62,114,210,423,183,1,138,150,52,125,인천·경기남부앞바다,인천,문화체험,트래킹,-,-,-
ICCN,ICCN28,중구,인천대교기념관,126.5151,37.4694,285,511,115,62,114,210,422,184,1,138,150,52,125,인천·경기남부앞바다,인천,문화체험,-,-,-,-
ICCN,ICCN29,중구,인천대교,126.5665,37.4139,286,509,116,61,115,209,428,190,1,139,151,53,123,인천·경기남부앞바다,인천,드라이브,-,-,-,-
ICCN,ICCN30,중구,왕산마리나,126.3588,37.4585,279,511,110,61,112,210,402,185,1,136,150,49,124,인천·경기남부앞바다,인천,요트·유람선·여객선,-,-,-,-
ICCN,ICCN31,중구,왕산해수욕장,126.3683,37.4559,279,511,110,60,112,209,402,185,1,136,151,49,124,인천·경기남부앞바다,인천,해수욕,-,-,-,-
ICCN,ICCN32,중구,인천연안여객선터미널,126.5984,37.4541,287,511,116,60,115,207,430,186,1,139,151,53,124,인천·경기남부앞바다,인천,요트·유람선·여객선,-,-,-,-
ICCN,ICCN33,중구,을왕리해수욕장,126.3725,37.4476,280,510,111,60,112,209,403,186,1,136,151,49,124,인천·경기남부앞바다,인천,해수욕,-,-,-,-
ICCN,ICCN34,중구,하늘정원,126.4730,37.4471,283,510,113,62,114,209,417,186,1,138,151,51,124,인천·경기남부앞바다,인천,트래킹,-,-,-,-
ICCN,ICCN35,중구,용유도해변,126.4017,37.4427,281,510,111,62,113,209,404,188,1,137,151,50,124,인천·경기남부앞바다,인천,해수욕,-,-,-,-
ICCN,ICCN36,중구,마시안해변,126.4164,37.4323,281,510,113,61,113,209,405,189,1,137,151,50,124,인천·경기남부앞바다,인천,어촌체험,해수욕,-,-,-
ICCN,ICCN37,중구,거잠포,126.4257,37.4212,282,509,112,64,113,209,411,189,1,137,151,50,123,인천·경기남부앞바다,인천,문화체험,트래킹,-,-,-
ICCN,ICCN38,중구,큰무리어촌체험마을,126.4136,37.4091,281,509,111,65,113,209,412,190,1,137,151,50,123,인천·경기남부앞바다,인천,어촌체험,-,-,-,-
ICCN,ICCN39,중구,실미해수욕장,126.4029,37.4031,281,509,112,65,113,209,406,192,1,137,151,50,123,인천·경기남부앞바다,인천,해수욕,문화체험,-,-,-
ICCN,ICCN40,중구,무의도,126.4155,37.3918,281,508,113,65,113,209,406,193,1,137,151,50,123,인천·경기남부앞바다,인천,섬여행,바다낚시,해수욕,트래킹,-
ICCN,ICCN41,중구,포내어촌체험마을,126.4291,37.3897,281,508,114,64,113,209,414,193,1,137,151,50,123,인천·경기남부앞바다,인천,어촌체험,-,-,-,-
ICCN,ICCN42,중구,하나개해수욕장,126.4087,37.3854,281,508,112,65,113,209,407,194,1,137,151,50,123,인천·경기남부앞바다,인천,해수욕,해양레포츠,트래킹,문화체험,-
ICCN,ICCN43,연수구,인천국제여객선터미널,126.5963,37.4538,287,511,116,60,115,209,430,186,1,139,151,53,124,인천·경기남부앞바다,인천,요트·유람선·여객선,-,-,-,-
ICCN,ICCN44,연수구,아암도해안공원,126.6416,37.4122,289,509,117,64,116,209,437,191,1,140,151,54,123,인천·경기남부앞바다,인천,트래킹,-,-,-,-
ICCN,ICCN45,연수구,인천상륙작전기념관,126.6542,37.4197,289,509,117,64,116,209,439,190,1,140,151,54,123,인천·경기남부앞바다,인천,문화체험,-,-,-,-
ICCN,ICCN46,남동구,소래습지생태공원,126.7472,37.4112,292,509,119,63,117,209,450,191,1,141,151,56,123,인천·경기남부앞바다,인천,문화체험,트래킹,-,-,-
ICCN,ICCN47,옹진군,영흥도,126.4626,37.2636,282,504,112,69,114,207,410,208,1,138,153,51,120,인천·경기남부앞바다,옹진,섬여행(선박미탑승),해수욕,바다낚시,-,-
ICCN,ICCN48,옹진군,영흥대교,126.5058,37.2547,284,503,115,66,114,207,421,209,1,138,153,52,120,인천·경기남부앞바다,옹진,드라이브,-,-,-,-
ICCN,ICCN49,옹진군,선재도,126.5259,37.2468,285,503,116,66,114,207,421,213,1,138,153,52,120,인천·경기남부앞바다,옹진,섬여행(선박미탑승),바다갈라짐,바다낚시,트래킹,-
ICCN,ICCN50,옹진군,선재어촌체험마을,126.5373,37.2331,285,503,114,68,114,207,424,212,1,138,153,52,119,인천·경기남부앞바다,옹진,어촌체험,-,-,-,-
