RMSE,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
서해_파고,0.2,0.23,0.26,0.3,0.24,0.21,0.29,0.29,0.24,0.28,0.32,0.28
남해_파고,0.3,0.23,0.25,0.31,0.26,0.27,0.34,0.39,0.4,0.38,0.31,0.27
동해_파고,0.31,0.27,0.25,0.35,0.28,0.3,0.29,0.33,0.37,0.4,0.39,0.27
서해_수온,0.78,0.8,0.83,0.86,1.11,1.62,1.51,1.8,1.48,1.34,1.25,1.09
남해_수온,1.1,1.17,1.18,1.01,1.1,1.57,2.07,2.42,1.65,1.23,1.25,1.38
동해_수온,0.97,0.91,1.3,1.22,1.52,1.93,2.12,2.27,1.75,1.55,1.48,1.33
