DT_0001,인천,조위관측
DT_0002,평택,조위관측
DT_0003,영광,조위관측
DT_0004,제주,조위관측
DT_0005,부산,조위관측
DT_0006,묵호,조위관측
DT_0007,목포,조위관측
DT_0008,안산,조위관측
DT_0901,포항,조위관측
DT_0010,서귀포,조위관측
DT_0011,후포,조위관측
DT_0012,속초,조위관측
DT_0013,울릉도,조위관측
DT_0014,통영,조위관측
DT_0015,마산,조위관측
DT_0016,여수,조위관측
DT_0017,대산,조위관측
DT_0018,군산,조위관측
DT_0019,가덕도,조위관측
DT_0020,울산,조위관측
DT_0021,추자도,조위관측
DT_0022,성산포,조위관측
DT_0023,모슬포,조위관측
DT_0024,장항,조위관측
DT_0025,보령,조위관측
DT_0026,고흥발포,조위관측
DT_0027,완도,조위관측
DT_0028,진도,조위관측
DT_0029,거제도,조위관측
DT_0030,위도,조위관측
DT_0031,거문도,조위관측
DT_0032,강화대교,조위관측
DT_0034,안흥,조위관측
DT_0035,흑산도,조위관측
DT_0037,어청도,조위관측
DT_0038,굴업도,조위관측
DT_0039,왕돌초,조위관측
DT_0041,복사초,조위관측
DT_0042,교본초,조위관측
DT_0043,영흥도,조위관측
DT_0044,영종대교,조위관측
DT_0049,광양,조위관측
DT_0050,태안,조위관측
DT_0051,서천마량,조위관측
DT_0052,인천송도,조위관측
DT_0056,부산항신항,조위관측
DT_0057,동해항,조위관측
DT_0058,경인항,조위관측
DT_0061,삼천포,조위관측
TW_0062,해운대해수욕장,해양부이
TW_0069,대천해수욕장,해양부이
TW_0070,평택·당진항,해양부이
TW_0072,군산항,해양부이
TW_0074,광양항,해양부이
TW_0075,중문해수욕장,해양부이
TW_0076,인천항,해양부이
TW_0077,경인항,해양부이
TW_0078,완도항,해양부이
TW_0079,상왕등도,해양부이
TW_0080,우이도,해양부이
TW_0081,생일도,해양부이
TW_0082,태안항,해양부이
TW_0083,여수항,해양부이
TW_0084,통영항,해양부이
TW_0085,마산항,해양부이
TW_0086,부산항신항,해양부이
TW_0087,부산항,해양부이
TW_0088,감천항,해양부이
TW_0089,경포대해수욕장,해양부이
TW_0090,송정해수욕장,해양부이
TW_0091,낙산해수욕장,해양부이
KG_0021,제주남부,해양부이
KG_0024,대한해협,해양부이
KG_0025,남해동부,해양부이
KG_0028,제주해협,해양부이
KG_0101,울릉도북동,해양부이
KG_0102,울릉도북서,해양부이
IE_0060,이어도,해양부이
IE_0061,신안가거초,해양부이
IE_0062,옹진소청초,해양부이
