생산일,코드,권역,지역,예측일자,갈라짐시작시간,갈라짐종료시간,체험시간,체험시간점수,최저기온,평균기온,최고기온,기온점수,최저풍속,평균풍속,최대풍속,풍속점수,날씨,날씨점수,강수량,강수점수,특보,특보점수,총점수,예보지수
20210827,SD10,남해동부,소매물도,20210827,16:14,18:00,1.77,3,25.9,26.0,26.1,5,4.0,6.3,7.4,3,3,3,0.0,5,-,5,3.10,보통
20210827,SD19,남해서부,우도,20210827,09:00,09:40,0.67,2,26.3,28.7,29.8,5,3.7,6.8,8.3,3,4,2,1.2,3,-,5,2.25,나쁨
20210827,SD19,남해서부,우도,20210827,15:48,18:00,2.20,4,26.3,28.7,29.8,5,3.7,6.8,8.3,3,4,2,6.3,2,-,5,2.00,나쁨
20210827,SD20,황해중부,선재도,20210827,09:54,17:26,7.53,5,21.7,22.2,23.0,4,1.1,2.8,3.6,4,4,2,3.7,3,-,5,3.00,보통
20210827,SD21,황해남부,화도,20210827,09:00,16:44,7.73,5,25.8,26.4,26.8,5,3.7,5.8,6.6,3,4,2,23.5,1,-,5,1.00,매우나쁨
20210827,SD4,황해중부,제부도,20210827,09:30,17:48,8.30,5,21.5,22.1,23.4,4,1.0,2.4,3.6,4,4,2,3.6,3,-,5,3.00,보통
20210827,SD5,제주도,서건도,20210827,09:00,09:21,0.35,1,25.9,27.8,28.5,5,1.5,3.7,4.8,4,4,2,6.8,2,-,5,1.00,매우나쁨
20210827,SD5,제주도,서건도,20210827,15:58,18:00,2.03,4,25.9,27.8,28.5,5,1.5,3.7,4.8,4,4,2,6.0,2,-,5,2.00,나쁨
20210827,SD6,황해중부,실미도,20210827,11:10,16:29,5.32,5,22.0,22.3,22.8,4,0.3,2.9,3.9,4,4,2,2.6,3,-,5,3.00,보통
20210827,SD8,황해중부,웅도,20210827,09:13,18:00,8.78,5,21.3,21.8,23.0,4,0.8,2.1,3.9,4,4,2,3.6,3,-,5,3.00,보통
20210827,SD9,황해중부,소야도,20210827,11:12,16:12,5.00,5,21.8,22.0,22.4,4,1.1,2.4,3.6,4,4,2,3.2,3,-,5,3.00,보통
20210827,SD19,남해서부,우도,20210828,09:00,10:12,1.20,3,25.9,27.8,28.9,5,5.9,6.8,7.6,3,3,3,0.0,5,-,5,3.10,보통
20210827,SD19,남해서부,우도,20210828,16:33,18:00,1.45,3,25.9,27.8,28.9,5,5.9,6.8,7.6,3,3,3,0.0,5,-,5,3.10,보통
20210827,SD20,황해중부,선재도,20210828,10:14,18:00,7.77,5,22.5,23.1,23.5,4,1.0,1.9,3.2,4,3,3,0.0,5,-,5,4.55,좋음
20210827,SD21,황해남부,화도,20210828,09:00,17:45,8.75,5,23.6,24.6,25.4,5,2.4,4.5,6.1,3,4,2,0.6,5,-,5,4.35,좋음
20210827,SD4,황해중부,제부도,20210828,09:46,18:00,8.23,5,22.3,23.0,23.6,4,0.6,1.8,2.8,4,4,2,0.0,5,-,5,4.40,좋음
20210827,SD5,제주도,서건도,20210828,09:00,10:01,1.02,3,25.8,27.3,27.9,5,4.0,5.4,6.3,3,4,2,0.5,5,-,5,2.95,나쁨
20210827,SD5,제주도,서건도,20210828,16:56,18:00,1.07,3,25.8,27.3,27.9,5,4.0,5.4,6.3,3,4,2,3.0,3,-,5,2.95,나쁨
20210827,SD6,황해중부,실미도,20210828,11:34,16:58,5.40,5,22.9,23.1,23.5,4,1.3,2.2,3.1,4,3,3,0.0,5,-,5,4.55,좋음
20210827,SD8,황해중부,웅도,20210828,09:27,18:00,8.55,5,22.3,23.1,23.4,4,0.8,1.6,2.7,4,4,2,0.0,5,-,5,4.40,좋음
20210827,SD9,황해중부,소야도,20210828,11:39,16:40,5.02,5,22.7,23.0,23.5,4,0.7,1.8,2.9,4,3,3,0.0,5,-,5,4.55,좋음
20210827,SD19,남해서부,우도,20210829,09:00,10:50,1.83,3,25.7,27.6,28.8,5,4.0,5.3,6.5,3,4,2,0.0,5,-,5,2.95,나쁨
20210827,SD19,남해서부,우도,20210829,17:35,18:00,0.42,1,25.7,27.6,28.8,5,4.0,5.3,6.5,3,4,2,0.5,5,-,5,1.00,매우나쁨
20210827,SD20,황해중부,선재도,20210829,10:32,18:00,7.47,5,21.9,22.6,23.1,4,3.8,5.4,7.3,3,4,2,0.0,5,-,5,4.30,좋음
20210827,SD21,황해남부,화도,20210829,09:00,18:00,9.00,5,25.4,25.7,25.9,5,6.8,7.2,7.6,3,4,2,8.0,2,-,5,2.00,나쁨
20210827,SD4,황해중부,제부도,20210829,09:57,18:00,8.05,5,21.3,22.5,23.0,4,3.7,5.1,6.3,3,4,2,6.8,2,-,5,2.00,나쁨
20210827,SD5,제주도,서건도,20210829,09:00,10:45,1.75,3,24.9,27.0,27.7,5,1.3,4.2,5.2,3,4,2,0.0,5,-,5,2.95,나쁨
20210827,SD6,황해중부,실미도,20210829,12:02,17:28,5.43,5,21.7,22.5,23.0,4,3.6,5.4,7.0,3,4,2,0.0,5,-,5,4.30,좋음
20210827,SD8,황해중부,웅도,20210829,09:33,18:00,8.45,5,22.4,22.8,23.1,4,4.7,6.1,7.3,3,4,2,0.0,5,-,5,4.30,좋음
20210827,SD9,황해중부,소야도,20210829,12:10,17:09,4.98,5,21.8,22.4,22.9,4,4.9,6.2,7.4,3,4,2,0.0,5,-,5,4.30,좋음
