산출날짜,코드,구분,지역,예측날짜,오전오후,유의파고,파고점수,파향,상대파향,파향점수,파주기,파주기점수,풍속,풍향,풍속점수,수온,수온점수,특보,특보점수,총점수,예보지수
20210827,SR1,부산,송정해수욕장,20210827,AM,0.4,2,203.0,153.0,1,6.2,4,5.3,45.0,3,18.8,4,-,5,2,나쁨
20210827,SR1,부산,송정해수욕장,20210827,PM,0.5,5,291.0,241.0,1,4.0,1,9.1,57.0,2,23.8,5,-,5,2,나쁨
20210827,SR1,부산,송정해수욕장,20210828,AM,0.4,2,291.0,241.0,1,4.7,1,7.5,53.0,3,22.4,5,-,5,2,나쁨
20210827,SR1,부산,송정해수욕장,20210828,PM,0.3,2,291.0,241.0,1,4.5,1,7.9,55.0,3,23.1,5,-,5,2,나쁨
20210827,SR1,부산,송정해수욕장,20210829,AM,0.1,2,273.0,223.0,1,3.3,1,7.2,53.0,3,22.7,5,-,5,2,나쁨
20210827,SR1,부산,송정해수욕장,20210829,PM,0.3,2,275.0,225.0,1,2.9,1,8.5,57.0,3,23.5,5,-,5,2,나쁨
20210827,SR1,부산,송정해수욕장,20210830,AM,0.3,2,18.0,-32.0,1,4.5,1,7.9,55.0,3,22.9,5,-,5,2,나쁨
20210827,SR1,부산,송정해수욕장,20210830,PM,0.3,2,18.0,-32.0,1,4.5,1,4.6,141.0,4,23.9,5,-,5,2,나쁨
20210827,SR1,부산,송정해수욕장,20210831,AM,0.1,2,20.0,-30.0,1,4.5,1,7.7,220.0,3,24.7,5,-,5,2,나쁨
20210827,SR1,부산,송정해수욕장,20210831,PM,0.2,2,303.0,253.0,1,4.8,1,7.7,218.0,3,25.5,5,-,5,2,나쁨
20210827,SR1,부산,송정해수욕장,20210901,AM,0.5,5,288.0,238.0,1,3.6,1,6.3,194.0,3,25.8,5,-,5,2,나쁨
20210827,SR1,부산,송정해수욕장,20210901,PM,0.6,5,294.0,244.0,1,3.7,1,7.0,200.0,3,26.2,5,-,5,2,나쁨
20210827,SR1,부산,송정해수욕장,20210902,AM,0.5,5,326.0,276.0,1,4.1,1,10.3,53.0,2,26.2,5,-,5,2,나쁨
20210827,SR1,부산,송정해수욕장,20210902,PM,0.6,5,358.0,308.0,1,4.5,1,11.8,53.0,2,25.8,5,-,5,2,나쁨
