STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,CITY_X,CITY_Y,WARN_AREA,AGENCY1,MWHT_STN1,AGENCY2,MWHT_STN2,AGENCY3,SST_STN1,AGENCY4,SST_STN2,FISH_NAME,FISH_TYPE
SF33,황해남부,상태도,125.285556,34.435778,247,404,85,147,99,173,156,248,2,123,187,29,58,서해남부남쪽먼바다,해양기상,홍도,해양기상,가거도,조위관측,흑산도,해양기상,홍도,우럭,RF
SF34,황해남부,상태도,125.285556,34.435778,247,404,85,147,99,173,156,248,2,123,187,29,58,서해남부남쪽먼바다,해양기상,홍도,해양기상,가거도,조위관측,흑산도,해양기상,홍도,감성돔,BP
SF35,남해서부,거문도,127.341139,34.030417,310,390,133,158,124,168,401,296,2,148,192,68,49,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,농어,SB
SF36,남해서부,거문도,127.341139,34.030417,310,390,133,158,124,168,401,296,2,148,192,68,49,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,볼락,GP
SF37,남해서부,거문도,127.341139,34.030417,310,390,133,158,124,168,401,296,2,148,192,68,49,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,참돔,RP
SF38,남해서부,거문도,127.341139,34.030417,310,390,133,158,124,168,401,296,2,148,192,68,49,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,감성돔,BP
SF39,남해서부,거문도,127.341139,34.030417,310,390,133,158,124,168,401,296,2,148,192,68,49,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,우럭,RF
SF40,동해남부,포항,129.431444,36.116222,376,463,181,101,149,193,292,106,4,173,167,102,95,경북남부앞바다,파고부이,월포,해양기상,포항,파고부이,월포,조위관측,포항,농어,SB
SF41,동해남부,포항,129.431444,36.116222,376,463,181,101,149,193,292,106,4,173,167,102,95,경북남부앞바다,파고부이,월포,해양기상,포항,파고부이,월포,조위관측,포항,볼락,GP
SF42,동해남부,포항,129.431444,36.116222,376,463,181,101,149,193,292,106,4,173,167,102,95,경북남부앞바다,파고부이,월포,해양기상,포항,파고부이,월포,조위관측,포항,감성돔,BP
SF43,동해남부,포항,129.431444,36.116222,376,463,181,101,149,193,292,106,4,173,167,102,95,경북남부앞바다,파고부이,월포,해양기상,포항,파고부이,월포,조위관측,포항,벵에돔,OP
SF44,동해남부,후포,129.456349,36.673764,377,483,181,85,150,200,297,39,4,174,160,102,108,경북북부앞바다,파고부이,후포,조위관측,왕돌초,조위관측,후포,파고부이,후포,벵에돔,OP
SF45,동해남부,후포,129.456349,36.673764,377,483,181,85,150,200,297,39,4,174,160,102,108,경북북부앞바다,파고부이,후포,조위관측,왕돌초,조위관측,후포,파고부이,후포,감성돔,BP
SF46,동해남부,후포,129.456349,36.673764,377,483,181,85,150,200,297,39,4,174,160,102,108,경북북부앞바다,파고부이,후포,조위관측,왕돌초,조위관측,후포,파고부이,후포,우럭,RF
SF47,황해중부,영흥도,126.43074,37.26944,282,504,113,69,113,207,411,208,1,137,153,51,120,인천·경기남부앞바다,해양기상,덕적도,파고부이,이작도,해양기상,덕적도,파고부이,이작도,우럭,RF
