STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,CITY_X,CITY_Y,WARN_AREA,AGENCY1,MWHT_STN1,AGENCY2,MWHT_STN2,AGENCY3,SST_STN1,AGENCY4,SST_STN2
SK14,황해남부,격포-위도,126.329993,35.630308,279,446,109,114,112,188,280,104,2,136,172,1,1,전북남부앞바다,파고부이,위도,파고부이,비안도,-,-,-,-
SK14,황해남부,격포-위도,126.312074,35.623861,278,446,110,114,112,187,277,105,2,136,173,1,1,전북남부앞바다,파고부이,위도,파고부이,비안도,-,-,-,-
SK18,황해남부,목포-홍도,126.2709,34.75063,277,415,110,138,111,177,273,210,2,135,183,1,1,전남중부서해앞바다,파고부이,옥도,해양기상,칠발도,-,-,-,-
SK18,황해남부,목포-홍도,126.00833,34.75,269,415,101,136,108,177,241,210,2,132,183,1,1,전남중부서해앞바다,파고부이,옥도,해양기상,칠발도,-,-,-,-
SK18,황해남부,목포-홍도,125.81667,34.7,263,413,100,140,106,176,218,216,2,130,184,1,1,전남중부서해앞바다,파고부이,옥도,해양기상,칠발도,-,-,-,-
SK18,황해남부,목포-홍도,125.575,34.65833,255,412,95,141,103,176,189,221,2,127,184,1,1,전남중부서해앞바다,파고부이,옥도,해양기상,칠발도,-,-,-,-
SK18,황해남부,목포-홍도,125.30833,34.69166,247,413,89,140,100,176,157,217,2,124,184,1,1,전남중부서해앞바다,파고부이,옥도,해양기상,칠발도,-,-,-,-
SK4,황해남부,목포-제주,126.38514,34.77885,281,416,113,138,113,177,289,207,2,137,183,1,1,전남중부서해앞바다,파고부이,추자도,해양기상,추자도,-,-,-,-
SK4,황해남부,목포-제주,126.22569,34.58968,276,409,108,143,111,175,267,229,2,135,185,1,1,전남남부서해앞바다,파고부이,추자도,해양기상,추자도,-,-,-,-
SK4,황해남부,목포-제주,126.09452,34.46358,271,405,104,146,109,174,251,244,2,133,186,1,1,전남남부서해앞바다,파고부이,추자도,해양기상,추자도,-,-,-,-
SK4,황해남부,목포-제주,126.16486,34.29066,274,399,107,151,110,171,260,265,2,134,189,1,1,남해서부서쪽먼바다,파고부이,추자도,해양기상,추자도,-,-,-,-
SK4,황해남부,목포-제주,126.20268,33.90899,275,386,107,162,110,167,384,191,3,134,193,1,1,남해서부서쪽먼바다,파고부이,추자도,해양기상,추자도,-,-,-,-
SK4,황해남부,목포-제주,126.54003,33.54729,285,373,114,172,114,163,425,234,3,138,197,1,1,제주도북부앞바다,파고부이,추자도,해양기상,추자도,-,-,-,-
SK5,남해서부,완도-제주,126.77426,34.32046,293,400,121,149,117,172,333,262,2,141,188,1,1,전남서부남해앞바다,파고부이,추자도,해양기상,추자도,-,-,-,-
SK5,남해서부,완도-제주,126.69701,34.12331,290,393,119,156,116,169,324,285,2,140,191,1,1,전남서부남해앞바다,파고부이,추자도,해양기상,추자도,-,-,-,-
SK5,남해서부,완도-제주,126.64292,33.91227,289,386,118,162,116,167,437,191,3,140,193,1,1,남해서부서쪽먼바다,파고부이,추자도,해양기상,추자도,-,-,-,-
SK5,남해서부,완도-제주,126.54023,33.68467,285,378,116,168,114,164,425,218,3,138,196,1,1,남해서부서쪽먼바다,파고부이,추자도,해양기상,추자도,-,-,-,-
SK5,남해서부,완도-제주,126.54003,33.54729,285,373,114,172,114,163,425,234,3,138,197,1,1,제주도북부앞바다,파고부이,추자도,해양기상,추자도,-,-,-,-
SK16,남해서부,완도-청산,126.762312,34.322036,292,400,121,149,117,172,334,263,2,141,188,1,1,전남서부남해앞바다,파고부이,청산도,파고부이,노화도,-,-,-,-
SK16,남해서부,완도-청산,126.789135,34.309167,293,400,121,151,117,172,335,263,2,141,188,1,1,전남서부남해앞바다,파고부이,청산도,파고부이,노화도,-,-,-,-
SK16,남해서부,완도-청산,126.804664,34.265144,294,398,121,152,118,171,337,268,2,142,189,1,1,전남서부남해앞바다,파고부이,청산도,파고부이,노화도,-,-,-,-
SK16,남해서부,완도-청산,126.819488,34.219089,294,397,121,153,118,171,338,274,2,142,189,1,1,전남서부남해앞바다,파고부이,청산도,파고부이,노화도,-,-,-,-
SK16,남해서부,완도-청산,126.84137,34.185225,295,395,122,153,118,170,341,278,2,142,190,1,1,전남서부남해앞바다,파고부이,청산도,파고부이,노화도,-,-,-,-
SK6,남해서부,녹동-제주,127.14109,34.51298,304,407,129,144,122,174,377,238,2,146,186,1,1,전남동부남해앞바다,파고부이,청산도,파고부이,노화도,-,-,-,-
SK6,남해서부,녹동-제주,126.99838,34.44697,300,404,126,147,120,173,360,246,2,144,187,1,1,전남동부남해앞바다,파고부이,청산도,파고부이,노화도,-,-,-,-
SK6,남해서부,녹동-제주,126.95515,34.34463,298,401,124,150,119,172,355,259,2,143,188,1,1,전남동부남해앞바다,파고부이,청산도,파고부이,노화도,-,-,-,-
SK6,남해서부,녹동-제주,126.8199,34.2037,294,396,122,152,118,170,338,276,2,142,190,1,1,남해서부동쪽먼바다,파고부이,청산도,파고부이,노화도,-,-,-,-
SK6,남해서부,녹동-제주,126.71083,33.8296,291,383,119,163,117,166,445,200,3,141,194,1,1,남해서부동쪽먼바다,파고부이,청산도,파고부이,노화도,-,-,-,-
SK6,남해서부,녹동-제주,126.54003,33.54729,285,373,114,172,114,163,425,234,3,138,197,1,1,제주도북부앞바다,파고부이,청산도,파고부이,노화도,-,-,-,-
SK22,남해서부,여수-제주,127.8265,34.6544,326,412,144,139,130,176,99,281,4,154,184,1,1,전남동부남해앞바다,파고부이,나로도,해양기상,거문도,-,-,-,-
SK22,남해서부,여수-제주,127.6319,34.249,320,398,140,150,128,171,76,330,4,152,189,1,1,남해서부동쪽먼바다,파고부이,나로도,해양기상,거문도,-,-,-,-
SK22,남해서부,여수-제주,127.1738,34.0554,305,391,130,157,122,169,381,293,2,146,191,1,1,남해서부동쪽먼바다,파고부이,나로도,해양기상,거문도,-,-,-,-
SK22,남해서부,여수-제주,126.8985,33.8869,297,385,123,162,119,167,468,194,3,143,193,1,1,남해서부서쪽먼바다,파고부이,나로도,해양기상,거문도,-,-,-,-
SK22,남해서부,여수-제주,126.5947,33.6136,287,376,116,170,115,163,431,226,3,139,197,1,1,제주도북부앞바다,파고부이,나로도,해양기상,거문도,-,-,-,-
SK10,남해동부,부산-제주,129.09851,35.01598,365,424,175,130,145,180,252,238,4,169,180,1,1,부산앞바다,해양부이,남해동부,해양부이,대한해협,-,-,-,-
SK10,남해동부,부산-제주,128.86988,34.70724,358,413,169,140,142,176,224,275,4,166,184,1,1,부산앞바다,해양부이,남해동부,해양부이,대한해협,-,-,-,-
SK10,남해동부,부산-제주,128.53116,34.3985,348,403,160,148,138,173,184,312,4,162,187,1,1,남해동부먼바다,해양부이,남해동부,해양부이,대한해협,-,-,-,-
SK10,남해동부,부산-제주,128.03155,34.11413,332,393,149,153,132,169,124,346,4,156,191,1,1,남해동부먼바다,해양부이,남해동부,해양부이,대한해협,-,-,-,-
SK10,남해동부,부산-제주,127.52348,33.95163,316,387,138,161,126,167,543,186,3,150,193,1,1,남해동부먼바다,해양부이,남해동부,해양부이,대한해협,-,-,-,-
SK10,남해동부,부산-제주,127.11702,33.82976,303,383,128,162,121,166,494,200,3,145,194,1,1,남해서부동쪽먼바다,해양부이,남해동부,해양부이,대한해협,-,-,-,-
SK10,남해동부,부산-제주,126.55814,33.62664,286,376,115,170,115,164,427,225,3,139,196,1,1,제주도북부앞바다,해양부이,남해동부,해양부이,대한해협,-,-,-,-
SK17,남해동부,통영-소매물,128.445944,34.827666,345,418,159,136,137,178,174,261,4,163,183,1,1,경남중부남해앞바다,파고부이,소매물도,파고부이,해금강,-,-,-,-
SK17,남해동부,통영-소매물,128.451029,34.793515,345,416,158,137,137,178,174,265,4,163,183,1,1,경남중부남해앞바다,파고부이,소매물도,파고부이,해금강,-,-,-,-
SK17,남해동부,통영-소매물,128.447978,34.734971,345,414,159,138,137,177,174,272,4,161,183,1,1,경남중부남해앞바다,파고부이,소매물도,파고부이,해금강,-,-,-,-
SK17,남해동부,통영-소매물,128.482554,34.687159,346,413,160,139,138,176,178,278,4,162,184,1,1,경남중부남해앞바다,파고부이,소매물도,파고부이,해금강,-,-,-,-
SK17,남해동부,통영-소매물,128.534418,34.65496,348,412,161,138,138,176,184,281,4,162,184,1,1,경남중부남해앞바다,파고부이,소매물도,파고부이,해금강,-,-,-,-
SK11,남해동부,부산-대마,129.24246,35.03223,370,425,175,131,147,180,269,236,4,171,180,1,1,부산앞바다,해양부이,대한해협,-,-,-,-,-,-
SK11,남해동부,부산-대마,129.48803,34.90224,378,420,180,131,150,179,299,252,4,174,181,1,1,남해동부먼바다,해양부이,대한해협,-,-,-,-,-,-
SK11,남해동부,부산-대마,129.57271,34.68287,380,413,187,140,151,176,309,278,4,175,184,1,1,남해동부먼바다,해양부이,대한해협,-,-,-,-,-,-
SK12,남해동부,부산-후쿠오카,129.38642,34.95911,374,422,182,133,149,180,286,245,4,173,180,1,1,부산앞바다,해양부이,대한해협,-,-,-,-,-,-
SK12,남해동부,부산-후쿠오카,129.75054,34.65849,386,412,188,141,153,176,330,281,4,177,184,1,1,부산앞바다,해양부이,대한해협,-,-,-,-,-,-
SK12,남해동부,부산-후쿠오카,129.9453,34.35787,392,401,192,148,155,172,353,317,4,179,188,1,1,남해동부먼바다,해양부이,대한해협,-,-,-,-,-,-
SK12,남해동부,부산-후쿠오카,130.17394,34.03288,399,390,201,157,158,168,381,356,4,182,192,1,1,남해동부먼바다,해양부이,대한해협,-,-,-,-,-,-
SK12,남해동부,부산-후쿠오카,130.26708,33.78913,402,382,197,165,159,165,392,385,4,183,195,1,1,남해동부먼바다,해양부이,대한해협,-,-,-,-,-,-
SK13,남해동부,부산-오사카,129.38642,34.95911,374,422,182,133,149,180,286,245,4,173,180,1,1,부산앞바다,해양부이,대한해협,-,-,-,-,-,-
SK13,남해동부,부산-오사카,129.3117,35.038095,372,425,177,129,148,180,277,235,4,172,180,1,1,부산앞바다,해양부이,대한해협,-,-,-,-,-,-
SK13,남해동부,부산-오사카,129.600468,34.91097,381,421,183,133,151,179,312,251,4,175,181,1,1,남해동부먼바다,해양부이,대한해협,-,-,-,-,-,-
SK13,남해동부,부산-오사카,129.889236,34.793623,390,416,191,136,155,178,347,265,4,179,182,1,1,남해동부먼바다,해양부이,대한해협,-,-,-,-,-,-
SK13,남해동부,부산-오사카,130.228962,34.585007,401,409,198,140,159,175,387,290,4,183,185,1,1,남해동부먼바다,해양부이,대한해협,-,-,-,-,-,-
SK13,남해동부,부산-오사카,130.51773,34.327497,410,400,206,149,162,172,422,321,4,186,188,1,1,남해동부먼바다,해양부이,대한해협,-,-,-,-,-,-
SK7,동해남부,포항-울릉,129.39607,36.04554,375,460,179,102,149,193,288,115,4,173,167,1,1,경북남부앞바다,해양기상,포항,조위관측,왕돌초,-,-,-,-
SK7,동해남부,포항-울릉,129.75835,36.3362,386,471,187,94,153,196,331,80,4,177,164,1,1,경북남부앞바다,해양기상,포항,조위관측,왕돌초,-,-,-,-
SK7,동해남부,포항-울릉,130.2101,36.779,400,486,202,81,159,201,385,387,5,183,159,1,1,동해남부먼바다,해양기상,포항,조위관측,왕돌초,-,-,-,-
SK7,동해남부,포항-울릉,130.596,37.17326,412,501,209,69,163,206,432,339,5,187,154,1,1,동해남부먼바다,해양기상,포항,조위관측,왕돌초,-,-,-,-
SK7,동해남부,포항-울릉,130.90958,37.47494,422,511,215,63,167,210,469,305,5,191,150,1,1,동해중부먼바다,해양기상,포항,조위관측,왕돌초,-,-,-,-
SK23,동해남부,후포-울릉,129.5312,36.6552,379,482,185,84,150,200,304,41,4,174,160,1,1,경북북부앞바다,파고부이,후포,조위관측,왕돌초,-,-,-,-
SK23,동해남부,후포-울릉,129.9284,36.76,391,486,195,83,155,201,351,389,5,179,159,1,1,동해남부북쪽먼바다,파고부이,후포,조위관측,왕돌초,-,-,-,-
SK23,동해남부,후포-울릉,130.323,36.9365,404,492,199,77,160,203,399,368,5,184,157,1,1,동해남부북쪽먼바다,파고부이,후포,조위관측,왕돌초,-,-,-,-
SK23,동해남부,후포-울릉,130.6055,37.1744,413,501,210,70,163,206,433,339,5,187,154,1,1,동해남부북쪽먼바다,파고부이,후포,조위관측,왕돌초,-,-,-,-
SK23,동해남부,후포-울릉,130.9094,37.4609,422,511,211,63,167,210,469,305,5,191,150,1,1,동해중부먼바다,파고부이,후포,조위관측,왕돌초,-,-,-,-
SK8,동해중부,강릉-울릉,128.96058,37.76901,361,522,169,55,144,213,238,268,5,168,147,1,1,강원중부앞바다,해양기상,동해,파고부이,울릉서부,-,-,-,-
SK8,동해중부,강릉-울릉,129.32207,37.72461,372,520,179,55,148,213,279,273,5,172,147,1,1,강원중부앞바다,해양기상,동해,파고부이,울릉서부,-,-,-,-
SK8,동해중부,강릉-울릉,129.92107,37.65615,391,518,190,57,155,212,351,281,5,179,148,1,1,동해중부먼바다,해양기상,동해,파고부이,울릉서부,-,-,-,-
SK8,동해중부,강릉-울릉,130.60505,37.60321,413,516,208,59,163,211,433,288,5,187,149,1,1,동해중부먼바다,해양기상,동해,파고부이,울릉서부,-,-,-,-
SK8,동해중부,강릉-울릉,130.92557,37.50035,423,512,213,62,167,210,473,300,5,191,150,1,1,동해중부먼바다,해양기상,동해,파고부이,울릉서부,-,-,-,-
SK9,동해중부,묵호-울릉,129.11938,37.53877,367,514,174,60,146,210,255,291,5,170,150,1,1,강원남부앞바다,해양기상,동해,파고부이,울릉서부,-,-,-,-
SK9,동해중부,묵호-울릉,129.61442,37.48441,382,512,185,62,151,210,314,302,5,175,150,1,1,강원남부앞바다,해양기상,동해,파고부이,울릉서부,-,-,-,-
SK9,동해중부,묵호-울릉,130.12298,37.4569,398,511,195,61,157,209,375,305,5,181,151,1,1,강원남부앞바다,해양기상,동해,파고부이,울릉서부,-,-,-,-
SK9,동해중부,묵호-울릉,130.4638,37.44077,408,510,208,64,162,209,416,307,5,186,151,1,1,동해중부먼바다,해양기상,동해,파고부이,울릉서부,-,-,-,-
SK9,동해중부,묵호-울릉,130.90958,37.47494,422,511,215,63,167,210,469,305,5,191,150,1,1,동해중부먼바다,해양기상,동해,파고부이,울릉서부,-,-,-,-
