생산일,코드,권역,지역,예측일자,어종,어종타입,물때,물때점수,최소파고,평균파고,최대파고,파고점수,최소수온,평균수온,최대수온,수온점수,최저기온,평균기온,최대기온,기온점수,최소풍속,평균풍속,최대풍속,풍속점수,총점수,예보지수
20210826,SF2,황해남부,가거도,20210826,감성돔,BP,11,4,0.9,1.0,1.1,2,26.6,27.1,27.4,1,25.9,26.0,26.2,5,3.1,4.0,4.8,4,2.80,나쁨
20210826,SF35,남해서부,거문도,20210826,농어,SB,11,3,0.9,1.0,1.2,2,24.2,25.6,26.5,3,25.6,25.7,26.0,5,3.1,3.6,4.1,4,2.80,나쁨
20210826,SF37,남해서부,거문도,20210826,참돔,RP,11,3,0.9,1.0,1.2,2,24.2,25.6,26.5,3,25.6,25.7,26.0,5,3.1,3.6,4.1,4,2.80,나쁨
20210826,SF38,남해서부,거문도,20210826,감성돔,BP,11,4,0.9,1.0,1.2,2,24.2,25.6,26.5,1,25.6,25.7,26.0,5,3.1,3.6,4.1,4,2.80,나쁨
20210826,SF39,남해서부,거문도,20210826,우럭,RF,11,4,0.9,1.0,1.2,2,24.2,25.6,26.5,2,25.6,25.7,26.0,5,3.1,3.6,4.1,4,2.80,나쁨
20210826,SF14,남해동부,거제도,20210826,우럭,RF,11,4,0.6,0.6,0.7,3,25.1,25.7,26.4,2,25.9,27.4,28.8,5,1.5,3.9,7.7,3,3.04,보통
20210826,SF11,황해중부,국화도,20210826,우럭,RF,11,4,0.3,0.3,0.4,4,26.5,26.8,27.1,2,24.8,25.3,25.9,5,3.6,5.8,7.3,3,3.40,보통
20210826,SF56,제주도,김녕,20210826,벵에돔,OP,11,4,0.2,0.2,0.3,4,26.5,27.2,27.6,1,25.9,26.2,26.5,5,0.8,1.6,3.1,4,3.44,보통
20210826,SF57,제주도,김녕,20210826,농어,SB,11,3,0.2,0.2,0.3,4,26.5,27.2,27.6,2,25.9,26.2,26.5,5,0.8,1.6,3.1,4,3.48,보통
20210826,SF58,제주도,김녕,20210826,돌돔,RB,11,4,0.2,0.2,0.3,4,26.5,27.2,27.6,3,25.9,26.2,26.5,5,0.8,1.6,3.1,4,3.84,보통
20210826,SF59,제주도,김녕,20210826,참돔,RP,11,3,0.2,0.2,0.3,4,26.5,27.2,27.6,2,25.9,26.2,26.5,5,0.8,1.6,3.1,4,3.48,보통
20210826,SF49,황해중부,모항항,20210826,우럭,RF,11,4,0.7,0.8,0.9,3,23.1,23.5,24.0,3,24.9,25.0,25.2,5,2.0,5.2,7.2,3,3.24,보통
20210826,SF50,황해중부,모항항,20210826,감성돔,BP,11,4,0.7,0.8,0.9,3,23.1,23.5,24.0,2,24.9,25.0,25.2,5,2.0,5.2,7.2,3,3.04,보통
20210826,SF51,황해중부,방포항,20210826,우럭,RF,11,4,0.6,0.7,0.8,3,25.8,25.9,26.1,2,25.4,25.6,25.7,5,2.3,5.3,6.5,3,3.04,보통
20210826,SF74,남해동부,부산남부,20210826,우럭,RF,11,4,0.6,0.6,0.7,3,23.6,24.2,24.7,3,27.6,28.5,29.3,5,1.6,4.3,5.9,3,3.24,보통
20210826,SF75,남해동부,부산남부,20210826,감성돔,BP,11,4,0.6,0.6,0.7,3,23.6,24.2,24.7,2,27.6,28.5,29.3,5,1.6,4.3,5.9,3,3.04,보통
20210826,SF76,남해동부,부산남부,20210826,돌돔,RB,11,4,0.6,0.6,0.7,3,23.6,24.2,24.7,5,27.6,28.5,29.3,5,1.6,4.3,5.9,3,3.64,보통
20210826,SF77,남해동부,부산남부,20210826,참돔,RP,11,3,0.6,0.6,0.7,3,23.6,24.2,24.7,3,27.6,28.5,29.3,5,1.6,4.3,5.9,3,3.08,보통
20210826,SF78,남해동부,부산남부,20210826,벵에돔,OP,11,4,0.6,0.6,0.7,3,23.6,24.2,24.7,2,27.6,28.5,29.3,5,1.6,4.3,5.9,3,3.04,보통
20210826,SF79,남해동부,부산남부,20210826,농어,SB,11,3,0.6,0.6,0.7,3,23.6,24.2,24.7,3,27.6,28.5,29.3,5,1.6,4.3,5.9,3,3.08,보통
20210826,SF67,남해동부,부산동부,20210826,우럭,RF,11,4,0.8,0.8,0.9,3,21.7,22.4,23.0,3,25.6,26.2,26.7,5,3.4,6.4,8.3,3,3.24,보통
20210826,SF68,남해동부,부산동부,20210826,감성돔,BP,11,4,0.8,0.8,0.9,3,21.7,22.4,23.0,3,25.6,26.2,26.7,5,3.4,6.4,8.3,3,3.24,보통
20210826,SF69,남해동부,부산동부,20210826,참돔,RP,11,3,0.8,0.8,0.9,3,21.7,22.4,23.0,4,25.6,26.2,26.7,5,3.4,6.4,8.3,3,3.28,보통
20210826,SF70,남해동부,부산동부,20210826,벵에돔,OP,11,4,0.8,0.8,0.9,3,21.7,22.4,23.0,4,25.6,26.2,26.7,5,3.4,6.4,8.3,3,3.44,보통
20210826,SF71,남해동부,부산동부,20210826,농어,SB,11,3,0.8,0.8,0.9,3,21.7,22.4,23.0,4,25.6,26.2,26.7,5,3.4,6.4,8.3,3,3.28,보통
20210826,SF60,남해동부,부산서부,20210826,우럭,RF,11,4,0.8,0.8,0.9,3,23.4,24.6,25.3,3,26.1,27.1,27.9,5,1.0,4.8,6.7,3,3.24,보통
20210826,SF61,남해동부,부산서부,20210826,감성돔,BP,11,4,0.8,0.8,0.9,3,23.4,24.6,25.3,2,26.1,27.1,27.9,5,1.0,4.8,6.7,3,3.04,보통
20210826,SF62,남해동부,부산서부,20210826,돌돔,RB,11,4,0.8,0.8,0.9,3,23.4,24.6,25.3,5,26.1,27.1,27.9,5,1.0,4.8,6.7,3,3.64,보통
20210826,SF63,남해동부,부산서부,20210826,참돔,RP,11,3,0.8,0.8,0.9,3,23.4,24.6,25.3,3,26.1,27.1,27.9,5,1.0,4.8,6.7,3,3.08,보통
20210826,SF64,남해동부,부산서부,20210826,벵에돔,OP,11,4,0.8,0.8,0.9,3,23.4,24.6,25.3,2,26.1,27.1,27.9,5,1.0,4.8,6.7,3,3.04,보통
20210826,SF65,남해동부,부산서부,20210826,농어,SB,11,3,0.8,0.8,0.9,3,23.4,24.6,25.3,3,26.1,27.1,27.9,5,1.0,4.8,6.7,3,3.08,보통
20210826,SF1,황해남부,상왕등도,20210826,감성돔,BP,11,4,0.7,0.9,1.1,2,25.6,26.0,26.2,1,25.9,26.0,26.0,5,4.3,5.9,6.9,3,2.40,나쁨
20210826,SF29,황해남부,상태도,20210826,농어,SB,11,3,0.9,1.0,1.1,2,26.3,26.6,26.9,2,25.9,26.1,26.4,5,3.4,4.2,5.2,3,2.40,나쁨
20210826,SF31,황해남부,상태도,20210826,참돔,RP,11,3,0.9,1.0,1.1,2,26.3,26.6,26.9,2,25.9,26.1,26.4,5,3.4,4.2,5.2,3,2.40,나쁨
20210826,SF32,황해남부,상태도,20210826,돌돔,RB,11,4,0.9,1.0,1.1,2,26.3,26.6,26.9,4,25.9,26.1,26.4,5,3.4,4.2,5.2,3,2.40,나쁨
20210826,SF33,황해남부,상태도,20210826,우럭,RF,11,4,0.9,1.0,1.1,2,26.3,26.6,26.9,2,25.9,26.1,26.4,5,3.4,4.2,5.2,3,2.40,나쁨
20210826,SF34,황해남부,상태도,20210826,감성돔,BP,11,4,0.9,1.0,1.1,2,26.3,26.6,26.9,1,25.9,26.1,26.4,5,3.4,4.2,5.2,3,2.40,나쁨
20210826,SF7,제주도,서귀포,20210826,벵에돔,OP,11,4,0.8,0.8,0.9,3,25.8,26.6,27.1,1,25.7,26.1,26.7,5,3.5,5.6,6.7,3,2.84,나쁨
20210826,SF10,제주도,성산포,20210826,돌돔,RB,11,4,0.7,0.7,0.8,3,26.1,27.4,28.0,3,26.4,27.0,27.6,5,2.3,4.5,7.2,3,3.24,보통
20210826,SF15,황해남부,신시도,20210826,우럭,RF,11,4,0.6,0.7,0.9,3,25.6,25.8,26.0,2,26.0,26.0,26.1,5,4.6,5.8,6.8,3,3.04,보통
20210826,SF16,남해서부,신지도,20210826,우럭,RF,11,4,0.5,0.6,0.6,3,25.1,25.8,26.5,2,25.7,26.4,27.4,5,2.4,5.0,6.2,3,3.04,보통
20210826,SF54,동해중부,아야진항,20210826,우럭,RF,11,4,0.4,0.5,0.6,3,27.4,28.0,28.3,2,24.3,25.3,26.2,5,1.6,2.8,5.0,3,3.04,보통
20210826,SF55,동해중부,아야진항,20210826,감성돔,BP,11,4,0.4,0.5,0.6,3,27.4,28.0,28.3,1,24.3,25.3,26.2,5,1.6,2.8,5.0,3,2.84,나쁨
20210826,SF24,황해중부,어청도,20210826,농어,SB,11,3,0.8,1.0,1.1,2,25.7,25.8,26.1,3,26.2,26.2,26.4,5,2.4,5.7,7.1,3,2.40,나쁨
20210826,SF25,황해중부,어청도,20210826,참돔,RP,11,3,0.8,1.0,1.1,2,25.7,25.8,26.1,3,26.2,26.2,26.4,5,2.4,5.7,7.1,3,2.40,나쁨
20210826,SF26,황해중부,어청도,20210826,돌돔,RB,11,4,0.8,1.0,1.1,2,25.7,25.8,26.1,5,26.2,26.2,26.4,5,2.4,5.7,7.1,3,2.40,나쁨
20210826,SF27,황해중부,어청도,20210826,우럭,RF,11,4,0.8,1.0,1.1,2,25.7,25.8,26.1,2,26.2,26.2,26.4,5,2.4,5.7,7.1,3,2.40,나쁨
20210826,SF28,황해중부,어청도,20210826,감성돔,BP,11,4,0.8,1.0,1.1,2,25.7,25.8,26.1,1,26.2,26.2,26.4,5,2.4,5.7,7.1,3,2.40,나쁨
20210826,SF4,남해서부,연도,20210826,감성돔,BP,11,4,0.8,0.9,1.0,3,25.9,26.6,26.9,1,25.9,26.2,26.4,5,3.2,5.2,6.4,3,2.84,나쁨
20210826,SF47,황해중부,영흥도,20210826,우럭,RF,11,4,0.4,0.4,0.5,4,25.2,26.1,26.7,2,24.3,24.6,24.9,5,4.1,5.7,7.4,3,3.40,보통
20210826,SF48,황해중부,영흥도,20210826,농어,SB,11,3,0.4,0.4,0.5,4,25.2,26.1,26.7,2,24.3,24.6,24.9,5,4.1,5.7,7.4,3,3.24,보통
20210826,SF52,동해중부,외옹치항,20210826,우럭,RF,11,4,0.4,0.5,0.6,3,25.7,26.4,26.7,2,24.0,25.5,26.6,5,2.4,3.4,4.9,4,3.28,보통
20210826,SF53,동해중부,외옹치항,20210826,감성돔,BP,11,4,0.4,0.5,0.6,3,25.7,26.4,26.7,1,24.0,25.5,26.6,5,2.4,3.4,4.9,4,3.08,보통
20210826,SF8,남해동부,욕지도,20210826,벵에돔,OP,11,4,1.0,1.1,1.2,2,25.6,26.1,26.3,1,25.8,26.3,26.6,5,3.3,6.1,7.7,3,2.40,나쁨
20210826,SF5,동해남부,울산,20210826,감성돔,BP,11,4,0.3,0.3,0.4,4,22.2,23.1,23.9,2,26.0,26.2,26.9,5,1.9,6.0,8.9,3,3.40,보통
20210826,SF6,동해남부,울진후정,20210826,감성돔,BP,11,4,0.3,0.4,0.4,4,22.1,23.0,23.7,2,24.8,26.7,28.2,5,0.3,3.2,5.8,3,3.40,보통
20210826,SF3,남해서부,추자도,20210826,감성돔,BP,11,4,0.7,0.7,0.8,3,25.7,26.4,27.2,1,25.6,25.7,25.8,5,2.2,3.1,4.3,4,3.08,보통
20210826,SF40,동해남부,포항,20210826,농어,SB,11,3,0.2,0.2,0.2,5,23.1,24.6,25.6,3,25.8,27.0,27.9,5,0.4,1.3,2.2,4,4.04,좋음
20210826,SF42,동해남부,포항,20210826,감성돔,BP,11,4,0.2,0.2,0.2,5,23.1,24.6,25.6,2,25.8,27.0,27.9,5,0.4,1.3,2.2,4,4.00,좋음
20210826,SF43,동해남부,포항,20210826,벵에돔,OP,11,4,0.2,0.2,0.2,5,23.1,24.6,25.6,2,25.8,27.0,27.9,5,0.4,1.3,2.2,4,4.00,좋음
