생산일,코드,항로명,선박명,선박종류,예측일자,시간,운항시간,운항시간점수,선박톤수,선박톤수점수,최소파고,평균파고,최대파고,파고점수,최소풍속,평균풍속,최대풍속,풍속점수,총점수,예보지수
20210826,SK6,녹동-제주,아리온제주,카페리,20210826,PM,3.8,1,6266,5,0.1,0.5,0.8,4,0.4,3.6,6.3,3,3.30,보통
20210826,SK22,여수-제주,한일골드스텔라,카페리,20210826,AM,5.0,1,15195,5,0.1,0.8,1.2,3,0.9,3.4,5.3,3,2.85,보통
20210826,SK22,여수-제주,한일골드스텔라,카페리,20210826,PM,5.0,1,15195,5,0.1,0.7,1.1,3,0.4,4.4,7.0,3,2.85,보통
20210826,SK17,통영-소매물,한솔1,고속선,20210826,AM,1.7,3,128,2,0.8,1.1,1.2,3,2.8,4.2,5.9,3,2.88,보통
20210826,SK17,통영-소매물,한솔1,고속선,20210826,PM,1.7,3,128,2,0.7,1.0,1.1,3,5.4,6.4,7.3,3,2.88,보통
20210826,SK17,통영-소매물,한솔2,고속선,20210826,AM,1.7,3,109,2,0.8,1.1,1.2,3,2.8,4.2,5.9,3,2.88,보통
20210826,SK17,통영-소매물,한솔2,고속선,20210826,PM,1.7,3,109,2,0.7,1.0,1.1,3,5.4,6.4,7.3,3,2.88,보통
20210826,SK10,부산-제주,뉴스타,일반카페리,20210826,AM,12.0,1,9997,5,0.1,1.0,1.3,3,2.1,4.2,7.0,3,2.85,보통
20210826,SK10,부산-제주,뉴스타,일반카페리,20210826,PM,12.0,1,9997,5,0.1,0.9,1.2,3,0.4,4.9,8.7,3,2.85,보통
20210826,SK11,부산-대마,오션플라워,초쾌속선,20210826,AM,1.2,4,445,2,0.4,0.9,1.1,3,1.2,3.9,6.6,3,3.08,보통
20210826,SK11,부산-대마,오션플라워,초쾌속선,20210826,PM,1.2,4,445,2,0.4,0.8,1.1,3,2.7,6.9,8.7,3,3.08,보통
20210826,SK11,부산-대마,니나,초쾌속선,20210826,AM,1.5,3,364,2,0.4,0.9,1.1,3,1.2,3.9,6.6,3,2.88,보통
20210826,SK11,부산-대마,니나,초쾌속선,20210826,PM,1.5,3,364,2,0.4,0.8,1.1,3,2.7,6.9,8.7,3,2.88,보통
20210826,SK11,부산-대마,비틀(대마),초쾌속선,20210826,AM,1.5,3,164,2,0.4,0.9,1.1,3,1.2,3.9,6.6,3,2.88,보통
20210826,SK11,부산-대마,비틀(대마),초쾌속선,20210826,PM,1.5,3,164,2,0.4,0.8,1.1,3,2.7,6.9,8.7,3,2.88,보통
20210826,SK12,부산-후쿠오카,뉴카멜리아,카페리,20210826,AM,9.0,1,19961,5,0.3,0.8,1.1,3,2.1,6.1,9.1,2,1.50,나쁨
20210826,SK12,부산-후쿠오카,뉴카멜리아,카페리,20210826,PM,9.0,1,19961,5,0.2,0.7,1.0,3,4.2,7.1,8.7,3,2.85,보통
20210826,SK12,부산-후쿠오카,코비(후쿠오카),초쾌속선,20210826,AM,3.5,1,162,2,0.3,0.8,1.1,3,2.1,6.1,9.1,2,1.50,나쁨
20210826,SK12,부산-후쿠오카,코비(후쿠오카),초쾌속선,20210826,PM,3.5,1,162,2,0.2,0.7,1.0,3,4.2,7.1,8.7,3,2.48,나쁨
20210826,SK12,부산-후쿠오카,비틀(후쿠오카),초쾌속선,20210826,AM,3.5,1,164,2,0.3,0.8,1.1,3,2.1,6.1,9.1,2,1.50,나쁨
20210826,SK12,부산-후쿠오카,비틀(후쿠오카),초쾌속선,20210826,PM,3.5,1,164,2,0.2,0.7,1.0,3,4.2,7.1,8.7,3,2.48,나쁨
20210826,SK13,부산-오사카,팬스타,카페리,20210826,AM,19.0,1,21688,5,0.2,0.6,1.1,3,2.1,6.3,9.1,2,1.50,나쁨
20210826,SK13,부산-오사카,팬스타,카페리,20210826,PM,19.0,1,21688,5,0.2,0.5,1.0,3,2.1,6.8,8.7,3,2.85,보통
20210826,SK7,포항-울릉,엘도라도,초쾌속선,20210826,AM,3.2,1,668,3,0.2,0.5,0.6,4,0.7,2.1,3.6,4,3.28,보통
20210826,SK7,포항-울릉,엘도라도,초쾌속선,20210826,PM,3.2,1,668,3,0.2,0.5,0.6,4,1.2,4.0,7.1,3,3.05,보통
20210826,SK7,포항-울릉,썬라이즈,초쾌속선,20210826,AM,3.2,1,388,2,0.2,0.5,0.6,4,0.7,2.1,3.6,4,3.15,보통
20210826,SK7,포항-울릉,썬라이즈,초쾌속선,20210826,PM,3.2,1,388,2,0.2,0.5,0.6,4,1.2,4.0,7.1,3,2.93,보통
20210826,SK23,후포-울릉,씨플라워,초쾌속선,20210826,AM,2.5,2,388,2,0.3,0.5,0.6,4,0.4,2.0,3.6,4,3.35,보통
20210826,SK23,후포-울릉,씨플라워,초쾌속선,20210826,PM,2.5,2,388,2,0.3,0.4,0.6,4,1.8,4.5,7.2,3,3.12,보통
20210826,SK8,강릉-울릉,씨스타11,초쾌속선,20210826,AM,3.0,1,420,2,0.4,0.5,0.6,4,0.7,2.4,5.8,3,2.93,보통
20210826,SK8,강릉-울릉,씨스타11,초쾌속선,20210826,PM,3.0,1,420,2,0.4,0.5,0.6,4,0.8,3.2,6.2,3,2.93,보통
20210826,SK8,강릉-울릉,씨스타5,초쾌속선,20210826,AM,3.0,1,388,2,0.4,0.5,0.6,4,0.7,2.4,5.8,3,2.93,보통
20210826,SK8,강릉-울릉,씨스타5,초쾌속선,20210826,PM,3.0,1,388,2,0.4,0.5,0.6,4,0.8,3.2,6.2,3,2.93,보통
20210826,SK9,묵호-울릉,씨스타1,초쾌속선,20210826,AM,2.7,2,388,2,0.4,0.5,0.6,4,0.1,2.5,5.4,3,3.12,보통
20210826,SK9,묵호-울릉,씨스타1,초쾌속선,20210826,PM,2.7,2,388,2,0.4,0.4,0.6,4,1.3,3.8,6.4,3,3.12,보통
20210826,SK9,묵호-울릉,씨스타3,쾌속카페리,20210826,AM,2.7,2,550,3,0.4,0.5,0.6,4,0.1,2.5,5.4,3,3.25,보통
20210826,SK9,묵호-울릉,씨스타3,쾌속카페리,20210826,PM,2.7,2,550,3,0.4,0.4,0.6,4,1.3,3.8,6.4,3,3.25,보통
20210826,SK1,인천-백령,하모니플라워,쾌속카페리,20210827,AM,3.7,1,2071,4,0.4,0.7,0.9,4,0.9,4.4,6.7,3,3.18,보통
20210826,SK1,인천-백령,하모니플라워,쾌속카페리,20210827,PM,3.7,1,2071,4,0.4,0.7,0.8,4,2.4,5.0,7.5,3,3.18,보통
20210826,SK1,인천-백령,코리아킹,초쾌속선,20210827,AM,3.7,1,534,3,0.4,0.7,0.9,4,0.9,4.4,6.7,3,3.05,보통
20210826,SK1,인천-백령,코리아킹,초쾌속선,20210827,PM,3.7,1,534,3,0.4,0.7,0.8,4,2.4,5.0,7.5,3,3.05,보통
20210826,SK2,인천-연평,플라잉카페리,쾌속카페리,20210827,AM,2.0,3,573,3,0.4,0.6,0.9,4,0.9,4.8,8.3,3,3.45,보통
20210826,SK2,인천-연평,플라잉카페리,쾌속카페리,20210827,PM,2.0,3,573,3,0.4,0.6,0.8,4,2.7,5.6,8.6,3,3.45,보통
