생산일,코드,권역,지역,예측일자,갯벌열림시간,갯벌닫힘시간,체험시간,체험시간점수,최저기온,평균기온,최고기온,기온점수,최저풍속,평균풍속,최대풍속,풍속점수,날씨,날씨점수,총점수,예보지수
20210826,TL2,황해중부,백미리마을,20210826,09:00,15:50,6.83,5,25.1,26.9,28.3,5,4.5,5.6,7.2,3,4,2,4.15,좋음
20210826,TL3,남해동부,문항마을,20210826,15:30,18:00,2.50,5,26.2,27.7,28.7,5,0.3,3.5,7.1,3,3,3,4.35,좋음
20210826,TL5,황해남부,만돌마을,20210826,09:00,12:40,3.67,5,25.8,26.5,27.1,5,2.8,5.0,6.3,3,4,2,4.15,좋음
20210826,TL6,황해남부,하전마을,20210826,10:10,14:10,4.00,5,25.8,26.4,27.2,5,2.2,5.0,6.4,3,4,2,4.15,좋음
20210826,TL9,황해중부,월하성마을,20210826,10:10,14:10,4.00,5,25.8,26.8,27.5,5,1.9,4.6,5.7,3,4,2,4.15,좋음
20210826,TL10,황해중부,선감마을,20210826,11:30,14:30,3.00,5,24.5,24.9,25.1,5,4.6,5.6,7.0,3,4,2,4.15,좋음
20210826,TL13,황해남부,돌머리마을,20210826,10:10,14:10,4.00,5,24.7,27.6,28.5,5,1.9,4.0,4.8,4,4,2,4.28,좋음
20210826,TL17,황해남부,신시도마을,20210826,09:00,15:10,6.17,5,26.0,26.0,26.1,5,4.6,5.8,6.8,3,4,2,4.15,좋음
20210826,TL20,남해동부,다대마을,20210826,15:30,17:20,1.83,4,25.7,26.1,26.4,5,4.4,5.9,6.9,3,3,3,3.73,보통
20210826,TL21,남해동부,냉천마을,20210826,16:10,18:00,1.83,4,25.5,27.3,28.7,5,0.4,3.6,6.9,3,3,3,3.73,보통
20210826,TL25,황해중부,병술만마을,20210826,10:40,14:40,4.00,5,25.3,25.4,25.6,5,2.2,5.5,6.7,3,4,2,4.15,좋음
20210826,TL31,남해서부,백사마을,20210826,16:50,18:00,1.17,3,23.0,29.5,31.5,5,1.8,3.8,5.1,3,1,5,3.50,보통
20210826,TL32,남해서부,장양마을,20210826,15:50,18:00,2.17,5,26.8,29.7,31.0,5,0.5,4.0,5.8,3,3,3,4.35,좋음
20210826,TL33,남해서부,거차마을,20210826,10:00,18:00,8.00,5,26.2,29.0,30.7,5,1.6,3.9,4.9,4,3,3,4.47,좋음
20210826,TL34,황해남부,죽림마을,20210826,0:00,0:00,0.00,0,22.2,29.1,30.7,5,1.6,3.9,5.0,3,1,5,0.00,체험불가
20210826,TL2,황해중부,백미리마을,20210827,10:29,16:29,6.00,5,20.1,21.4,24.5,4,2.3,3.4,5.8,3,4,2,4.10,좋음
20210826,TL3,남해동부,문항마을,20210827,0:00,0:00,0.00,0,26.3,27.3,27.7,5,4.1,6.3,7.5,3,4,2,0.00,체험불가
20210826,TL5,황해남부,만돌마을,20210827,09:00,13:00,4.00,5,24.7,27.1,28.0,5,4.6,8.1,11.0,2,4,2,4.03,좋음
20210826,TL6,황해남부,하전마을,20210827,10:40,14:40,4.00,5,25.2,27.1,28.0,5,4.7,8.1,10.7,2,4,2,4.03,좋음
20210826,TL9,황해중부,월하성마을,20210827,10:40,14:40,4.00,5,20.3,22.5,24.8,4,2.7,4.5,7.4,3,4,2,4.10,좋음
20210826,TL10,황해중부,선감마을,20210827,12:00,15:00,3.00,5,20.7,21.8,24.4,4,0.3,3.1,6.4,3,4,2,4.10,좋음
20210826,TL13,황해남부,돌머리마을,20210827,10:40,14:40,4.00,5,25.7,27.7,28.7,5,6.5,8.6,9.5,2,4,2,4.03,좋음
20210826,TL17,황해남부,신시도마을,20210827,09:00,15:40,6.67,5,22.9,24.9,26.3,5,3.2,7.4,13.6,2,4,2,4.03,좋음
20210826,TL20,남해동부,다대마을,20210827,0:00,0:00,0.00,0,25.3,25.5,25.6,5,5.4,7.5,9.1,2,4,2,0.00,체험불가
20210826,TL21,남해동부,냉천마을,20210827,16:40,18:00,1.33,3,26.2,27.3,27.8,5,4.1,6.1,7.2,3,4,2,2.90,나쁨
20210826,TL25,황해중부,병술만마을,20210827,11:00,15:00,4.00,5,21.3,22.3,25.0,4,2.1,6.8,9.0,2,4,2,3.98,보통
20210826,TL31,남해서부,백사마을,20210827,0:00,0:00,0.00,0,24.8,27.7,28.9,5,4.7,6.4,7.7,3,4,2,0.00,체험불가
20210826,TL32,남해서부,장양마을,20210827,16:20,18:00,1.67,4,25.6,28.4,29.6,5,3.3,6.2,7.8,3,4,2,3.52,보통
20210826,TL33,남해서부,거차마을,20210827,10:00,18:00,8.00,5,25.8,28.4,29.5,5,4.4,6.6,7.9,3,4,2,4.15,좋음
20210826,TL34,황해남부,죽림마을,20210827,09:00,09:50,0.83,2,24.7,28.0,29.1,5,4.8,8.2,9.5,2,4,2,2.15,나쁨
20210826,TL2,황해중부,백미리마을,20210828,11:00,17:00,6.00,5,22.5,23.9,24.5,4,2.4,3.5,4.4,4,4,2,4.23,좋음
20210826,TL3,남해동부,문항마을,20210828,0:00,0:00,0.00,0,22.8,25.3,27.2,5,0.4,5.1,7.5,3,4,2,0.00,체험불가
20210826,TL5,황해남부,만돌마을,20210828,10:00,13:30,3.50,5,22.2,25.0,26.5,5,2.3,4.5,7.0,3,4,2,4.15,좋음
20210826,TL6,황해남부,하전마을,20210828,11:00,15:00,4.00,5,21.9,24.9,26.6,5,2.6,4.4,6.7,3,4,2,4.15,좋음
20210826,TL9,황해중부,월하성마을,20210828,11:00,15:00,4.00,5,23.4,25.2,26.0,5,2.6,4.4,6.0,3,4,2,4.15,좋음
20210826,TL10,황해중부,선감마을,20210828,12:20,15:20,3.00,5,22.5,23.5,24.1,4,3.8,4.4,4.8,4,4,2,4.23,좋음
20210826,TL13,황해남부,돌머리마을,20210828,11:00,15:00,4.00,5,24.6,27.3,29.5,5,2.0,3.7,5.3,3,4,2,4.15,좋음
20210826,TL17,황해남부,신시도마을,20210828,10:00,16:00,6.00,5,22.9,24.6,25.1,5,3.6,5.3,6.9,3,4,2,4.15,좋음
20210826,TL20,남해동부,다대마을,20210828,0:00,0:00,0.00,0,25.5,25.6,25.8,5,7.5,8.1,8.4,3,4,2,0.00,체험불가
20210826,TL21,남해동부,냉천마을,20210828,17:10,18:00,0.83,2,23.7,25.6,27.2,5,0.4,4.7,7.1,3,4,2,2.27,나쁨
20210826,TL25,황해중부,병술만마을,20210828,11:30,15:30,4.00,5,23.4,23.8,24.2,4,0.5,3.1,4.5,4,4,2,4.23,좋음
20210826,TL31,남해서부,백사마을,20210828,09:00,09:50,0.83,2,25.5,26.8,28.1,5,2.0,3.4,5.6,3,4,2,2.27,나쁨
20210826,TL32,남해서부,장양마을,20210828,16:50,18:00,1.17,3,25.0,26.9,28.8,5,1.7,3.1,4.6,4,4,2,3.02,보통
20210826,TL33,남해서부,거차마을,20210828,10:00,18:00,8.00,5,25.3,26.7,27.9,5,0.9,3.0,4.8,4,4,2,4.28,좋음
20210826,TL34,황해남부,죽림마을,20210828,09:00,10:30,1.50,4,22.0,25.6,27.1,5,1.4,2.6,5.1,3,4,2,3.52,보통
