산출날짜,코드,구분,지역,예측날짜,오전오후,유의파고,파고점수,파향,상대파향,파향점수,파주기,파주기점수,풍속,풍향,풍속점수,수온,수온점수,총점수,예보지수
20210826,SR1,부산,송정해수욕장,20210826,AM,0.6,5,5.0,-45.0,1,6.9,4,4.0,33.0,4,21.5,5,2,나쁨
20210826,SR1,부산,송정해수욕장,20210826,PM,0.6,5,5.0,-45.0,1,6.7,4,6.6,59.0,3,23.0,5,2,나쁨
20210826,SR1,부산,송정해수욕장,20210827,AM,0.4,2,7.0,-43.0,1,6.1,4,6.2,64.0,3,22.9,5,2,나쁨
20210826,SR1,부산,송정해수욕장,20210827,PM,0.5,5,13.0,-37.0,1,5.0,1,9.0,58.0,3,23.5,5,2,나쁨
20210826,SR1,부산,송정해수욕장,20210828,AM,0.5,2,9.0,-41.0,1,5.4,1,8.2,52.0,3,22.4,5,2,나쁨
20210826,SR1,부산,송정해수욕장,20210828,PM,0.5,2,9.0,-41.0,1,5.4,1,8.6,51.0,3,23.1,5,2,나쁨
20210826,SR1,부산,송정해수욕장,20210829,AM,0.3,2,14.0,-36.0,1,5.4,1,2.6,106.0,5,21.7,5,2,나쁨
20210826,SR1,부산,송정해수욕장,20210829,PM,0.3,2,15.0,-35.0,1,5.2,1,3.5,95.0,4,23.7,5,2,나쁨
20210826,SR1,부산,송정해수욕장,20210830,AM,0.1,2,17.0,-33.0,1,4.5,1,2.8,141.0,5,24.1,5,2,나쁨
20210826,SR1,부산,송정해수욕장,20210830,PM,0.1,2,18.0,-32.0,1,4.2,1,3.6,99.0,4,24.9,5,2,나쁨
20210826,SR1,부산,송정해수욕장,20210831,AM,0.2,2,26.0,-24.0,1,4.0,1,5.8,58.0,3,23.2,5,2,나쁨
20210826,SR1,부산,송정해수욕장,20210831,PM,0.2,2,28.0,-22.0,1,3.6,1,7.1,57.0,3,24.1,5,2,나쁨
20210826,SR1,부산,송정해수욕장,20210901,AM,0.1,2,16.0,-34.0,1,4.1,1,3.6,139.0,4,21.2,5,2,나쁨
20210826,SR1,부산,송정해수욕장,20210901,PM,0.1,2,334.0,284.0,1,4.2,1,6.7,56.0,3,23.1,5,2,나쁨
