생산일,코드,권역,지역,예측일자,갈라짐시작시간,갈라짐종료시간,체험시간,체험시간점수,최저기온,평균기온,최고기온,기온점수,최저풍속,평균풍속,최대풍속,풍속점수,날씨,날씨점수,강수량,강수점수,특보,특보점수,총점수,예보지수
20210826,SD10,남해동부,소매물도,20210826,15:16,18:00,2.73,4,25.9,26.1,26.4,5,3.6,5.6,7.0,3,3,3,0.0,5,-,5,3.80,보통
20210826,SD11,남해동부,동섬,20210826,15:41,17:37,1.93,3,25.5,29.1,30.9,5,2.7,5.0,6.8,3,3,3,0.0,5,-,5,3.10,보통
20210826,SD19,남해서부,우도,20210826,09:00,09:09,0.15,1,26.0,29.0,30.4,5,1.9,4.3,5.9,3,3,3,0.0,5,-,5,1.00,매우나쁨
20210826,SD19,남해서부,우도,20210826,15:09,18:00,2.85,4,26.0,29.0,30.4,5,1.9,4.3,5.9,3,3,3,0.0,5,-,5,3.80,보통
20210826,SD20,황해중부,선재도,20210826,09:33,16:54,7.35,5,24.5,24.9,25.2,5,3.9,5.7,7.9,3,4,2,0.5,5,-,5,4.35,좋음
20210826,SD21,황해남부,화도,20210826,09:00,15:58,6.97,5,25.6,26.2,26.6,5,2.6,3.7,4.4,4,4,2,0.0,5,-,5,4.45,좋음
20210826,SD4,황해중부,제부도,20210826,09:10,17:13,8.05,5,24.5,25.0,25.6,5,4.1,5.5,7.2,3,4,2,0.5,5,-,5,4.35,좋음
20210826,SD5,제주도,서건도,20210826,15:11,18:00,2.82,4,24.9,28.3,29.2,5,1.5,4.2,5.2,3,4,2,0.0,5,-,5,3.65,보통
20210826,SD6,황해중부,실미도,20210826,10:46,16:01,5.25,5,24.3,24.5,24.8,5,3.1,5.3,7.6,3,4,2,0.0,5,-,5,4.35,좋음
20210826,SD8,황해중부,웅도,20210826,09:00,17:24,8.40,5,24.8,25.7,26.2,5,2.7,5.5,7.0,3,4,2,0.0,5,-,5,4.35,좋음
20210826,SD9,황해중부,소야도,20210826,10:47,15:43,4.93,5,24.3,24.5,24.7,5,2.3,5.0,7.9,3,4,2,0.5,5,-,5,4.35,좋음
20210826,SD10,남해동부,소매물도,20210827,16:14,18:00,1.77,3,26.0,26.1,26.2,5,5.3,7.3,9.1,2,4,2,0.0,5,-,5,2.85,나쁨
20210826,SD19,남해서부,우도,20210827,09:00,09:40,0.67,2,25.7,28.0,29.0,5,5.5,6.8,7.9,3,4,2,0.5,5,-,5,2.25,나쁨
20210826,SD19,남해서부,우도,20210827,15:48,18:00,2.20,4,25.7,28.0,29.0,5,5.5,6.8,7.9,3,4,2,5.4,2,-,5,2.00,나쁨
20210826,SD20,황해중부,선재도,20210827,09:54,17:26,7.53,5,21.1,22.0,24.1,4,0.5,3.0,7.3,3,4,2,3.2,3,-,5,3.00,보통
20210826,SD21,황해남부,화도,20210827,09:00,16:44,7.73,5,25.6,25.8,25.9,5,7.6,9.9,11.2,2,4,2,20.8,1,-,5,1.00,매우나쁨
20210826,SD4,황해중부,제부도,20210827,09:30,17:48,8.30,5,20.7,21.8,24.4,4,2.1,3.9,6.9,3,4,2,2.3,3,-,5,3.00,보통
20210826,SD5,제주도,서건도,20210827,09:00,09:21,0.35,1,23.8,27.1,27.9,5,1.2,4.1,4.7,4,3,3,8.7,2,-,5,1.00,매우나쁨
20210826,SD5,제주도,서건도,20210827,15:58,18:00,2.03,4,23.8,27.1,27.9,5,1.2,4.1,4.7,4,3,3,2.0,3,-,5,3.00,보통
20210826,SD6,황해중부,실미도,20210827,11:10,16:29,5.32,5,21.2,22.3,23.9,4,1.5,4.6,7.6,3,4,2,2.1,3,-,5,3.00,보통
20210826,SD8,황해중부,웅도,20210827,09:13,18:00,8.78,5,21.1,22.0,24.6,4,3.7,5.1,7.4,3,4,2,2.1,3,-,5,3.00,보통
20210826,SD9,황해중부,소야도,20210827,11:12,16:12,5.00,5,21.4,22.1,23.4,4,1.2,3.9,7.2,3,4,2,3.7,3,-,5,3.00,보통
20210826,SD19,남해서부,우도,20210828,09:00,10:12,1.20,3,25.3,27.0,28.0,5,0.7,3.3,6.1,3,4,2,7.5,2,-,5,2.00,나쁨
20210826,SD19,남해서부,우도,20210828,16:33,18:00,1.45,3,25.3,27.0,28.0,5,0.7,3.3,6.1,3,4,2,1.5,3,-,5,2.95,나쁨
20210826,SD20,황해중부,선재도,20210828,10:14,18:00,7.77,5,22.8,23.8,24.4,4,4.0,4.5,5.0,3,4,2,0.0,5,-,5,4.30,좋음
20210826,SD21,황해남부,화도,20210828,09:00,17:45,8.75,5,23.3,24.8,25.6,5,2.2,4.1,6.9,3,4,2,0.0,5,-,5,4.35,좋음
20210826,SD4,황해중부,제부도,20210828,09:46,18:00,8.23,5,22.4,23.4,24.0,4,2.9,4.0,4.8,4,4,2,0.0,5,-,5,4.40,좋음
20210826,SD5,제주도,서건도,20210828,09:00,10:01,1.02,3,25.8,27.6,28.4,5,4.2,5.5,6.7,3,3,3,0.0,5,-,5,3.10,보통
20210826,SD5,제주도,서건도,20210828,16:56,18:00,1.07,3,25.8,27.6,28.4,5,4.2,5.5,6.7,3,3,3,0.0,5,-,5,3.10,보통
20210826,SD6,황해중부,실미도,20210828,11:34,16:58,5.40,5,23.3,23.8,24.1,4,4.7,5.3,5.5,3,4,2,0.0,5,-,5,4.30,좋음
20210826,SD8,황해중부,웅도,20210828,09:27,18:00,8.55,5,23.3,23.8,24.2,4,2.3,3.7,4.4,4,4,2,0.0,5,-,5,4.40,좋음
20210826,SD9,황해중부,소야도,20210828,11:39,16:40,5.02,5,23.4,23.9,24.2,4,4.0,5.0,5.5,3,4,2,2.8,3,-,5,3.00,보통
