생산일,코드,해수욕장,예측일자,시간,평균기온,기온점수,평균수온,수온점수,최대풍속,풍속점수,최대파고,파고점수,총점수
20210828,HS1,대천해수욕장,20210827,AM,24.2,4,25.6,5,8.3,2,0.6,4,3.50
20210828,HS1,대천해수욕장,20210827,PM,21.7,2,25.6,5,8.1,2,0.3,5,3.95
20210828,HS2,춘장대해수욕장,20210827,AM,25.3,4,25.6,5,8.9,2,0.6,4,3.50
20210828,HS2,춘장대해수욕장,20210827,PM,22.1,3,25.6,5,10.6,1,0.3,5,3.70
20210828,HS3,무창포해수욕장,20210827,AM,24.9,4,25.6,5,8.5,2,0.6,4,3.50
20210828,HS3,무창포해수욕장,20210827,PM,21.9,2,25.6,5,9.5,2,0.3,5,3.95
20210828,HS4,꽃지해수욕장,20210827,AM,22.4,3,25.0,5,5.1,3,0.4,5,4.30
20210828,HS4,꽃지해수욕장,20210827,PM,21.1,2,24.8,5,3.6,4,0.2,5,4.55
20210828,HS5,만리포해수욕장,20210827,AM,22.3,3,23.8,5,3.0,4,0.5,4,4.05
20210828,HS5,만리포해수욕장,20210827,PM,21.1,2,23.1,5,2.8,4,0.3,5,4.55
20210828,HS6,몽산포해수욕장,20210827,AM,22.7,3,23.8,5,4.1,4,0.5,4,4.05
20210828,HS6,몽산포해수욕장,20210827,PM,21.4,2,23.1,5,3.8,4,0.3,5,4.55
20210828,HS7,우전해수욕장,20210827,AM,26.9,4,25.0,5,6.5,3,0.7,4,3.80
20210828,HS7,우전해수욕장,20210827,PM,26.3,4,24.6,5,6.3,3,1.1,3,3.25
20210828,HS8,연포해수욕장,20210827,AM,22.5,3,23.8,5,3.5,4,0.5,4,4.05
20210828,HS8,연포해수욕장,20210827,PM,21.4,2,23.1,5,3.7,4,0.3,5,4.55
20210828,HS9,어은돌해수욕장,20210827,AM,22.4,3,23.8,5,3.9,4,0.5,4,4.05
20210828,HS9,어은돌해수욕장,20210827,PM,21.6,2,23.1,5,3.3,4,0.3,5,4.55
20210828,HS10,신두리해수욕장,20210827,AM,22.2,3,23.2,5,2.8,4,0.5,4,4.05
20210828,HS10,신두리해수욕장,20210827,PM,21.0,2,23.5,5,3.0,4,0.3,5,4.55
20210828,HS11,학암포해수욕장,20210827,AM,22.1,3,23.2,5,3.1,4,0.3,5,4.60
20210828,HS11,학암포해수욕장,20210827,PM,21.6,2,23.5,5,3.4,4,0.3,5,4.55
