FC_AREA,DATE,HR,MEAN_TEMP,TEMP_SCRE,MEAN_WSPD,WSPD_SCRE,MEAN_SST,SST_SCRE,MEAN_WHT,WAVE_SCRE,MUL,MUL_SCRE,MEAN_CURR,CURR_SCRE,MEAN_SKY,SKY_SCRE,CARNIVAL_NUM,MEAN_RAIN,WARN_SEA,WARN_LAND,FINAL_SCRE,SCRE_CLASS
CN,20210709,AM,24.1,18.8,3.8,17.6,23.6,8.4,0.4,9.6,7.0,3.4,,0.0,3.9,7.2,0,0.0,-,-,65.0,보통
CN,20210709,PM,24.6,17.9,6.7,12.6,24.1,8.1,0.4,9.6,7.0,3.4,,0.0,3.0,16.9,0,0.0,-,-,68.5,좋음
CN,20210710,AM,23.9,19.1,2.9,19.1,23.3,8.6,0.2,9.6,8.0,3.4,,0.0,4.0,7.2,0,0.3,-,-,60.0,보통
CN,20210710,PM,24.5,18.1,4.4,16.6,23.7,8.3,0.2,9.6,8.0,3.4,,0.0,3.9,7.2,0,0.4,-,-,60.0,보통
CN,20210711,AM,23.6,19.7,1.7,21.2,23.6,8.4,0.3,9.6,9.0,3.4,,0.0,4.0,7.2,0,0.0,-,-,69.5,좋음
CN,20210711,PM,24.5,18.1,2.8,19.3,24.5,7.8,0.3,9.6,9.0,3.4,,0.0,3.8,7.2,0,0.0,-,-,65.4,좋음
CN,20210712,DY,25.1,17.1,2.8,19.3,24.4,7.9,0.4,9.6,10.0,3.4,,0.0,3.2,16.9,0,0.0,-,-,74.2,좋음
CN,20210713,DY,23.7,19.5,3.0,19.0,24.1,8.1,0.2,9.6,11.0,3.4,,0.0,1.5,24.1,0,0.0,-,-,83.7,매우좋음
CN,20210714,DY,23.3,20.2,2.7,19.5,24.1,8.1,0.1,9.6,12.0,5.5,,0.0,1.5,24.1,0,0.0,-,-,87.0,매우좋음
CN,20210715,DY,24.4,18.3,2.8,19.3,24.6,7.8,0.1,9.6,13.0,5.5,,0.0,3.8,7.2,0,0.0,-,-,67.7,좋음
IS,20210709,AM,23.8,12.4,4.1,10.9,22.9,14.5,0.7,13.4,7.0,7.7,0.3,3.0,4.0,4.6,0,0.0,-,-,66.5,좋음
IS,20210709,PM,23.9,12.3,5.4,9.5,23.6,13.8,0.7,13.4,7.0,7.7,0.3,3.0,3.8,4.6,0,0.0,-,-,64.3,보통
IS,20210710,AM,23.7,12.5,2.7,12.5,23.4,14.0,0.5,15.5,8.0,7.7,0.3,3.0,4.0,4.6,0,0.0,-,-,69.8,좋음
IS,20210710,PM,23.9,12.3,4.3,10.7,23.6,13.8,0.5,15.5,8.0,7.7,0.4,1.6,3.7,4.6,0,0.1,-,-,60.0,보통
IS,20210711,AM,23.0,13.3,2.8,12.4,23.7,13.7,0.7,13.4,9.0,7.7,0.2,4.4,3.9,4.6,0,0.0,-,-,69.5,좋음
IS,20210711,PM,23.6,12.6,2.5,12.7,24.7,12.7,0.7,13.4,9.0,7.7,0.3,3.0,3.7,4.6,0,0.3,-,-,60.0,보통
IS,20210712,DY,23.8,12.4,3.1,12.0,24.6,12.8,0.6,14.4,10.0,7.7,0.3,3.0,3.2,10.8,0,0.0,-,-,73.1,좋음
IS,20210713,DY,23.3,12.9,2.1,13.2,24.7,12.7,0.3,13.2,11.0,7.7,0.3,3.0,1.5,15.5,0,0.0,-,-,78.2,매우좋음
IS,20210714,DY,23.2,13.0,2.9,12.3,24.6,12.8,0.2,13.2,12.0,12.4,0.3,3.0,1.5,15.5,0,0.0,-,-,82.2,매우좋음
IS,20210715,DY,23.4,12.8,4.2,10.8,24.4,13.0,0.3,13.2,13.0,12.4,0.2,4.4,3.8,4.6,0,0.0,-,-,71.2,좋음
