생산일,코드,권역,지역,예측일자,갈라짐시작시간,갈라짐종료시간,체험시간,체험시간점수,최저기온,평균기온,최고기온,기온점수,최저풍속,평균풍속,최대풍속,풍속점수,날씨,날씨점수,강수량,강수점수,특보,특보점수,총점수,예보지수,,,,,,,
20210709,SD10,남해동부,소매물도,20210709,12:09,16:29,4.33,5,23,24,25,5,3,5,6,3,4,2,0,5,-,5,4.35,좋음,,,,,,,
20210709,SD11,남해동부,동섬,20210709,12:57,15:11,2.23,4,24,26,26,5,2,4,6,3,4,2,15,1,-,5,1,매우나쁨,,,,,,,
20210709,SD19,남해서부,우도,20210709,11:52,18:00,6.13,5,24,26,27,5,3,6,9,2,4,2,2,3,-,5,3,보통,,,,,,,
20210709,SD20,황해중부,선재도,20210709,9:00,14:34,5.57,5,21,21,24,4,1,1,3,4,4,2,0,5,-,5,4.4,좋음,,,,,,,
20210709,SD21,황해남부,화도,20210709,9:00,18:00,9,5,22,23,25,4,2,3,5,3,4,2,0,5,-,5,4.3,좋음,,,,,,,
20210709,SD22,남해서부,대섬,20210709,15:13,17:39,2.43,4,23,23,26,4,3,5,6,3,4,2,0,5,-,5,3.6,보통,,,,,,,
20210709,SD4,황해중부,제부도,20210709,9:00,15:04,6.07,5,22,22,26,4,1,2,3,4,4,2,0,5,-,5,4.4,좋음,,,,,,,
20210709,SD4,황해중부,제부도,20210709,17:40,18:00,0.33,1,22,22,26,4,1,2,3,4,4,2,0,5,-,5,1,매우나쁨,,,,,,,
20210709,SD5,제주도,서건도,20210709,11:39,18:00,6.35,5,27,28,29,5,4,6,8,3,4,2,0,5,-,5,4.35,좋음,,,,,,,
20210709,SD6,황해중부,실미도,20210709,9:00,13:15,4.25,5,21,21,25,4,1,1,2,4,4,2,0,5,-,5,4.4,좋음,,,,,,,
20210709,SD8,황해중부,웅도,20210709,9:00,15:26,6.43,5,22,22,26,4,1,3,4,4,4,2,0,5,-,5,4.4,좋음,,,,,,,
20210709,SD8,황해중부,웅도,20210709,17:14,18:00,0.77,2,22,22,26,4,1,3,4,4,4,2,0,5,-,5,2.3,나쁨,,,,,,,
20210709,SD9,황해중부,소야도,20210709,9:00,12:54,3.9,5,20,20,24,3,1,2,2,4,4,2,0,5,-,5,4.35,좋음,,,,,,,
20210709,SD10,남해동부,소매물도,20210710,12:40,17:11,4.52,5,23,24,26,5,1,3,5,3,4,2,0,5,-,5,4.35,좋음,,,,,,,
20210709,SD11,남해동부,동섬,20210710,13:20,15:59,2.65,4,24,26,27,5,3,4,6,3,4,2,0,5,-,5,3.65,보통,,,,,,,
20210709,SD19,남해서부,우도,20210710,12:31,18:00,5.48,5,26,27,28,5,1,3,4,4,4,2,0,5,-,5,4.45,좋음,,,,,,,
20210709,SD20,황해중부,선재도,20210710,9:00,15:08,6.13,5,22,22,25,4,1,2,4,4,4,2,0,5,-,5,4.4,좋음,,,,,,,
20210709,SD21,황해남부,화도,20210710,9:00,18:00,9,5,23,23,26,4,2,4,5,3,4,2,0,5,-,5,4.3,좋음,,,,,,,
20210709,SD22,남해서부,대섬,20210710,15:40,18:00,2.33,4,23,24,25,5,2,3,4,4,4,2,0,5,-,5,3.75,보통,,,,,,,
20210709,SD4,황해중부,제부도,20210710,9:00,15:34,6.57,5,22,22,26,4,1,2,3,4,4,2,0,5,-,5,4.4,좋음,,,,,,,
20210709,SD5,제주도,서건도,20210710,12:16,18:00,5.73,5,25,26,28,5,2,4,6,3,4,2,7,2,-,5,2,나쁨,,,,,,,
20210709,SD6,황해중부,실미도,20210710,9:02,13:55,4.88,5,20,20,25,3,1,2,4,4,4,2,0,5,-,5,4.35,좋음,,,,,,,
20210709,SD8,황해중부,웅도,20210710,9:00,15:52,6.87,5,22,22,26,4,3,4,5,3,4,2,0,5,-,5,4.3,좋음,,,,,,,
20210709,SD9,황해중부,소야도,20210710,9:18,13:34,4.27,5,20,20,25,3,2,4,6,3,4,2,0,5,-,5,4.25,좋음,,,,,,,
20210709,SD10,남해동부,소매물도,20210711,13:14,17:51,4.62,5,23,23,25,4,1,2,3,4,4,2,0,5,-,5,4.4,좋음,,,,,,,
20210709,SD11,남해동부,동섬,20210711,13:51,16:41,2.83,4,24,26,26,5,2,3,5,3,4,2,0,5,-,5,3.65,보통,,,,,,,
20210709,SD19,남해서부,우도,20210711,13:09,18:00,4.85,5,24,27,27,5,1,3,3,4,4,2,0,5,-,5,4.45,좋음,,,,,,,
20210709,SD20,황해중부,선재도,20210711,9:00,15:41,6.68,5,21,21,25,4,1,2,2,4,3,3,0,5,-,5,4.55,좋음,,,,,,,
20210709,SD21,황해남부,화도,20210711,9:00,18:00,9,5,23,23,26,4,1,2,4,4,4,2,0,5,-,5,4.4,좋음,,,,,,,
20210709,SD22,남해서부,대섬,20210711,16:13,18:00,1.78,3,24,25,25,5,2,4,5,3,4,2,0,5,-,5,2.95,나쁨,,,,,,,
20210709,SD4,황해중부,제부도,20210711,9:00,16:06,7.1,5,20,20,26,3,1,2,3,4,4,2,0,5,-,5,4.35,좋음,,,,,,,
20210709,SD5,제주도,서건도,20210711,12:53,18:00,5.12,5,26,29,29,5,2,5,6,3,4,2,2,3,-,5,3,보통,,,,,,,
