NAME,Date_time,WHT,SST
상왕등도,2021-07-09 09,0.13,21.67
상왕등도,2021-07-09 12,0.1,22.33
상왕등도,2021-07-09 15,0.1,22.57
상왕등도,2021-07-09 18,0.0,22.66
상왕등도,2021-07-10 21,0.1,22.96
상왕등도,2021-07-10 00,0.07,22.04
상왕등도,2021-07-10 03,0.1,21.78
상왕등도,2021-07-10 06,0.1,21.56
상왕등도,2021-07-10 09,0.1,22.07
상왕등도,2021-07-10 12,0.1,21.69
상왕등도,2021-07-10 15,0.1,22.22
상왕등도,2021-07-10 18,0.09,21.5
상왕등도,2021-07-11 21,0.09,21.57
상왕등도,2021-07-11 00,0.05,21.18
상왕등도,2021-07-11 03,0.15,21.61
상왕등도,2021-07-11 06,0.34,21.04
상왕등도,2021-07-11 09,0.2,21.86
상왕등도,2021-07-11 12,0.22,22.84
상왕등도,2021-07-11 15,0.23,23.54
상왕등도,2021-07-11 18,0.08,22.9
추자도,2021-07-09 09,0.65,21.94
추자도,2021-07-09 12,0.77,23.56
추자도,2021-07-09 15,0.66,23.43
추자도,2021-07-09 18,0.37,22.78
추자도,2021-07-10 21,0.67,22.93
추자도,2021-07-10 00,0.75,22.19
추자도,2021-07-10 03,0.57,22.41
추자도,2021-07-10 06,0.68,22.71
추자도,2021-07-10 09,0.61,23.34
추자도,2021-07-10 12,0.96,23.75
추자도,2021-07-10 15,0.66,24.49
추자도,2021-07-10 18,0.71,24.5
추자도,2021-07-11 21,0.55,24.01
추자도,2021-07-11 00,0.79,23.27
추자도,2021-07-11 03,0.92,23.18
추자도,2021-07-11 06,0.87,23.75
추자도,2021-07-11 09,0.93,24.18
추자도,2021-07-11 12,0.94,23.68
추자도,2021-07-11 15,1.05,24.92
추자도,2021-07-11 18,1.01,24.71
울진후정,2021-07-09 09,0.42,22.35
울진후정,2021-07-09 12,0.59,22.85
울진후정,2021-07-09 15,0.37,22.89
울진후정,2021-07-09 18,0.33,22.79
울진후정,2021-07-10 21,0.09,22.06
울진후정,2021-07-10 00,0.51,21.71
울진후정,2021-07-10 03,0.12,21.3
울진후정,2021-07-10 06,0.16,21.13
울진후정,2021-07-10 09,0.26,21.97
울진후정,2021-07-10 12,0.23,22.31
울진후정,2021-07-10 15,0.15,22.19
울진후정,2021-07-10 18,0.41,21.96
울진후정,2021-07-11 21,0.46,22.77
울진후정,2021-07-11 00,0.11,21.67
울진후정,2021-07-11 03,0.43,21.68
울진후정,2021-07-11 06,0.27,21.14
울진후정,2021-07-11 09,0.15,22.93
울진후정,2021-07-11 12,0.12,23.56
울진후정,2021-07-11 15,0.31,24.3
울진후정,2021-07-11 18,0.1,23.44
동명항,2021-07-09 09,0.25,21.25
동명항,2021-07-09 12,0.57,21.28
동명항,2021-07-09 15,0.43,20.87
동명항,2021-07-09 18,0.27,20.46
동명항,2021-07-10 21,0.46,20.03
동명항,2021-07-10 00,0.41,19.64
동명항,2021-07-10 03,0.48,19.28
동명항,2021-07-10 06,0.55,17.67
동명항,2021-07-10 09,0.41,17.22
동명항,2021-07-10 12,0.48,18.86
동명항,2021-07-10 15,0.43,20.18
동명항,2021-07-10 18,0.35,19.95
동명항,2021-07-11 21,0.44,19.93
동명항,2021-07-11 00,0.48,18.94
동명항,2021-07-11 03,0.31,18.66
동명항,2021-07-11 06,0.36,18.73
동명항,2021-07-11 09,0.27,18.88
동명항,2021-07-11 12,0.23,20.08
동명항,2021-07-11 15,0.36,20.81
동명항,2021-07-11 18,0.4,21.5
월포해수욕장,2021-07-09 09,0.57,22.33
월포해수욕장,2021-07-09 12,0.31,22.78
월포해수욕장,2021-07-09 15,0.18,23.62
월포해수욕장,2021-07-09 18,0.56,22.97
월포해수욕장,2021-07-10 21,0.32,23.3
월포해수욕장,2021-07-10 00,0.2,22.98
월포해수욕장,2021-07-10 03,0.2,22.67
월포해수욕장,2021-07-10 06,0.36,22.43
월포해수욕장,2021-07-10 09,0.42,23.1
월포해수욕장,2021-07-10 12,0.39,23.28
월포해수욕장,2021-07-10 15,0.31,24.27
월포해수욕장,2021-07-10 18,0.45,23.86
월포해수욕장,2021-07-11 21,0.27,23.99
월포해수욕장,2021-07-11 00,0.39,23.17
월포해수욕장,2021-07-11 03,0.29,21.15
월포해수욕장,2021-07-11 06,0.17,20.55
월포해수욕장,2021-07-11 09,0.33,21.21
월포해수욕장,2021-07-11 12,0.22,21.83
월포해수욕장,2021-07-11 15,0.3,23.41
월포해수욕장,2021-07-11 18,0.1,23.16
구조라해수욕장,2021-07-09 09,0.26,21.61
구조라해수욕장,2021-07-09 12,0.03,22.32
구조라해수욕장,2021-07-09 15,0.39,22.53
구조라해수욕장,2021-07-09 18,0.15,22.49
구조라해수욕장,2021-07-10 21,0.42,22.81
구조라해수욕장,2021-07-10 00,0.27,22.4
구조라해수욕장,2021-07-10 03,0.12,22.33
구조라해수욕장,2021-07-10 06,0.24,21.76
구조라해수욕장,2021-07-10 09,0.19,21.83
구조라해수욕장,2021-07-10 12,0.41,23.12
구조라해수욕장,2021-07-10 15,0.35,23.47
구조라해수욕장,2021-07-10 18,0.21,23.78
구조라해수욕장,2021-07-11 21,0.35,23.55
구조라해수욕장,2021-07-11 00,0.31,22.91
구조라해수욕장,2021-07-11 03,0.39,22.57
구조라해수욕장,2021-07-11 06,0.11,23.05
구조라해수욕장,2021-07-11 09,0.34,22.61
구조라해수욕장,2021-07-11 12,0.41,23.79
구조라해수욕장,2021-07-11 15,0.42,24.41
구조라해수욕장,2021-07-11 18,0.54,24.58
문섬,2021-07-09 09,1.08,22.12
문섬,2021-07-09 12,1.05,22.96
문섬,2021-07-09 15,1.38,22.98
문섬,2021-07-09 18,1.13,22.55
문섬,2021-07-10 21,1.15,23.01
문섬,2021-07-10 00,0.94,24.16
문섬,2021-07-10 03,1.09,23.4
문섬,2021-07-10 06,0.83,23.16
문섬,2021-07-10 09,0.89,24.06
문섬,2021-07-10 12,1.11,24.27
문섬,2021-07-10 15,0.78,23.42
문섬,2021-07-10 18,1.11,23.76
문섬,2021-07-11 21,0.93,23.91
문섬,2021-07-11 00,1.15,23.87
문섬,2021-07-11 03,1.07,23.8
문섬,2021-07-11 06,1.12,23.55
문섬,2021-07-11 09,1.04,24.0
문섬,2021-07-11 12,1.08,24.25
문섬,2021-07-11 15,1.16,25.33
문섬,2021-07-11 18,1.01,25.11
