FC_AREA,DATE,HR,MEAN_TEMP,TEMP_SCRE,MEAN_WSPD,WSPD_SCRE,MEAN_SST,SST_SCRE,MEAN_WHT,WAVE_SCRE,MUL,MUL_SCRE,MEAN_CURR,CURR_SCRE,MEAN_SKY,SKY_SCRE,CARNIVAL_NUM,MEAN_RAIN,WARN_SEA,WARN_LAND,FINAL_SCRE,SCRE_CLASS
NW,20210709,AM,25.2,17.6,4.7,16.7,24.9,4.9,0.2,6.4,7.0,2.4,0.2,2.9,4.0,8.0,3,0.5,-,HW,20.0,매우나쁨
NW,20210709,PM,26.0,16.2,5.7,14.9,25.4,4.7,0.2,6.4,7.0,2.4,0.3,2.0,4.0,8.0,3,0.7,-,HW,20.0,매우나쁨
NW,20210710,AM,25.9,16.4,5.2,15.8,25.0,4.9,0.2,6.4,8.0,2.4,0.2,2.9,4.0,8.0,3,0.6,-,-,60.0,보통
NW,20210710,PM,25.4,17.3,4.3,17.4,25.6,4.7,0.2,6.4,8.0,2.4,0.3,2.0,3.6,8.0,3,0.6,-,-,60.0,보통
NW,20210711,AM,25.8,16.5,3.3,19.2,25.7,4.6,0.3,6.4,9.0,2.4,0.2,2.9,4.0,8.0,3,3.1,-,-,60.0,보통
NW,20210711,PM,25.5,17.1,2.4,20.9,26.3,4.4,0.3,6.4,9.0,2.4,0.3,2.0,3.4,18.6,3,3.9,-,-,60.0,보통
NW,20210712,DY,25.0,18.0,2.0,21.6,26.3,4.4,0.3,6.4,10.0,2.4,0.2,2.9,3.0,18.6,3,0.0,-,-,80.3,매우좋음
NW,20210713,DY,24.9,18.2,2.6,20.5,25.9,4.5,0.2,6.4,11.0,2.4,0.2,2.9,3.0,18.6,3,0.0,-,-,79.5,매우좋음
NW,20210714,DY,24.6,18.7,3.0,19.8,25.9,4.5,0.3,6.4,12.0,3.8,0.2,2.9,3.0,18.6,3,0.0,-,-,80.7,매우좋음
NW,20210715,DY,25.5,17.1,5.9,14.6,24.8,5.0,0.2,6.4,13.0,3.8,0.2,2.9,3.0,18.6,3,0.0,-,-,74.4,좋음
