STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,CITY_X,CITY_Y,WARN_AREA,AGENCY1,MWHT_STN1,AGENCY2,MWHT_STN2,AGENCY3,SST_STN1,AGENCY4,SST_STN2,CITY_MID
HS29,남해동부,해운대해수욕장,129.16,35.16,367,429,175,128,146,182,259,221,4,170,179,99,75,부산앞바다,해양부이,해운대해수욕장,해양부이,송정해수욕장,해양부이,해운대해수욕장,해양부이,송정해수욕장,11H20000
HS30,남해동부,광안리해수욕장,129.12,35.15,367,429,174,128,145,181,255,223,4,169,179,99,75,부산앞바다,해양부이,해운대해수욕장,해양부이,송정해수욕장,해양부이,해운대해수욕장,해양부이,송정해수욕장,11H20000
HS31,남해동부,송도해수욕장,129.02,35.08,364,426,172,130,144,180,242,231,4,168,180,97,74,부산앞바다,파고부이,다대포,해양부이,해운대해수욕장,조위관측,부산,해양부이,감천항,11H20000
HS32,남해동부,송정해수욕장,129.2,35.18,369,430,176,127,146,182,265,219,4,170,179,100,76,부산앞바다,해양부이,송정해수욕장,해양부이,해운대해수욕장,해양부이,송정해수욕장,해양부이,해운대해수욕장,11H20000
HS33,남해동부,다대포해수욕장,128.97,35.05,361,425,170,131,143,181,236,234,4,168,180,96,73,부산앞바다,파고부이,다대포,해양부이,해운대해수욕장,파고부이,다대포,해양부이,감천항,11H20000
HS34,남해동부,일광해수욕장,129.23,35.26,371,433,177,124,147,183,270,209,4,171,178,101,78,부산앞바다,파고부이,장안,파고부이,간절곶,조위관측,울산,파고부이,장안,11H20000
HS54,남해동부,임랑해수욕장,129.26,35.31,371,435,175,123,148,184,275,202,4,172,176,101,79,부산앞바다,해양부이,임랑해수욕장,-,-,해양부이,임랑해수욕장,-,-,11H20000
